b ɛ ¹	b ɛ̠ ¹
b i ¹	b ɨ̠ ¹
ts a ³	ts a ³
m a ³	m a ³³
l u ¹	l u ¹
t i ³	t i̠ ³
b e̠ ³	b e̠ ³
d o̠ ¹	d o̠ ¹
n j e ¹	ɲ e ¹
pʰ e ²	pʰ e ²
kʰ y ²	kʰ y ²
b y ²	b y ²
tʃʰ i ¹	tʃʰ e ¹
b o ¹	b o ¹
kʰ u ¹	kʰ u ¹
d a ŋ ³	d u ³
a ¹	a ¹
k a ³	k a̠ ³
b a ²	b a ²
kʰ ɨ ²	kʰ o ²
d a ¹	d a ¹
t a ⁵⁵	t a ⁵⁵
g o̠ ³	g o̠ ³
ɣ i ¹	ɣ i ¹
tsʰ i ²	tsʰ ɿ ²
l o̠ ³	ˀl o̠ ³
g j u ²	g j ɛ ²
b ɛ̠ ³	b j ɛ̠ ¹
pʰ e̠ ²	pʰ i̠ ³
s i ³	z i̠ ³
s a ¹	g ɨ ¹
ɣ i ¹	ɣ i ¹
pʰ e ²	pʰ e ²
m ɨ ²	m ɨ ²
k j e ²	k j ɛ ²
tʃ i̠ ³	ts i̠ ³
kʰ ɛ ¹	kʰ ɛ ¹
h e ¹	h e ¹
m u ²	m ɨ ²
tʃʰ ɨ ²	tsʰ ɿ ²
kʰ ɨ ³	kʰ ɨ̠ ³
pʰ o ²	pʰ y ²
ˀx ɛ ²	kʰ a ²
tsʰ ɛ̠ ¹	tʃʰ ɛ̠ ¹
d e ³	d e̠ ³
tsʰ e̠ ³	d u ¹
a ¹	a ¹
a ¹	e̠ ¹
z i ²	z i ²
ˀn a ¹	ˀn a ¹
dʒ i ³	dʒ i ³
a ¹	a ¹
ˀn i ³	n i̠ ³
tsʰ o̠ ³	tsʰ o̠ ¹
ˀn a ŋ ²	n a ²
k a ŋ ³	k u ³³
pʰ a ¹	pʰ j a ¹
d e̠ ¹	d e̠ ¹
z a ²	z a ²
ˀm e̠ ¹	ˀm j e̠ ¹
b e̠ ¹	b e̠ ¹
d a ¹	d a ¹
k o̠ ¹	k a ŋ ¹
z e̠ ³	z e̠ ³
pʰ e ²	pʰ e ²
k a ²	k a ŋ ²
ɣ i ¹	ɣ i ¹
kʰ i ¹	kʰ i ¹
l y ¹	l y ¹
tsʰ ɛ ¹	tsʰ ɛ ¹
ʃ u ³	s i̠ ¹
l a ²	l a ²
l ɛ̠ ³	l ɛ̠ ³
p u ¹	pʰ e̠ ¹
l a ²	l a ²
n ɛ ²	n ɛ ²
a ¹	a ¹
g e ²	s y ²
tʃ i̠ ¹	tʃ ɨ̠ ¹
z e̠ ³	z e̠ ³
b a ŋ ³	p ɨ̠ ¹
v a ³	v a ³
dz e ²	dz e ²
ɣ i̠ ³	ɣ i̠ ³
l a ¹	l a ŋ ¹
tsʰ i̠ ¹	tsʰ i̠ ¹
ɣ i ³	ɣ y ¹
ˀx y ¹	x y ¹
pʰ j a ŋ ¹	pʰ j a ¹
ɣ a̠ ²	ɣ a ŋ ²
a ²	a ²
ˀn i ³	ˀn i ³
v ɛ ³	ˀv ɛ ²
a ¹	a ¹
pʰ y̠ ¹	pʰ u ²
v e̠ ³	v e̠ ³
e ²	e ²
tʃʰ i̠ ²	tʃʰ u ²
s ɛ ¹	s ɛ ²
tʃʰ o̠ ¹	tʃʰ o̠ ¹
tsʰ e̠ ¹	tsʰ e̠ ¹
kʰ i ²	kʰ ɨ ²
ʃ a̠ ²	ʃ a ²
m i ¹	m i ¹
ˀn e ²	n e ²
tʰ a ²	tʰ a ²
a ¹	a ¹
k j ɛ ²	k j ɛ ²
k e ¹	ˀm j y̠ ¹
d i ¹	d a ŋ ¹
x i ¹	h ɛ̠ ¹
m ɛ ²	m ɛ ²
a ¹	a ¹
d u ¹	d u ¹
tʃʰ i ¹	tʃʰ u ¹
ɣ u ¹	x a ŋ ¹
n y ¹	n y ¹
m a ²	m a ²
ʃ ɛ ¹	ʃ ɛ ¹
b y ³	b y ³
a ¹	a ¹
a ¹	a ¹
m a ³	m a ³
tʃʰ i̠ ³	tʃʰ i̠ ³
k a ¹	k j i ³
