m ɯ ³	m ɯ ⁵
qʰ ɔ ¹	qʰ ɔ ¹
ɣ æ ⁴	ɣ æ ⁴
b r o ²	b o ŋ ²
tɕ r ɯ ¹	tɕ ɯ ¹
q ɯ ¹	q ɯ ¹
ɖʐ o ⁴	ɖʐ o ³
ɕ i ²	ɕ w i ²
l ɔ ¹	l a ¹
ɣ ɯ ¹	ɣ ɯ ¹
ʈ u ⁴	ʈ o ⁴
q a ŋ ¹	q a ŋ ¹
d r ɯ ³	d r ɯ ³
j ɯ ¹	j ɯ ¹
g w a ⁴	ɣ w a ⁴
ɕ o ŋ ¹	z r o ŋ ¹
ɖʐ u ¹	ɖʐ u ŋ ¹
m a ⁴	m a ⁴
d r ɯ ⁴	d j ɯ ¹
sʰ o ŋ ¹	sʰ r o ŋ ¹
ŋ o ¹	ŋ o ¹
ŋ w e ŋ ¹	ʁ w e n ¹
ɕ e ⁴	tʰ e ⁴
tʰ e ²	tʰ j e ²
ɖʐ o ⁴	ɖʐ o ⁴
b r i ¹	b r i ²
ŋ e ²	n j i ²
s e n ¹	s r e n ¹
s j e n ¹	s j e n ¹
sʰ ɔ ³	sʰ ɔ ³
sʰ ɯ ²	sʰ r ɯ ²
d a ⁴	d a ⁴
k u ²	k u ²
ɣ w a ¹	k w a ⁴
tsʰ o ŋ ³	tsʰ o ŋ ³
p j e n ¹	p r e n ¹
d i ²	dʑ i ²
n i o ¹	n j o ²
k ɔ ⁴	k o ⁴
n u ¹	n j o ŋ ¹
p r a ⁴	b a ŋ ⁴
s r o ²	s r o ²
tsʰ i ⁴	tsʰ j i ⁴
k æ ⁴	k æ ⁴
ŋ æ ¹	ŋ ɔ ¹
tsʲʰ i ¹	tsʰ j i ¹
tʰ r o ⁴	tʰ r o ⁴
