ɲ u ³	n u ²
a ¹	a ¹
g u ¹	g o ŋ ¹
kʰ y ¹	kʰ j y ¹
tʃ a ³	tʃ a̠ ³
b a ŋ ¹	p ɨ̠ ¹
a ¹	a ¹
l a ²	l a ²
l e̠ ³	l e̠ ³
g i ¹	g i ¹
l y ¹	l y ¹
x e ¹	x e ¹
m a ²	m a ŋ ²
n i ¹	n i ¹
tsʰ a ¹	tsʰ ɛ̠ ¹
dʒ a ²	dz e ²
s o ¹	s i ³
k a ²	k j o ²
ʃ i ¹	ʃ i̠ ¹
m j a ²	m j y ²
t i ¹	t i ¹
m a ²	m a ²
ts e ²	ts e ²
x a̠ ³	x a̠ ³
s i ¹	s i ¹
z a ²	z a ²
tʰ u ¹	tʰ u ³
p i ²	p i ²
b a ³	h a ¹
z e̠ ³	z e̠ ³
m a ³	m a ³
g u ³	g o ŋ ³
s a ²	s a ²
pʰ i̠ ³	pʰ i̠ ³
s e̠ ¹	s o̠ ³
tʃʰ i ¹	tsʰ i̠ ¹
s y ²	ʃ y ²
tsʰ y ¹	tsʰ a m ¹
p a̠ ¹	p a̠ ³
b o ¹	b o ¹
m a ³	m a ³
v e̠ ³	v e̠ ³
m ɨ ¹	m ɨ ¹
b a ¹	tʃ a ¹
m ²	m o ²
l y ¹	l y ¹
ˀm e̠ ³	ˀm e̠ ¹
m i̠ ³	ˀm u ²
s i̠ ¹	s i̠ ¹
a ¹	a ¹
v a ¹	v u ¹
tʃʰ o ³	tsʰ y̠ ¹
m i ¹	m i ¹
ʃ ɛ ¹	ʃ ɛ ¹
ɣ ɛ ¹	ɣ ɛ ¹
ʃ a̠ ³	ʃ a̠ ³
ˀl i ¹	ˀl i ¹
i ¹	ɨ̠ ¹
dz i ²	dʒ e ¹
ʃ i̠ ²	ʃ ɨ ²
h e̠ ³	h e̠ ³
pʰ ɨ ²	pʰ ɨ ²
pʰ u ¹	pʰ u ¹
g i ¹	g j o ¹
kʰ ɛ̠ ³	kʰ ɛ̠ ³
dʒ i ¹	dʒ i ¹
a ¹	a ¹
t a ŋ ¹	t a ŋ ¹
k i ²	k a ŋ ²
kʰ i ²	kʰ i ²
v e ³	v e ³
pʰ e̠ ¹	pʰ e̠ ¹
b y̠ ³	b y̠ ³
v e̠ ³	v e̠ ³
n a ²	n a ²
v u ¹	v u ¹
s a ²	tsʰ i ²
n i ²	n i ²
k a ¹	k a ¹
kʰ i ¹	kʰ i ¹
ˀm e̠ ³	ˀm j e̠ ¹
kʰ ɨ ¹	kʰ i ¹
tʃʰ ɨ ¹	tʃʰ ɨ ¹
k o ³	k o ¹
ʃ a ¹	ʃ a ¹
dʒ a̠ ¹	dʒ e̠ ¹
kʰ u ¹	kʰ u ¹
kʰ a ³	kʰ a ³
ˀm e̠ ³	ˀm j e̠ ¹
v a ³³	v a ³
ts a ¹	ts a ¹
ɣ o̠ ¹	ʒ o̠ ¹
ˀl i ²	ˀl i ²
tʰ a ²	tʰ a ²
p u ¹	pʰ e̠ ¹
ˀm e̠ ¹	ˀm j e̠ ¹
t y ¹	t y ¹
dz i ³	dz ɿ ³
ˀm i ³	ˀm j e̠ ¹
kʰ o̠ ³	kʰ o̠ ³
ts ɛ ³	tʃ ɛ̠ ³
t a ³	t a̠ ³
dz ɛ ¹	k a ²
s y ¹	s y ¹
h e ¹	h e ¹
t e ¹	d e ¹
pʰ y̠ ²	pʰ u ²
t e̠ ¹	t i̠ ¹
pʰ e̠ ¹	pʰ e̠ ¹
ʃ ɛ ¹	ʃ ɛ ¹
tsʰ y ¹	tsʰ y ¹
p i ²	p y̠ ¹
l e̠ ³	l e̠ ³
k a ³	k a ŋ ²
k u ²	k u ²
j a ŋ ³	j a ŋ ²
pʰ j ɛ ²	pʰ ɛ ³
h e ¹	h e ¹
t o̠ ³	t o̠ ³
k o ³	k o ³
p y ²	p y ²
dz i ¹	dz i̠ ¹
s e ¹	s e ¹
ʒ i̠ ³	ʒ e̠ ³
ʃ a ŋ ¹	ʃ u ³
