x i̠ ³	x ɨ̠ ³
b ɛ ²	b ɛ ²
m i ¹	m i ¹
b i ²	b i ²
k e̠ ²	k j ɛ ²
tsʰ ɛ ¹	tsʰ ɛ ¹
n i ²	n̩ ²
t e̠ ¹	t e̠ ¹
ts o̠ ³	ʒ i̠ ³
s e̠ ³	s e̠ ³
tʃʰ e̠ ¹	tʃʰ e̠ ¹
dz y ¹	dz i ¹
tʃʰ i ¹	tʃʰ e ¹
a ²	a ²
dz e ³	dz i ³
v i̠ ³	v i̠ ³
ˀl u ³	l u ³
tʃ a ³	tʃ a ³
m j o̠ ³	m j o̠ ³
ʃ u ²	ʃ u ²
dz i ¹	dz i ¹
m a̠ ²	m ɛ ²
h e̠ ³	h e̠ ³
s i ¹	s i ¹
b a ²	b j a ²
a̠ ¹	a ¹
h e ¹	h e ¹
kʰ y ¹	kʰ j y ¹
k a ²	k a ŋ ²
a ¹	a ¹
a ¹	a ¹
a ³	a ²
s ɛ ²	s ɛ ²
n a ²	ˀn a ²
h a ¹	h a ¹
p a̠ ³	p a̠ ³
g a ²	g j a ²
n u̠ ¹	n u̠ ¹
m a ¹	m o ²
l e̠ ³	l e̠ ³
dʒ i ²	dʒ e ³
u i ²	ts ɛ ³
a ³	a ²
dʒ a ¹	dʒ a ¹
d e ³	d e ³
ts a ¹	ts a ¹
s o ¹	s u ¹
ɣ y ¹	ˀx a ¹
ʃ i ¹	ɣ i ¹
s ɛ ²	s ɛ ²
x a ¹	k u ³
h e̠ ³	h e̠ ³
b i ³	b i ³
d ɛ ²	d ɛ ²
a̠ ¹	a ¹
p ɛ̠ ¹	p ɛ̠ ¹
g u ³	g a̠ ³
ɣ ɛ ²	ɣ ɛ ²
g ɛ ²	g ɛ ²
ɣ i ¹	ɣ ɨ ¹
ts e ¹	ts e ¹
m a ²	m a ²
ʃ a̠ ²	ʃ a ²
l u ²	l u ²
p a̠ ³	p a̠ ³
dz u ³	tʰ e̠ ³
a ²	a ²
l e̠ ³	l e̠ ³
ˀn i̠ ¹	ˀn i̠ ¹
a ¹	a ¹
dz e ²	dz i ²
v a ²	v a ²
t i ²	t i ²
ˀn a ³	ɲ a̠ ¹
g o ¹	g u ¹
kʰ ɨ ²	kʰ a ²
s ɛ̠ ³	s ɛ̠ ³
ɣ i ¹	ɣ i ¹
a ¹	a ²
tʃ i ²	g j o ¹
p y ¹	p y̠ ¹
v a ³	v a ³
ts ɨ ²	ts i ²
u i̠ ³	ts i̠ ³
ɣ a ŋ ²	ɣ a ŋ ²
ʃ a ³	ʃ a̠ ³
k a ŋ ³	k u ³³
p y ²	p y ²
pʰ y ²	pʰ j y ²
v e ²	v i ²
ˀn a ¹	ˀn a ¹
v e̠ ³	v e̠ ³
m a ²	m a ²
kʰ a ²	kʰ a ²
kʰ e̠ ¹	k o̠ ¹
dʒ e̠ ¹	dʒ e̠ ¹
tʃʰ e̠ ³	tʃʰ e̠ ³
tsʰ u ²	tʃʰ u ²
ˀl y ²	ˀl y ²
m a ³	m a ³
ˀn i ¹	ˀn i ¹
s a ²	s a ²
p ɨ ²	p j ɨ ²
z y ²	z y ²
pʰ e̠ ²	pʰ i̠ ³
l a ²	l a ²
a ¹	a ¹
kʰ u ¹	kʰ u ¹
k ɛ ¹	k ɛ ¹
a ¹	a ¹
tʃʰ ɨ̠ ²	tʃʰ ɨ ²
tʃʰ ɨ ¹	tʃʰ ɨ ¹
k j ɛ ²	k j e ²
¹ ¹ ³	k u ³
² a ŋ ¹	g a ŋ ³
ɣ i ¹	ɣ i ¹
b u ²	pʰ u ¹
t o̠ ³	d o̠ ³
dz i̠ ¹	dz i̠ ¹
v e̠ ³	v e̠ ³
ʒ i ³	ʒ e ³
ts u ¹	ts u ¹
ˀn i ³	ˀn i ³
b ɛ̠ ¹	b ɛ̠ ¹
g j u ³	g u ³
