p j æ ⁴	p r æ ⁴
m i ²	m i ²
ŋ w a ŋ ⁴	ŋ w a ⁴
ɣ u ²	ɣ u ŋ ²
b e ¹	b e ¹
s r e ¹	s r e ŋ ¹
g u ¹	g u ¹
ts r e ²	ts r e n ²
s a ŋ ³	s u ŋ ³
q ɯ ¹	q ɯ ¹
b ɯ ¹	b r i ¹
dz o ⁴	dz o ⁴
o ⁴	ɔ ⁴
s r r æ ŋ ²	s r e ŋ ²
tsʰ u ŋ ¹	tsʰ u ŋ ¹
m æ ²	m æ ²
tɕ j e n ¹	tɕ e n ¹
d ɔ ⁵	d ɔ ⁵
l o ŋ ¹	l o ŋ ¹
p j a ⁴	b r æ ⁴
ʈ o ⁴	d r o ⁴
ts r u ŋ ²	ʈ s u ŋ ²
qʰ ɯ̃ ¹	qʰ ɯ̃ ¹
g ɔ ¹	g ɔ ¹
kʰ o ³	kʰ r o ³
ts j a ³	tɕ a ³
l ɔ ¹	l ɔ ¹
s r i ¹	s r e ŋ ¹
d i ⁴	d i ⁴
qʰ w æ ¹	qʰ w æ ¹
b u ²	b ɯ ²
b j ɛ ²	b j ɛ ²
x ɯ ²	x ɯ ³³
ɖʐ o ¹	ɖʐ u ŋ ¹
ŋ o ¹	ŋ o ¹
tsʰ j e n ¹	tsʲʰ e n ¹
h ɔ ŋ ³	h a ŋ ⁵
tɕ æ n ¹	tɕ æ ŋ ¹
ts u ⁵	ts o ⁵
ŋ w e n ¹	ŋ w e n ¹
ts i ²	ts i ²
ɣ ɯ̃ ²	ɣ ɯ ²
p r a ¹	p r ɔ ¹
ɕ o ⁴	ɕ a
n o ŋ ¹	n o ŋ ³
ɣ ɯ ²	ɣ ɯ ²
