dz u ³	ts a ŋ ³
ˀn i ¹	ˀn i ¹
ʃ a ¹	ʃ a ³
s ɛ ²	s ɛ ²
k a ¹	k a ŋ ¹
ˀm e̠ ¹	ˀm j e̠ ¹
tsʰ e̠ ¹	d u ¹
s e ¹	s a ¹
z i ³	z i ³
tsʰ u ²	tʃʰ u ²
g y ²	g y ²
kʰ ɨ ¹	kʰ ɨ ³
l e̠ ³	l e̠ ¹
t a ŋ ¹	t a ŋ ¹
s y ¹	s y ¹
h a ¹	h a ¹
b o ²	b e ²
h e ¹	h e ¹
n̩ ²	n u ²
ˀl o̠ ³	l o̠ ¹
v a ¹	v u ¹
g a ŋ ³	g a̠ ³
a ¹	a ¹
l a ¹	l a ŋ ¹
m a ³	m o ²
v e̠ ³	v e̠ ³
kʰ e̠ ¹	kʰ e̠ ¹
m o ²	m o ²
a ¹	a ¹
m i ¹	m i ¹
m e ²	m a ³
ˀn a ³	ˀn u̠ ³
h e ¹	h e ¹
l y ¹	l y ¹
t a ⁵⁵	t a ⁵⁵
ʃ a ¹	ʃ a ¹
n ɛ̠ ¹	n ɛ ³
t a ¹	t j ɛ ³³
s ɛ ²	s ɛ ²
l a ²	l a ²
b i ³	b j e̠ ³
ts i̠ ²	ts e ²
ɣ a ŋ ¹	ɣ a ŋ ¹
z i ³	z i̠ ³
ɣ e ¹	h e ¹
a ¹	a ¹
m i ³	ˀm u ²
h e ¹	h e ¹
v ɛ ²	v y ²
g u ³	g u ³
ˀm ɛ ²	ˀm ɛ ²
g o̠ ¹	g o̠ ¹
n u̠ ¹	n u̠ ¹
m u ²	m ɨ ²
tsʰ i̠ ¹	tsʰ i̠ ¹
z e̠ ³	z e̠ ³
a ¹	a ¹
pʰ e ²	pʰ e ²
ɣ i ¹	x i ¹
t ɛ̠ ³	t a ³
ˀl i ²	ˀl i ²
ɣ i ³	ɣ i ¹
ɣ a̠ ³	ʃ a̠ ³
a ¹	a ¹
pʰ i ²	pʰ e ¹
d u ²	d u ²
p ɨ ²	p j ɨ ²
a ¹	a ¹
pʰ o ²	pʰ i ²
ˀl i ¹	ˀl i ¹
ˀn e ³	n e ²
kʰ ɛ ²	kʰ j ɛ ²
s i ²	s e ²
s i ¹	s i̠ ¹
kʰ a ²	kʰ a ²
ts e ¹	ts e ¹
a ¹	a ¹
tʃʰ j i ¹	tʃʰ u ¹
l e̠ ³	l e̠ ³
ts i ³	ts i ³
ɣ i ¹	ɣ i ¹
v e̠ ³	v e̠ ³
ʃ a̠ ²	ʃ a ²
tʰ u ¹	tʰ u ¹
ˀn a ²	n a ²
ʃ ɛ ¹	ʃ ɛ ¹
ʃ y ¹	s y ¹
s a ²	s a ²
a ¹	a ¹
a ²	a ²
t e ²	t e ²
m a ³	m a ³
t y ²	t y ²
t ɛ ¹	t u ¹
ʃ i ¹	ʃ i̠ ¹
kʰ o̠ ³	kʰ o̠ ³
dʒ a ²	dʒ ɛ ²
x e ¹	x e ¹
tsʰ u ²	g ɨ ²
dz i ³	dz i ³
l a ²	l a ²
kʰ i̠ ²	kʰ ɨ ²
s ɛ ²	s ɛ ²
ɣ i ¹	ɣ i ¹
d a ¹	d a ¹
a ¹	a ¹
m a ³	m a ³
b y ³	b y ³
pʰ o ²	pʰ o ²
dʒ ɛ ²	dʒ ɛ ²
p a̠ ¹	p a̠ ³
m̩ ²	m̩ ²
ɣ ɨ ¹	ɣ ɨ ¹
m ɛ ²	m ɛ ²
b a ²	b a ²
h ɛ̠ ¹	h ɛ̠ ¹
tʃ ɨ ¹	tʃ u ¹
b u ²	b o ²
b j a ²	b j a ²
ɣ ɛ ¹	ˀŋ y ¹
n e̠ ³	n i̠ ³
p i ²	p i ²
kʰ a ²	kʰ a ²
dz a ¹	dz a ¹
b a ŋ ³	b a ŋ ³
