kʰ l e ⁵⁵	kʰ l i ⁵⁵
pʰ ɔ ʔ̚ ⁵¹	pʰ ɔ ʔ ⁵¹
ŋ j a ⁵⁵	ŋ j ai ⁵⁵
p l a ⁵⁵	p l a ⁵⁵
m j i ɴ ⁵⁵	m i n ⁵⁵
l ə ⁰	l a ʔ̚ ³³
d ɔ ŋ ¹¹	d ɔ ŋ ¹¹
b r e ⁵⁵	b r e ⁵⁵
kʰ ɔ ʔ̚ ⁵¹	kʰ ɔ ʔ̚ ⁵¹
l a ŋ ⁵⁵	l a ŋ ⁵⁵
p j a ¹¹	p j a ¹¹
b i ¹¹	b i ¹¹
l ɛ ¹¹	l ɛ ¹¹
tʰ ə ¹¹	tʰ u ¹¹
b ə ʔ̚ ⁵¹	p ə ʔ̚ ⁰
m ə ŋ ¹¹	m ə ŋ ¹¹
kʰ i ŋ ⁵⁵	kʰ i ŋ ⁵⁵
n ɔ ¹¹	n̥ ɔ ɴ ¹¹
kʰ j o ʔ̚ ⁵¹	kʰ r o ʔ ⁵¹
p l e ŋ ⁵⁵	p l e ŋ ⁵⁵
r a ɴ ¹¹	r a ɴ ¹¹
j ɔ ʔ̚ ⁵¹	ɲ̊ ɔ ʔ̚ ⁵¹
l o ⁵⁵	l o ⁵⁵
pʰ ɔ ⁵⁵	pʰ ɔ ⁵⁵
l ou ¹¹	l̥ ou ¹¹
m a ¹¹	m a ¹¹
m i ⁵⁵	m i ⁵⁵
m a ⁵⁵	m a ⁵⁵
r ou ¹¹	r ou ¹¹
kʰ a ŋ ⁵⁵	kʰ a ŋ ⁵⁵
tʰ a ŋ ¹¹	tʰ a ŋ ¹¹
tʰ w ɛ ⁵⁵	tʰ w ɛ ⁵⁵
n ə ¹¹	n ei ¹¹
kʰ r r a ¹¹	g r a ¹¹
ʔ u ⁵⁵	ʔ u ⁵⁵
m j i ɴ ⁵⁵	ˀm i n ⁵⁵
