p au ⁵⁵	j ə ⁰
m̥ ɛ ʔ̚ ⁵¹	m ɛ ʔ̚ ⁵¹
ʔ ɛ ɴ ¹¹	ʔ ɛ ɴ ¹¹
s r ei ¹¹	s r ei ¹¹
ˀd ei ⁵⁵	ˀd ei ⁵⁵
p l o ŋ ¹¹	p l o ŋ ¹¹
n o ŋ ⁵⁵	n o ŋ ⁵⁵
kʰ w i ⁵⁵	kʰ w i ⁵⁵
cʰ j a n ¹¹	cʰ j a ɴ ¹¹
t a ʔ̚ ⁰	t ə ʔ̚ ⁰
l a ʔ̚ ⁵¹	l a ʔ̚ ⁵¹
l u ŋ ¹¹	l u ɴ ¹¹
n a t̚ ⁵¹	ŋ j a t̚ ⁵¹
r ɔ ⁵⁵	r ɔ ⁵⁵
l o ⁵⁵	l o ⁵⁵
kʰ l o ¹¹	kʰ l o ¹¹
b r e ⁵⁵	b r e ⁵⁵
pʰ e ʔ̚ ⁵¹	pʰ e ʔ̚ ⁵¹
p l a ⁵⁵	p l a ⁵⁵
j ɨ m ¹¹	j ɨ m ¹¹
b i ¹¹	b i ¹¹
b ə ŋ ⁵⁵	b ə ŋ ⁵⁵
k a ⁰	k ə ʔ̚ ⁰
n ə ¹¹	n ei ¹¹
s ɔ ʔ̚ ⁵¹	s ɔ ʔ̚ ⁵¹
b r a ⁵⁵	b r a ⁵⁵
m ə ŋ ¹¹	m ə ŋ ¹¹
kʰ l ɛ ŋ ⁵⁵	kʰ l ɛ ɴ ⁵⁵
j ə ⁵⁵	j ai ⁵⁵
n i ⁵⁵	n̥ i ⁵⁵
k u ¹¹	k u ⁵⁵
w i ⁵⁵	w i ⁵⁵
kʰ w au ⁵⁵	kʰ w au ⁵⁵
p l a ¹¹	p l a ⁵⁵
s a ʔ̚ ⁵¹	s a ʔ̚ ⁵¹
s i ʔ̚ ⁵¹	s i ʔ ⁵¹
