l o ŋ ¹¹	l̥ o ŋ ¹¹
ˀd w ɛ ¹¹	ˀd w ɛ ¹¹
ɲ̊ a ⁵⁵	ŋ̊ a ⁵⁵
c ə ŋ ⁵⁵	c ə ŋ ⁵⁵
ˀd ə n ⁵⁵	ˀd w ɨ ɴ ⁵⁵
s ɨ ¹¹	s w ɨ ɴ ¹¹
r w i ¹¹	r w i ¹¹
kʰ i ŋ ⁵⁵	kʰ i ŋ ⁵⁵
b o ¹¹	b o ¹¹
s ɔ ʔ̚ ⁵¹	s ɔ ʔ̚ ⁵¹
t ə ⁰	d ə ŋ ⁵⁵
m i ɴ ⁵⁵	ˀm i n ⁵⁵
l̥ ei ʔ̚ ¹¹	l̥ i ¹¹
j ə ⁵⁵	j ai ⁵⁵
g j a ⁵⁵	r j a ⁵⁵
j o ⁵⁵	j o ⁵⁵
s a ɴ ⁵⁵	s a ɴ ⁵⁵
kʰ w au ⁵⁵	kʰ w au ⁵⁵
l ei ⁵⁵	l ei ⁵⁵
m̥ ɛ ʔ̚ ⁵¹	m ɛ ʔ̚ ⁵¹
n e ¹¹	n e ¹¹
b ɔ ŋ ⁵⁵	b ɔ ŋ ⁵⁵
p au ⁰	j ə ⁰
s r ɔ ¹¹	s r ɔ ¹¹
d ɛ ʔ̚ ⁵¹	d ɛ ʔ̚ ⁵¹
cʰ j a ɴ ¹¹	cʰ j a ɴ ¹¹
g i ⁵⁵	k i ⁵⁵
ˀb ɨ ⁵⁵	ˀb ə ⁵⁵
kʰ a ¹¹	kʰ a ¹¹
g ə ⁰	g ə ⁰
s i ʔ̚ ⁵¹	s i ʔ ⁵¹
r w i ʔ ⁵¹	r̥ w i ʔ̚ ⁵¹
s a ¹¹	s a ¹¹
t ə ⁰	t ə ʔ̚ ⁰
b l ei ⁵⁵	b l ei ⁵⁵
c ɔ ¹¹	c ɔ ¹¹
