m o ¹	m u ¹
s ɛ ²	s ɛ ²
a ¹	a ¹
a ¹	a ¹
a ¹	a ¹
dʒ i ¹	dʒ i ¹
s i ¹	s i̠ ¹
pʰ y ²	pʰ y ²
ts i̠ ²	ts e ²
k o̠ ¹	k a ŋ ¹
g o̠ ³	g o̠ ³
l a ³	l a ³
g u ³	g o ŋ ³
ˀx a̠ ¹	kʰ a ²
l o̠ ¹	l u̠ ¹
v e̠ ²	v i ²
h a ¹	h a ¹
pʰ ɨ ¹	pʰ ɨ ¹
m ɨ ²	m ɨ ²
n a̠ ³	n a ŋ ³
pʰ j a ¹	pʰ a ¹
kʰ o̠ ³	kʰ o̠ ³
b a ŋ ²	b o ²
g ɛ ²	g ɛ ²
k y ²	k a ŋ ²
m o ²	m o ²
ɣ e ²	ɣ o ³
t i ¹	t i ¹
g a ³	g j a ³
a ¹	a ¹
g a ¹	g j a ¹
d i ¹	d i ¹
ts a ¹	ts a ¹
b ɛ ¹	b ɛ ¹
t u ¹	t u ¹
ɣ i ³	ʒ e ¹
b y ¹	b y ¹
ɣ ɛ ¹	ɣ ɛ ¹
m a ³	m a ³³
a ¹	a ¹
tsʰ a ¹	tsʰ a ¹
m ɛ ²	m ɛ ²
z a ²	z a ²
ʃ ɛ ¹	ʃ ɛ ¹
d i ¹	d i ¹
a ²	a ²
ɣ u ¹	ɣ o ³
b i ³	b j e̠ ³
ˀm j i ¹	ˀm i ¹
m ɛ ²	m e ²
pʰ e̠ ³	pʰ e̠ ³
tʃʰ o ³	tsʰ y̠ ¹
pʰ i ²	pʰ i ²
dʒ a ²	dʒ ɛ ²
t a ŋ ³	d u ³
ʃ ɛ ¹	ʃ ɛ ¹
dz a ŋ ¹	dz a ŋ ¹
b y ³	b y ³
a ¹	a ¹
ɣ i̠ ³	ɣ i̠ ³
ɣ ɛ ²	ɣ ɛ ²
pʰ ɨ ²	pʰ ɨ ²
tʰ a ²	tʰ a ²
ts e ¹	tʃ e ¹
k i ¹	k ɨ ¹
n̩ ²	n i ²
t o̠ ³	t o̠ ³
k ɛ ¹	k j ɛ ¹
d i ¹	d i ¹
s i̠ ¹	s i̠ ¹
s i̠ ¹	s i̠ ¹
m a ³	m a ³³
kʰ ɨ ²	kʰ ɨ̠ ³
m o ³	m ɨ ²
ɣ e̠ ³	ʃ ɨ̠ ¹
ˀn a ²	ˀn a ²
a ¹	a ¹
p ɨ ²	p j ɨ ²
m a ³	m a ³
ˀn a ¹	ˀn a ¹
l e̠ ³	l e̠ ³
g i ¹	g i ¹
s u ¹	s i ³
k e̠ ²	k j e ²
a ²	a ²
ˀl i ¹	ˀl u ¹
t o̠ ³	t o̠ ³
ɣ i ²	ɣ y ¹
b ɛ̠ ¹	b ɛ̠ ¹
b y ²	b y ²
kʰ ɨ ²	kʰ ɨ ²
k a ŋ ²	k a ŋ ²
s ɛ ²	s ɛ ²
p ɛ ³	p ɛ ³
s a ¹	s e ¹
ʃ o̠ ¹	ʃ o̠ ¹
b ɛ ¹	b ɛ ¹
b y̠ ³	b y̠ ³
ɣ i ¹	ɣ i ¹
t o̠ ³	d o̠ ³
t i ²	t i ²
a ¹	a ¹
tʃʰ o̠ ¹	tʃʰ o̠ ¹
m a ²	ˀm u ¹
ɣ a̠ ³	ʃ a̠ ³
a ¹	a ¹
s a ²	s a ²
x i̠ ³	x ɨ̠ ³
m a ³	m a ³
k y ²	d y ²
k o ³	k o ¹
m o̠ ³	m o̠ ³
v a ¹	v u ¹
a ¹	a ¹
dz i ¹	dz i̠ ¹
ˀm e̠ ¹	ˀm j e̠ ¹
p a̠ ³	p a̠ ³
k e̠ ²	k j ɛ ²
pʰ ɛ ³	f ɛ ³
l e̠ ³	l e̠ ¹
k ɛ ³	k ɛ ³
p ɛ ²	b a ŋ ²
a ¹	a ¹
ɣ a ³	ɣ a ³
m e̠ ¹	m e̠ ³
