p o ¹¹	b o ¹¹
b i ¹¹	b i ¹¹
c u ⁵⁵	c u ⁵⁵
k ə ⁰	k ə ⁰
tʰ ə ŋ ⁵⁵	tʰ ə ɴ ⁵⁵
p i ʔ̚ ⁵¹	p i ʔ̚ ⁵¹
tʰ u ⁵⁵	tʰ u ⁵⁵
cʰ a ⁵⁵	c a ⁵⁵
l i ʔ ¹¹	l̥ i ¹¹
kʰ l i ʔ̚ ⁵¹	kʰ l i ʔ̚ ⁵¹
m ɨ ¹¹	m ɨ ¹¹
ˀd e ¹¹	ˀd e ¹¹
j ɛ ʔ̚ ⁵¹	j ɛ ʔ ⁵¹
tʰ a ʔ̚ ⁵¹	tʰ a ʔ̚ ⁵¹
kʰ w i ⁵⁵	kʰ w i ⁵⁵
ˀd o ¹¹	ˀd o ¹¹
l ɛ m ¹¹	l̥ ɛ m ¹¹
p l a ⁵⁵	p l a ⁵⁵
kʰ a ¹¹	kʰ a ¹¹
n a ¹¹	n a ¹¹
kʰ r ɔ k̚ ⁵¹	kʰ r ɔ t ⁵¹
tʰ e ¹¹	tʰ e ¹¹
l ou ¹¹	l̥ ou ¹¹
pʰ w i ⁵⁵	pʰ w i ⁵⁵
kʰ o ¹¹	kʰ o ¹¹
b a ʔ̚ ⁰	b ə ʔ̚ ⁰
m̥ a ɴ ⁵⁵	m̥ a ɴ ⁵⁵
kʰ o ʔ̚ ⁵¹	kʰ o ʔ̚ ⁵¹
ɟ a ¹¹	ɟ a ¹¹
s ə ⁰	s ə ⁰
pʰ a ¹¹	pʰ a ¹¹
b ə ʔ̚ ⁵¹	p ə ʔ̚ ⁰
ʔ ɛ m ¹¹	ʔ ɛ ɴ ¹¹
ŋ j a ʔ̚ ⁵¹	ŋ j a ʔ̚ ⁵¹
s u ɴ ¹¹	s u n ¹¹
ˀb o ʔ̚ ⁵¹	ˀb o ʔ̚ ⁵¹
