p j o ⁴	p j u ⁴
qʰ w a ŋ ²	qʰ w a ŋ ²
tʰ r u ²	tʰ r u ²
d r o ¹	d r o ŋ ¹
j ɯ ⁴	j ɯ ⁴
d r ɯ ³	d r ɯ ³
m ø ²	m ø ²
s j e n ¹	s j e n ¹
kʰ r o ²	kʰ r o ²
t i ¹	tʲ ɯ ¹
m ɯ ⁴	m ɯ ⁴
x e n ¹	x e n ¹
k a ŋ ¹	k a ŋ ¹
n j o ŋ ⁴	ŋ j o ŋ ⁴
s i ²	s r i ²
sʰ r o ŋ ¹	sʰ r o ŋ ¹
w e n ¹	ʁ w e n ¹
ɖʐ o ⁴	ɖʐ o ⁴
ʔ w e n ¹	ʔ w e n ¹
ɣ ɯ ²	ɣ ɯ ²
d a ¹	d ɔ ¹
k w a ¹	k w a ⁴
b æ n ³	b æ n ³
x w i ²	x w i ²
b æ ¹	b æ ¹
b o ²	b o ŋ ²
ɣ ɛ ⁴	tsʰ w a ⁴
m o ²	m o ²
d a n ¹	d r æ n ¹
s w a n ¹	s w a ŋ ¹
ɣ ɯ ¹	ɣ ɯ ²
j o n ²	ŋ j o ²
qʰ w a ⁴	qʰ w a ⁴
k o ŋ ²	k o ŋ ²
tɕ j ɯ ²	tɕ ɯ ²
w æ ⁵	ŋ w æ ⁵
tʰ r æ n ¹	tʰ æ n ¹
q æ ⁵	q æ ⁵
q ɛ ¹	q ɛ ¹
ŋ w a ⁴	ŋ w a ⁴
k æ ⁴	k æ ⁴
s r o ²	s r o ²
tsʰ w a ŋ ²	tsʰ w a ŋ ²
w o ⁴	ʔ o ⁴
m e ¹	m ɛ ¹
s i ¹	s r e ŋ ¹
