ɲ ɛ ¹	ɲ e ¹
b e̠ ³	b e̠ ³
kʰ i ¹	kʰ ɨ ¹
d a ²	d a ²
ˀl i ²	ˀl i ²
ɣ a ¹	g j a ¹
m o ²	m o ²
m a ³	m o ²
ts i̠ ³	ts i̠ ³
tʃʰ e̠ ¹	tʃʰ e̠ ¹
m i̠ ¹	m i ¹
tʃʰ i̠ ³	tʃʰ i̠ ³
ɣ e̠ ³	tʃ e̠ ³
t o̠ ³	t o̠ ³
a ²	a ²
ʃ ɛ ¹	ʃ ɛ ¹
a ¹	a ¹
ˀm e ³	ˀm i ³
m i ¹	ˀm i ¹
pʰ u ¹	pʰ u ¹
ʒ o̠ ³	ʒ o̠ ³
s a ¹	s a ¹
tsʰ u ¹	tsʰ u ¹
m ɛ ²	m ɛ ²
a ¹	a ¹
g a ²	g j a ²
dʒ o̠ ³	dʒ o̠ ³
g u ²	g o ²
tʰ a ³	tʰ e̠ ³
d i̠ ¹	d i ¹
b i ²	b j o ²
b o ²	b o ²
s a ³	g a ³
ɣ y ¹	ˀn y ¹
g a ²	g a ²
g j ɛ ²	s ɛ ²
tʰ a ²	tʰ a ²
ˀn i ³	ˀn i ³
n e̠ ³	n i̠ ³
ʃ a ¹	h a ¹
tʰ u ¹	tʰ u ¹
s a ²	s a ²
s i ³	s i ³
ɣ i ¹	ɣ i ¹
ɣ e̠ ¹	ɣ e̠ ¹
ˀn a ¹	ˀn a ¹
g i ¹	g i ¹
tʃ a̠ ³	tʃ ɛ̠ ³
tʃ e̠ ³	ts e̠ ³
v e̠ ³	v e̠ ³
kʰ i ¹	kʰ i ¹
d a ¹	d a ŋ ¹
t o̠ ³	t o̠ ³
ts a ¹	ts a ¹
tʰ y ³	tʰ y ¹
m o ¹	m o ¹
tsʰ y ¹	tsʰ y ¹
l y ¹	l y ¹
a ³	a ²
k a ¹	x a ŋ ¹
kʰ u ¹	kʰ u ¹
ˀn u ³	n i̠ ³
a ¹	a ¹
p a̠ ³	p a̠ ³
a ¹	a ¹
p ɨ ²	p ɨ ²
k u ¹	k j o ¹
tsʰ a ¹	tsʰ a ¹
k ²	n̩ ²
ˀm j ɛ ¹	ˀm ɛ ¹
ɣ e ¹	h e ¹
n e̠ ¹	n i̠ ¹
ˀm ɛ ¹	ˀm ɛ ¹
kʰ ɨ ²	kʰ ɨ ²
tʰ y ²	tʰ y ²
tsʰ u ²	tʃʰ i ²
t o̠ ³	t o̠ ³
d a ¹	t a ŋ ³
k a ²	k a ŋ ²
ʃ a̠ ²	ʃ a ²
v ɛ̠ ³	v ɛ̠ ³
p y ¹	p y ³
z a ²	z a ²
tʃʰ i̠ ²	tʃʰ i ²
s i ¹	ʃ y ¹
a ¹	a ¹
kʰ a ²	kʰ a ²
ɲ j a ¹	ŋ j a̠ ¹
m j a ²	m j a ²
n i ²	n u ²
v a ¹	v u ¹
ˀn e̠ ¹	ˀn i̠ ¹
a ¹	a ¹
ŋ a ¹	ŋ a ¹
ɣ i ¹	ɣ i ¹
b o ²	b o ²
m a ³	m a ³
a ¹	a ¹
dʒ i ³	dʒ i ³
pʰ a ²	pʰ a ²
ʒ o̠ ³	ʒ o̠ ³
pʰ ɨ ²	pʰ ɨ ²
g o̠ ³	g o̠ ³
p a ³	pʰ o̠ ¹
n a ²	n a ²
m a ³	m a ³
d ³ e ¹	ˀm j y̠ ¹
ˀm j i ¹	ˀm i ¹
p a̠ ³	p a̠ ³
m ɛ ²	m ɛ ²
d e̠ ³	d ɛ̠ ³
g o ¹	g u ¹
s y ²	s y ²
k y ²	k a ŋ ²
b a ³	h a ¹
k a ²	k a ²
p ɨ ²	p j ɨ ²
ʃ ɛ ¹	ʃ ɛ ¹
ɣ i ³	ɣ i ¹
dʒ a ¹	dʒ e̠ ¹
kʰ y ¹	kʰ y̠ ¹
s y ¹	s y ¹
n i ¹	ɲ a ²
h e ¹	h e ¹
ts i ³	ts i̠ ³
