p i ³	b r i ³
tsʰ e ŋ ¹	tsʰ r e ŋ ¹
ɕ j e n ¹	dʑ e n ¹
tɕ i ¹	tɕ i ¹
z ɔ ¹	z ɔ ¹
k r u ŋ ²	ɣ u ŋ ²
ŋ w e ²	ŋ w e n ²
s w a n ¹	s w a ŋ ¹
ɣ æ ⁴	ɣ æ ⁴
m æ ¹	m æ ¹
d a ⁴	d a ⁴
tɕ ɯ ¹	tɕ u ¹
tɕ j æ ⁴	tɕ æ ¹
m ɯ ¹	m ɯ ²
ɖʐ j o ⁴	ɖʐ o ⁴
m r æ ŋ ¹	m j æ ¹
x w i ²	x w i ²
sʰ ɛ ⁴	sʰ ɛ ⁴
k o ŋ ¹	ɣ o ŋ ¹
d r ɯ ¹	ʈ ɯ ⁴
k ɯ ¹	k ɯ ¹
k ɔ ⁴	k o ⁴
a ⁵	ʔ a ⁴
ʈ o ⁴	ʈ o ⁴
q a ŋ ¹	q a ŋ ¹
ŋ æ ¹	ŋ ɔ ¹
tɕʰ j æ n ¹	tsʰ j æ n ¹
n j o ŋ ¹	n j o ¹
p r u ¹	p r ɔ ¹
sʰ j ɔ ¹	sʰ r ɔ ¹
tsʰ j e ²	tsʰ r e n ²
l ɔ ¹	l a ¹
p æ ⁴	p æ ⁴
d o ¹	d r o ŋ ¹
b æ ¹	b æ ¹
s r e ⁴	s r i ⁴
χ w a ⁴	h w a ⁴
ŋ j e n ¹	n j e n ¹
s j i ⁴	s j i ⁴
ts o ⁴	ts o ⁴
ɣ o ⁴	ɣ o ⁴
h ɔ ¹	h ɔ ¹
qʰ ɯ̃ ¹	qʰ ɯ̃ ¹
s r u ¹	s r u ¹
tsʰ i ⁴	tsʰ j i ⁴
ts u ŋ ²	ts u ŋ ²
x æ n ¹	χ æ n ¹
