p j æ ⁴	p r æ ⁴
q a ŋ ¹	q a ŋ ¹
k o ⁵	k o ⁵
tʰ r a ⁴	tʰ a ⁴
qʰ ɔ ²	qʰ ɔ ²
ɕ r a ⁴	ɕ a ⁴
q o ⁴	q ɔ ⁴
ts i ⁴	ts j i ⁴
q æ n ²	q æ n ²
p r e n ¹	p r e n ¹
z e n ¹	z e n ¹
ŋ r e ²	n j i ²
tʰ u ²	tʰ j u ²
ts u ŋ ²	ts u ŋ ²
qʰ æ ⁴	qʰ æ ⁴
p r e ²	p ɛ ²
ɖʐ o ¹	ɖʐ o ¹
ŋ u ²	ŋ u ²
ɣ o ⁴	ɣ o ⁴
m e ¹	m e ¹
tɕ i ¹	tɕ i ¹
p j o ⁴	p j o ⁴
sʰ w ɛ ⁴	sʰ w ɛ ⁴
h ɔ ¹	h ɔ ¹
q o ŋ ¹	q o ŋ ¹
ɣ ɯ ¹	ɣ ɯ ²
s w a ¹	ɕ w i ²
s j i ²	s j i ²
ʈ o ⁴	ʈ o ⁴
m ɔ ¹	m ɔ ¹
qʰ w i ²	kʰ w ɛ ²
tʰ r r æ ⁴	tʰ r æ ⁴
s w a n ¹	s w a ŋ ²¹
tsʰ e ²	tsʰ r e n ²
tsʰ e ¹	tsʰ r e ŋ ¹
d r ɯ ¹	ʈ ɯ ⁴
ɖʐ o ⁴	ɖʐ o ⁴
d o ¹	d r o ŋ ¹
z i ³	z ɯ ³
χ u ⁴	χ ɯ ⁴
χ æ n ¹	χ æ n ¹
ɣ a ¹	ɣ æ ¹
l ɔ ¹	l ɔ ¹
ŋ w a ⁴	ŋ w a ⁴
m æ ¹	m æ ¹
tsʰ u ŋ ¹	tsʰ u ŋ ¹
s o ⁴	s ɔ ⁴
