ˀl i ¹	l i ¹
n i ³	ˀn i ³
ˀn e ¹	n e̠ ³
tsʰ ɛ ¹	tʃʰ i̠ ³
ˀl y ²	ˀl y ²
ˀn a ¹	ˀn a ¹
ŋ ²	n u ²
kʰ y ¹	kʰ j y ¹
s ɛ ²	s ɛ ²
k a ³	k a̠ ³
tʰ a ²	tʰ a ²
a ¹	a ¹
a ²	a ²
p ɨ ²	p j ɨ ²
n̩ ²	n i ²
a ²	a ²
p a̠ ³	p a̠ ³
s i̠ ¹	s i̠ ¹
g j u ²	g j ɛ ²
tsʰ e̠ ¹	d u ¹
ɣ i ¹	ɣ i ¹
v ɛ ¹	v ɛ ¹
l a ²	l a ²
g a ¹	g a ¹
m a ²	m a ²
ʃ a ¹	ʃ a ¹
t o̠ ³	t o̠ ³
g u ²	g j u ²
z e̠ ³	z e̠ ³
b a ³	b a ŋ ³
b ɛ̠ ¹	b ɛ̠ ¹
ɣ i ¹	ɣ ɨ ¹
l a ³	l a ³
m o̠ ³	m o̠ ¹
d a ¹	d a ŋ ¹
t o̠ ³	t u ³
ʃ a ¹	ʃ a ¹
dz i̠ ²	dz i ³
ŋ a ¹	ŋ a ¹
h i ²	ɣ a̠ ³
dʒ a ¹	dʒ a ¹
m e ¹	m e ¹
ɣ i ¹	ɣ i ¹
s y ²	s y ²
t y ¹	t y ¹
t e̠ ¹	t i̠ ¹
d i ¹	d i ¹
dz e ²	dz e ²
p j i ²	b a ²
a ¹	a ¹
n a ³	ˀn i ³
dʒ ɛ ¹	dʒ ɛ ¹
g ɛ ²	g ɛ ²
n e ³	n e ³
l a ¹	l a ¹
a ¹	a ²
ɣ i ³	ʒ e ¹
m j a ¹	m j a ŋ ¹
n i ³	ˀn i ³
pʰ j a ¹	pʰ j a ¹
kʰ a ²	kʰ a ²
t e ²	t e ²
dz i̠ ¹	dz e ¹
ˀm j i ¹	ˀm i ¹
ˀn e ³	n e ²
dz i ¹	dz i ¹
s a ¹	g ɨ ¹
v a ²	v y ²
ʃ ɛ ¹	ʃ ɛ ¹
p ɨ ²	p j ɨ ²
v u ¹	v u ¹
b a ²	tʰ a ŋ ²
ˀn ɛ̠ ³	ˀn ɛ̠ ³
i ²	i ²
n y ²	n y ²
n y ¹	n y ¹
v a ²	v a ²
kʰ o̠ ³	kʰ o̠ ³
m a ³	m a ³
tʰ ɛ ³	tʰ ɛ ³
d a ŋ ¹	t u ¹
tsʰ a ¹	tsʰ a ¹
d u ²	d u ²
m e̠ ³	ˀm e̠ ³
b a ²	b a ²
tsʰ y ¹	tsʰ y ¹
b y ¹	b y ¹
m o ¹	m u ¹
tʰ e̠ ³	tʰ e̠ ³
d a ³	d a ²
tʰ a ²	tʰ a ²
kʰ i ¹	kʰ i ¹
pʰ u ²	pʰ u ²
t a ŋ ¹	t a ŋ ¹
d a ²	d a ²
b o̠ ¹	b o̠ ¹
z a ²	z a ²
ts i̠ ³	ts i̠ ³
l u ¹	l u ¹
x ɨ ²	x ɨ ²
ɣ i ³	ɣ i ¹
t e ²	t e ²
tʰ i ³	tʰ u ³
m a ³	m a ³
tʃʰ j a ¹	tʃʰ u ¹
ɣ e̠ ¹	ɣ e̠ ¹
m u ³	m u ³
s e ¹	s e ¹
dz e ¹	dz e ¹
ˀl u ³	l u ³
m ɨ ²	m ɨ ²
pʰ a ŋ ¹	pʰ j a ¹
s e̠ ³	s e̠ ³
tsʰ i ¹	k i ¹
tʃʰ ɨ ¹	tʃʰ ɨ ¹
tsʰ y̠ ³	tsʰ y̠ ³
ts i ³	ts i ³
ˀl u ³	ˀl u ³
l a ŋ ³	l o̠ ³
p i ²	p i ²
ɣ ɨ ¹	ɣ ɨ ¹
ʃ a ¹	ʃ a ¹
d a ²	d i ²
tʰ u ¹	tʰ u ¹
k a ²	dz a ¹
