tɕʰ ə ⁴	tʰ e ⁴
χ ɯ ²	χ ɯ̃ ²
s r o ¹	s r o ¹
m e ¹	m e ¹
ɣ ɯ ²	ɣ ɯ ²
sʰ ɛ ⁴	sʰ ɛ ⁴
ɖʐ w e n ⁵	ɖʐ w e n ⁵
qʰ æ ⁴	qʰ æ ⁴
tʰ ɯ ⁴	tʰ ɯ̃ ⁴
sʰ w a ⁴	sʰ w a ⁴
p j u ¹	pʰ j u ŋ ¹
b e ²	b e ²
n ɛ ⁴	n e ⁴
b o ²	b o ŋ ²
n u ¹	n j o ŋ ¹
k ɔ ⁴	k o ⁴
x e n ¹	x e n ¹
kʰ ɔ ⁴	kʰ o ⁴
ts r u ⁴	ts r o ⁴
tsʰ i ³	tsʰ e ³
n o ŋ ¹	n o ŋ ¹
ts i ²	ts i ²
b j o ⁴	b j o ⁴
q o ŋ ¹	q o ŋ ¹
ɖʐ o ⁵	ɖʐ o ³
tɕ e n ²	ɖʐ e n ²
j e n ¹	j e n ¹
p j ɛ ¹	p j e ¹
m æ ⁴	m æ ⁴
b ɛ ⁴	b ɛ ⁴
d w a ¹	d w a ⁴
m r i ¹	m j i ¹
ɖʐ i ⁴	ɖʐ i ⁴
s j i ⁴	s j i ⁴
m ɛ ²	m ɛ ²
ɖʐ ɯ ²	dʑ ɯ ²
d ɛ ⁴	d ɛ ⁴
b o ⁴	b j o ⁴
tsʰ i ⁴	tsʰ j i ⁴
ts w æ n ²	ʈ w æ n ²
m ɛ ¹	m ɛ ¹
pʰ ɯ ¹	pʰ ɯ ¹
p u ŋ ¹	z r o ŋ ¹
s u ŋ ³	s u ŋ ³
ŋ ɔ ¹	ŋ ɔ ¹
j æ ³	b j o ²
