dʒ i̠ ²	dʒ e ³
s o ¹	s u ¹
ts e ²	ts e ²
ʒ o̠ ¹	ʒ o̠ ¹
k e ¹	k ɛ ³
a ¹	a ¹
ʃ y ¹	s i ¹
l e̠ ³	l e̠ ³
tʃʰ o ³	tsʰ y̠ ¹
dz i̠ ²	dz i ³
b e	b y ²
t ɛ ³	t u ¹
k i ²	dʒ i ²
m o̠ ³	m o̠ ¹
ˀn i ³	ˀn i ³
ˀn y ¹	ˀn y ¹
b o̠ ¹	b o̠ ¹
l y ¹	l y ¹
ɣ i ¹	ɣ i ¹
p e ³	p e̠ ³
s e ¹	s e ¹
n i ¹	n i ¹
s ɛ̠ ³	s ɛ̠ ³
p a̠ ³	p a̠ ³
ˀl i ¹	ˀl i ¹
dʒ u ³	dʒ u ³
ˀl a ²	ˀl a ²
kʰ u ³	kʰ a ŋ ²
kʰ a̠ ¹	kʰ a̠ ¹
tʃ a̠ ³	tʃ a̠ ³
t ɛ̠ ³	t a ³
tsʰ a ¹	tsʰ a ¹
l y̠ ³	ˀl y̠ ³
ts e ¹	ts e ¹
p ɨ ¹	p ɨ ¹
ʃ ɛ ²	ɣ u ²
k i ²	k a ŋ ²
tʃ i ¹	g j o ¹
ˀv e̠ ¹	pʰ u ¹
ʃ ɛ ¹	ʃ ɛ ¹
b a ²	b a ²
ˀv e̠ ¹	ˀv e̠ ¹
k a ³	k a ¹
m a ²	m a ²
kʰ o ¹	kʰ o ¹
l u ¹	l u ¹
x a ¹	k u ³
m j a ²	m j y ²
k a ¹	k a ¹
s ɛ ²	s ɛ ²
ɣ i ¹	ɣ u ²
t ɛ ¹	t ɛ ¹
d u̠ ²	tʃʰ e̠ ¹
k u ³	tsʰ o̠ ¹
k ²	ɛ ²
s j y ¹	s y ¹
i ²	i ²
ts i̠ ³	ts i̠ ³
h a ¹	h a ¹
kʰ u ¹	kʰ u ¹
kʰ i ¹	kʰ i ¹
t i ¹	t i ¹
ˀl o̠ ¹	ˀl o̠ ¹
dz a ¹	tʰ a ²
n i ²	n u ²
k ɛ ¹	k j ɛ ¹
d e̠ ¹	d e̠ ¹
i ²	i ²
v i̠ ¹	ˀv i̠ ³
tsʰ i ²	tsʰ ɿ ²
dz e ŋ ²	dʒ ɛ ²
m i ¹	m i ¹
dz i ¹	dz i̠ ¹
pʰ e ¹	pʰ e̠ ¹
v e̠ ³	v e̠ ³
d e̠ ¹	d e̠ ¹
ˀl a̠ ³	l a ³
n y ¹	n y ¹
kʰ ɛ ³	kʰ ɛ ²
p o̠ ¹	p o̠ ¹
dz a ²	dz a ²
n a ¹	n a ¹
p e ¹	p e ¹
tʃʰ ɛ ¹	tʃʰ ɛ ¹
s y ¹	s y ¹
ʃ i̠ ³	ʃ i̠ ¹
m a ¹	m a ŋ ²
s a ¹	g ɨ ¹
ʃ a ³	ʃ a̠ ³
k a ¹	z ɛ ¹
m o ¹	m u ¹
j a ŋ ³	j a ŋ ²
a ¹	a ¹
tʰ ɛ ²	tʃʰ ɛ ²
ɣ e̠ ¹	ɣ e̠ ¹
b a ²	b a ²
z a ²	s u ¹
l e̠ ³	l e̠ ³
a ¹	a ¹
tʰ y ¹	tʰ y ¹
kʰ y ²	kʰ y ²
ɲ j e ¹	ɲ e ¹
l a ²	l a ²
m i̠ ¹	ˀm j y̠ ¹
s y ¹	s y ¹
p a ¹	p a ¹
d u ¹	d u ¹
dz e ¹	dz e ¹
tʃʰ ɨ ²	tsʰ ɿ ²
s u ¹	ʒ a ¹
v u ¹	v u ¹
ɣ a ŋ ¹	ɣ a ŋ ¹
v a ²	v a ²
ɣ i ¹	ɣ i ¹
a ¹	a ¹
pʰ j a ¹	pʰ a ¹
k i ¹	k i ¹
tʰ u ¹	tʰ u ¹
k a ŋ ¹	k a ŋ ¹
z i ³	z i ³
d e ²	d i ²
x e ³	ʃ i ³
n e̠ ¹	n i̠ ¹
x e̠ ¹	ˀx y ¹
v a ¹	v u ¹
