m o ŋ ²	m ø ²
tɕ e n ¹	tɕ e n ¹
s r o n ¹	s r o ⁴
tɕ ɯ ²	tɕ ɯ ²
d o ŋ ²	d j o ŋ ²
ʁ a ŋ ¹	ʁ a ŋ ¹
p j ɛ ¹	p j e ¹
s r u ¹	s r u ¹
ɣ o ⁴	ɣ u ⁴
d r ɯ ³	d r ɯ ³
q o ŋ ¹	q o ŋ ¹
ɕ æ n ¹	s j æ n ¹
dz o ⁴	dz o ⁴
pʰ r æ ¹	pʰ r æ ¹
p æ ¹	pʰ a ¹
ɕ r a ⁴	ɕ a ⁴
ŋ u ²	ŋ u ²
ɣ æ ⁴	ɣ æ ⁴
t w e n ¹	t w e n ¹
ŋ j o n ¹	z r o ŋ ¹
qʰ u ²	qʰ u ²
qʰ a ⁴	qʰ a ⁴
b e ¹	b e ¹
χ ɯ ²	χ ɯ̃ ²
sʰ w a ⁴	sʰ w a ⁴
b e ²	p ɛ ²
m ɛ ⁵	m ɛ ⁵
ts w i ⁴	ts w ɛ ⁴
ts i ²	ts u ²
sʰ r ɯ ²	sʰ r ɯ ²
n ɔ ³	n ɔ ³
qʰ w æ ¹	qʰ w æ ³
p r ɛ n ⁵	p r e n ⁵
b r ɯ ³	p u ³
s ɔ ⁴	s ɔ ⁴
ɕ o ⁴	ɕ a
qʰ ɔ ²	qʰ ɔ ²
q a ŋ ¹	q a ŋ ¹
h ɔ ¹	h ɔ ¹
n u ¹	n j o ŋ ¹
sʰ r æ ⁴	sʰ r æ ⁴
ŋ w æ ⁴	x w a ¹
q ɛ ¹	q ɛ ¹
dʑ a ⁴	dʑ a ⁴
χ ɯ ⁴	χ ɯ ⁴
j o ⁵	j ɔ ⁵
