ts r i ²	ts u ²
s j i ⁴	s j i ⁴
ʈ r o ŋ ¹	ʈ o ŋ ¹
tɕ i ¹	tɕ i ¹
d ɯ ³	d ɯ ⁵
d a ¹	d ɔ ¹
ɣ w a ⁴	ɣ w a ⁴
s r e ¹	sʰ r e ŋ ¹
q æ ¹	q æ n ¹
n j o ²	ŋ j o ²
n j e ⁴	n j e ⁴
ʁ o ŋ ¹	ʁ o ŋ ¹
g w a ⁴	ɣ w a ⁴
g ɯ ¹	g ɯ ¹
kʰ o ŋ ¹	kʰ o ŋ ¹
q ɯ ¹	q ɯ ¹
t w e n ²	t w e n ²
ɣ ɯ ²	ɣ ɯ ²
ts r i ¹	ts r i ¹
p r a ŋ ⁴	b a ŋ ⁴
sʰ a ŋ ¹	sʰ a ŋ ¹
w e n ¹	ʁ w e n ¹
m ɯ ⁴	m ɯ ⁴
qʰ ɔ ²	qʰ ɔ ²
tɕʰ i ¹	tɕʰ i ¹
kʰ o ⁴	kʰ o ⁴
q o ⁴	q ɔ ⁴
o j e n ²	dʑ e n ¹
q æ ⁵	q æ ⁵
tsʰ e ²	tsʰ r e n ²
m ɛ ⁵	m ɛ ⁵
tsʰ j e n ¹	tsʰ j e n ¹
m o ²	m ø ²
d r o ⁴	d r o ⁴
b j o ⁴	b j o ⁴
tʰ r a ⁴	tʰ j æ ⁴
tʰ r æ n ¹	tʰ æ n ¹
t ɯ ⁴	d j ɯ ²
k o ⁴	qʰ ɔ ⁴
p j i ²	p e ¹
ɣ ɯ̃ ²	ɣ ɯ ²
p j o ⁵	p j o ⁵
ʈ r o ⁴	d r o ⁴
qʰ w i ²	kʰ w ɛ ²
ts r e ²	ts r e n ²
tɕ ɯ ¹	tɕ u ¹
tʰ e ²	tʰ j e ²
