m i ɴ ⁵⁵	ˀm i n ⁵⁵
ˀb ə ¹¹	ˀb ə ¹¹
cʰ a ⁵⁵	cʰ a ⁵⁵
n̥ ə ŋ ⁵⁵	n ɨ ŋ ⁵⁵
d a ʔ̚ ⁵¹	t a ʔ̚ ⁵¹
k l ə ⁵⁵	k l ɛ ⁵⁵
k ə ʔ ⁵¹	k ə ʔ̚ ⁵¹
p l a ⁵⁵	p l a ⁵⁵
ˀd ə ⁵⁵	ˀd ə ⁵⁵
p l o ŋ ¹¹	p l o ŋ ¹¹
ˀb w ɛ ⁵⁵	p w ɛ ⁵⁵
kʰ l a ɴ ⁵⁵	kʰ l ɛ ɴ ⁵⁵
n̥ ei ⁵⁵	n ei ⁵⁵
l ɛ ¹¹	l ɛ ¹¹
kʰ l ei ¹¹	kʰ l ei ¹¹
d a ⁰	t ə ⁰
tʰ au ⁵⁵	tʰ au ⁵⁵
tʰ ə ¹¹	tʰ ə ¹¹
tʰ w ɛ ⁵⁵	tʰ w ɛ ⁵⁵
pʰ e ⁵⁵	pʰ e ⁵⁵
n̥ a ¹¹	n a ¹¹
k i ¹¹	k i ¹¹
n̥ a ¹¹	n a ¹¹
l̥ ɛ ⁵⁵	l w ɛ ⁵⁵
m ɛ ¹¹	m w ɛ ¹¹
ʔ ɛ ɴ ¹¹	ʔ j ɛ n ¹¹
n̥ u ʔ̚ ⁵¹	n ə ʔ ⁵¹
k w a ɴ ⁵⁵	ʔ w a ɴ ⁵⁵
k ə ⁰	k ə ⁰
l a ʔ̚ ⁵¹	l a ʔ̚ ⁵¹
m i ⁵⁵	m i ⁵⁵
ʔ w i ¹¹	ʔ w i ¹¹
tʰ a ʔ̚ ⁵¹	tʰ a ʔ̚ ⁵¹
g ə ⁰	g ə ⁰
ˀd e ʔ̚ ⁵¹	ˀd e ʔ̚ ⁵¹
l e ʔ̚ ⁵¹	l e k̚ ⁵¹
