dʑ i ³	d i ³
ɣ a ŋ ¹	ɣ æ ¹
g ɯ ¹	g ɯ ¹
pʰ e ¹	pʰ e ¹
d w a ¹	d w a ⁴
ʁ ɯ ⁴	ʁ ɯ ⁴
t w e n ¹	t w e n ¹
q æ n ¹	q æ n ¹
qʰ u ¹	qʰ u ¹
ɖʐ a ⁴	b r æ ⁴
ɯ̃ ²	ɯ̃ ²
kʰ r o ²	kʰ r o ²
d ɔ ⁵	d ɔ ⁵
ɣ ɯ ³	ɣ ɯ ³
ŋ ɔ ³	ŋ ɔ ³
tʰ e ²	tʰ j e ²
ɖʐ o ¹	ɖʐ u ŋ ¹
ʁ o ŋ ¹	ʁ o ŋ ¹
q o ⁴	q ɔ ⁴
b r ɯ ³	p u ³
tʰ e ⁴	tʰ j e ⁴
qʰ w a ŋ ²	qʰ w a ŋ ²
j ɯ ¹	j ɯ ¹
d e ⁴	d r ɛ ⁴
ŋ w e n ¹	ʁ w e n ¹
sʰ r o ŋ ¹	sʰ r o ŋ ¹
ŋ j e ²	n j i ²
s r w a n ¹	s w a ŋ ¹
n ɔ ³	n ɔ ³
s j e n ¹	sʰ j e n ¹
t w e n ²	t w e n ²
p æ ⁴	p æ ⁴
ɖʐ i ⁴	ɖʐ i ⁴
ts r i ¹	ts r i ¹
x e n ¹	x e n ¹
tsʰ r e ²	tsʰ r e n ²
q a ŋ ¹	q a ŋ ¹
s j i ⁴	s j i ⁴
tʰ r o ⁴	tʰ r o ⁴
d r ɯ ³	d r ɯ ³
ɣ ɯ ¹	ɣ ɯ ¹
j i ³	j i ³
b ɔ ³	b ɔ ³
ts j j e n ⁵	ts j e n ⁵
tsʰ i ³	tsʰ e ³
tɕ i ¹	tɕ i ¹
