d a ŋ ³	ts a ŋ ³
m i̠ ¹	m i ¹
pʰ e̠ ¹	pʰ e̠ ¹
d a ŋ ¹	d a ŋ ¹
ˀl e ³	l e̠ ³
n ɛ ¹	ɲ e ¹
b e̠ ¹	b e̠ ¹
ˀn i̠ ¹	ˀn i̠ ¹
m ɛ ²	m e ²
p ɨ ²	p j ɨ ²
ʒ i̠ ³	ʒ e̠ ³
z a ²	z a ²
ˀl ɛ̠ ³	l a ³
m a ²	m a ²
ˀn a ²	ˀn a ²
l e̠ ³	l e̠ ³
x a ³	ˀx a ³
n y ³	n e̠ ³
ŋ a ¹	ŋ a ¹
s u ¹	s u ¹
s a ²	s a ²
p y ¹	p y̠ ¹
m i̠ ³	ˀm u ²
l o̠ ²	l y ²
tʰ a ŋ ²	tʰ u ²
ˀm ɛ ¹	ˀm ɛ̠ ¹
m u ¹	m o ²
s ɛ ²	s ɛ ²
m a ³	m a ³³
kʰ ɨ ²	kʰ ɨ ²
kʰ a ŋ ²	kʰ a ŋ ²
dz a ²	dz a ²
h e ¹	h e ¹
a ¹	a ¹
ɣ i ¹	ɣ i ¹
t a ⁵⁵	t a ⁵⁵
m i ¹	m i ¹
ŋ a ¹	ŋ a ¹
n ɛ ²	n ɛ ²
dz ɛ ²	dz ɛ ²
t a ¹	t u ¹
s a ¹	s a ¹
t u ¹	t u ¹
a ¹	a ¹
tsʰ e ¹	k i ¹
s u ¹	ʒ a ¹
s i̠ ¹	s i̠ ¹
p ɛ̠ ¹	p ɛ̠ ¹
t a ³	t a̠ ³
pʰ a ²	pʰ a ²
pʰ i ²	pʰ i ²
b a ²	b a ²
z i ³	z i ³
g a ²	g a ²
a ¹	a ¹
z a ²	z a ²
p a ³	pʰ o̠ ¹
s a ²	s a ²
ɣ i ¹	ɣ i ¹
g o̠ ³	g j o̠ ¹
z i ²	z i ²
m e̠ ¹	m e̠ ³
dʒ a̠ ¹	dʒ e̠ ¹
d e ³	d e ³
n u ²	n u ²
z a ²	z a ²
a ¹	a ¹
n e̠ ¹	n i̠ ¹
a ¹	a ¹
m a ³	m a ³
a ¹	a ¹
tʃʰ ɨ ¹	tʃʰ ɨ ¹
m a ³	m a ³
h a ¹	h a ¹
ʃ a ¹	ʃ a ¹
kʰ ɛ ²	kʰ j ɛ ²
l o ²	l y ²
b i ¹	b ɨ̠ ¹
tʃ a ³	tʃ a ³
ˀn y ¹	ˀn y ¹
g i ¹	g i ¹
kʰ a ¹	kʰ a ¹
n i̠ ¹	n i̠ ¹
k u̠ ³	k a ²
m e ²	m a ³
pʰ e̠ ³	pʰ e̠ ³
b a ²	b a ²
g i ²	g i ²
m a ³	m a ³
pʰ e ³	p e̠ ³
b o ¹	b ɨ̠ ¹
b ɛ̠ ¹	b e ³
ʃ a ¹	ʃ a ³
ɣ i ³	ʒ e ¹
p a ¹	p e ¹
k e ²	k j ɛ ²
ˀn ɛ̠ ³	ˀn ɛ̠ ³
ˀl a ¹	l a ŋ ¹
h e̠ ³	h e̠ ³
kʰ ɛ ³	kʰ ɛ ²
ts e ¹	tʃ e ¹
b ɛ ¹	b ɛ ¹
kʰ i ¹	kʰ i ¹
tʃʰ ɨ ¹	tʃʰ ɨ ¹
ʃ a̠ ²	ʃ a ²
k a ¹	ŋ w a ¹
p a̠ ³	p a̠ ³
tsʰ e̠ ¹	tsʰ e̠ ¹
n y ¹	n y ¹
dʒ a ²	dʒ ɛ ²
ɲ a̠ ³	n a ŋ ³
h i ²	ɣ a̠ ³
dz i ¹	dz e ¹
k u ¹	tsʰ o̠ ¹
k a ¹	k a ¹
kʰ u ¹	kʰ u ¹
dʒ u ³	dʒ u ³
ˀn a ²	ˀn a ²
v ɛ ¹	v ɛ ¹
ˀl o̠ ³	ˀl o̠ ¹
dz i ²	dz i ²
t i ³	t a ³
m a ²	m a ŋ ²
b i ³	b j e̠ ³
k ¹ ²	k a ŋ ²
