m i ɴ ⁵⁵	ˀm i n ⁵⁵
kʰ ɔ ʔ̚ ⁵¹	kʰ ɔ ʔ̚ ⁵¹
b l ei ⁵⁵	b l ei ⁵⁵
l o ŋ ¹¹	l̥ o ŋ ¹¹
kʰ a ¹¹	kʰ a ¹¹
k w a n ¹¹	g l a m ¹¹
r ɔ ⁵⁵	r ɔ ⁵⁵
ʔ o ¹¹	ʔ o ¹¹
ˀb ɔ ⁵⁵	ˀb ɔ ɴ ⁵⁵
p r ɔ ʔ̚ ⁵¹	p r ɔ ʔ̚ ⁵¹
cʰ ou ¹¹	cʰ r ou ¹¹
kʰ l ei ¹¹	kʰ l ei ¹¹
kʰ l a ɴ ⁵⁵	kʰ l ɛ ɴ ⁵⁵
d ɔ ŋ ¹¹	d ɔ ŋ ¹¹
cʰ j a ɴ ⁵⁵	cʰ j a ɴ ⁵⁵
kʰ a ŋ ¹¹	kʰ a ŋ ¹¹
cʰ a ⁵⁵	c a ⁵⁵
tʰ w ɛ ⁵⁵	tʰ w ɛ ⁵⁵
j a ⁵⁵	r j a ⁵⁵
k ə n ⁵⁵	ˀd w ɨ ɴ ⁵⁵
s ə ⁰	s u ⁵⁵
l ou ¹¹	l̥ ou ¹¹
w ɛ ⁵⁵	w ɛi ⁵⁵
l a m ⁵⁵	l a m ⁵⁵
ʔ ɛ ɴ ¹¹	ʔ j ɛ n ¹¹
n i ⁵⁵	n̥ ei ⁵⁵
cʰ u ɴ ¹¹	cʰ u ɴ ¹¹
m a ŋ ¹¹	m a ŋ ¹¹
kʰ l i ʔ̚ ⁵¹	kʰ l i ʔ ⁵¹
ˀd ɛ ⁰	ˀd ɛ ⁵⁵
m e ¹¹	m̥ e ¹¹
ʔ ɛ m ¹¹	ʔ ɛ ɴ ¹¹
d ɛ ʔ̚ ⁵¹	d ɛ ʔ̚ ⁵¹
kʰ a ʔ̚ ⁵¹	kʰ a ʔ̚ ⁵¹
n e ⁵⁵	n̥ e ⁵⁵
b l e ʔ̚ ⁵¹	b l e ʔ ⁵¹
