ʒ o ¹	ʒ u ¹
l a̠ ²	l a ²
dz a ²	dz a ²
ʒ e̠ ¹	ɣ e̠ ¹
a ¹	a ¹
a ¹	a ¹
tsʰ o̠ ³	tsʰ o̠ ¹
ɣ i ¹	ɣ i ¹
ɣ ɨ̠ ³	ɣ i̠ ³
ʃ u ¹	s e ³
m o ²	m o ²
l y ¹	l y ¹
ɣ ɨ̠ ³	ɣ i̠ ³
b ɛ ²	b ɛ ²
dz i̠ ¹	dz e ¹
d e ¹	d e ¹
ˀl i ¹	ˀl u ¹
h e̠ ³	h e̠ ³
b a ³	b a ŋ ³
kʰ u ³	kʰ a ŋ ²
h e̠ ³	h e̠ ³
ɣ i ¹	x i ¹
ˀm a ²	ˀm a ²
ˀn ɛ̠ ³	ˀn ɛ̠ ³
g o̠ ¹	g o̠ ¹
s ɛ ²	s ɛ ²
n i ²	n i ²
m ɛ ²	m e ²
tsʰ a ŋ ¹	tsʰ a ŋ ¹
pʰ e ²	pʰ e ²
a ²	a ²
l e̠ ³	l e̠ ³
v i̠ ¹	ˀv i̠ ³
t o̠ ¹	t o̠ ³
ʃ i ¹	ʃ i̠ ¹
g u ¹	g o ŋ ¹
z a ²	z a ²
ʒ i̠ ³	ʒ e̠ ³
p i ²	p i ²
kʰ ɨ ²	kʰ ɨ ²
g j ɨ ¹	g ɨ ¹
ts a ³	ts a ³
tʰ a ŋ ²	tʰ o ²
a ¹	a ¹
pʰ i ²	pʰ i ²
tsʰ e ¹	tsʰ e ¹
b a ŋ ²	b o ²
k ɛ ¹	k j ɛ ¹
tʃʰ i̠ ³	tʃʰ i̠ ³
f u ³	f u ³
pʰ ɛ ¹	pʰ ɛ ¹
ŋ a ²	ŋ a ²
dz ɛ ²	dz ɛ ²
d e̠ ¹	d e̠ ¹
b u ²	b o ¹
tʃ ɛ ¹	tʃ u ¹
dz i ¹	dz i̠ ¹
l a ²	l a ²
ŋ j i ¹	ˀŋ j a̠ ¹
z a ²	z a ²
b a ŋ ¹	g a ŋ ³
tsʰ u ¹	tsʰ u ¹
tʃʰ o̠ ¹	tʃʰ o̠ ¹
pʰ ɨ ²	pʰ ɨ ²
d a ŋ ¹	d a ŋ ¹
s i̠ ³	s i̠ ³
ˀn i ¹	ˀn i ¹
b e̠ ¹	b e̠ ¹
x ɛ ²	x ɛ ²
ʃ i ¹	ɣ u ²
ɣ u ¹	ˀŋ y ¹
l e̠ ³	l e̠ ³
p ¹ ³	k u ³
tsʰ e ¹	k i ¹
m o ¹	m u ¹
s ɛ ²	s ɛ ²
ɣ y ³	ɣ y̠ ³
k j o̠ ³	k o̠ ¹
p a̠ ³	p a̠ ³
ɣ a ŋ ¹	ɣ a ŋ ¹
n i ²	n u ²
a ²	a ¹
pʰ a ¹	pʰ j a ¹
b a ²	b a ²
m a ³	m a ³
a ¹	a ¹
tsʰ e ²	tʃʰ e ¹
ˀm y ²	ˀm y ²
s a ²	s a ²
dz e ²	dz i ²
m a ³	m a ³³
k a ³	k a ¹
ˀn a ³	n a ŋ ³
m a ²	m a ²
pʰ e̠ ³	pʰ e̠ ³
k a ²	k a ŋ ²
dz e ¹	dz e ¹
g o̠ ³	g o̠ ³
l a ²	l a ²
k y ²	k a ŋ ²
m̩ ²	m̩ ²
m u ¹	m o ²
t e ³	t i̠ ³
tsʰ i ²	tsʰ i ²
kʰ o̠ ³	kʰ o̠ ³
m j a ²	m j y ²
b ɛ ¹	b ɛ ¹
v a ¹	v u ¹
dz i ¹	dz i ¹
b j a ²	b j a ²
p y ¹	p y ¹
a ¹	a ¹
d a ŋ ²	d u ²
k a ²	k a ŋ ²
n i ¹	n i ¹
m̩ ²	m u ²
k ɛ ³	k e̠ ³
pʰ i ²	pʰ o ²
kʰ o̠ ³	kʰ o̠ ³
s i ³	s i ³
ɣ a ŋ ²	ɣ a ŋ ²
a ²	a ²
ˀn i ³	n i̠ ³
ɣ i ³	ɣ i ¹
a ¹	a ¹
