g w a ⁴	ɣ w a ⁴
tsʰ o ⁴	tsʰ o ⁴
m ø ²	m ø ²
p r e n ¹	p r e n ¹
s ɔ ²	s u ŋ ²
q a ŋ ¹	q a ŋ ¹
q a ŋ ¹	q a ŋ ¹
kʰ ø ¹	qʰ o ŋ ¹
k w a ¹	k w a ⁴
sʰ w a ⁴	sʰ w a ⁴
k ɔ ⁴	k o ⁴
ʈ w æ n ²	ʈ w æ n ²
tʰ r u ŋ ²	tʰ u ²
ts e ⁵	d j ɛ ⁵
k o ŋ ²	k o ŋ ²
ʔ w e n ¹	ʔ w e n ¹
qʰ æ ⁴	qʰ æ ⁴
m ɯ ŋ ¹	m ɯ ¹
s r o ²	s r o ²
ɣ ɯ ²	ɣ ɯ ²
g ɔ ¹	g ɔ ¹
j a ⁴	j a ⁴
q ɔ ⁴	q ɔ ⁴
ts u ŋ ¹	ts u ŋ ¹
s j i ²	s j i ²
n u ¹	n j o ŋ ¹
qʰ ɛ n ¹	qʰ e n ¹
pʰ ɯ ¹	pʰ ɯ ¹
ts o ⁵	ts o ⁵
s u ¹	ʂ u ¹
j o ⁴	j ɔ ⁵
ŋ u ²	ŋ u ²
d ɛ ⁴	d ɛ ⁴
l ɔ ¹	l ɔ ¹
ɣ a ¹	ɣ æ ¹
b j o ⁴	b j o ⁴
ts r e ŋ ¹	ts r e ŋ ¹
z i ³	z ɯ ³
d e ⁴	d r ɛ ⁴
m r æ ŋ ¹	m j æ ¹
p r a ⁴	p r a ⁴
qʰ u ²	qʰ u ²
b o ¹	b ã ¹
t w e n ²	t w e n ²
ts o ⁴	ts o ⁴
b j o ⁴	b j o ⁴
d i ²	dʑ i ²
