dz ɛ ¹	k a ²
k i ¹	k i ¹
pʰ a ²	pʰ a ²
dz e̠ ŋ ²	dʒ ɛ ²
ʃ a ŋ ¹	ʃ u ³
p a̠ ³	p a̠ ³
g o̠ ³	g j o̠ ¹
ˀl a ²	ˀl a ²
ˀv ɛ̠ ¹	ˀv ɛ̠ ¹
n̩ ²	n i ²
tsʰ ɛ ¹	tsʰ ɛ ³
x a̠ ³	x a̠ ³
ʒ o̠ ¹	ʒ o̠ ¹
s e ¹	s e ¹
tsʰ i ¹	tsʰ y ¹
ʃ ɨ ²	ʃ ɨ ²
v e̠ ³	v e̠ ³
l e̠ ³	l e̠ ¹
p ɨ ²	p j ɨ ²
ts i ³	ts ɛ ³
m ɛ ²	m e ²
ʒ i̠ ³	ʒ e̠ ³
d e̠ ³	d ɛ̠ ³
pʰ e̠ ¹	pʰ e̠ ¹
t a ⁵⁵	t a ⁵⁵
pʰ o ²	pʰ o ²
pʰ ɛ ²	pʰ e ²
ɛ ²	ɛ ²
dʒ a ²	dʒ ɛ ²
tsʰ i̠ ²	kʰ j i ²
ˀn u̠ ³	ˀn u̠ ³
m a ²	m a ²
m o ²	m o ²
ɣ i ¹	ɣ i ¹
a ²	a ²
tsʰ o̠ ³	tsʰ o̠ ¹
h a ŋ ²	h a ŋ ²
s i ¹	ʃ y ¹
m a ³	m a ³
n̩ ²	n̩ ²
pʰ e ²	pʰ e ²
x ɨ ²	x ɨ ²
dz e ²	dz i ²
b a ²	b a ²
dʒ o̠ ³	dʒ o̠ ³
ɣ i ²	ɣ y ¹
s a ²	s a ²
s ɛ ²	s ɛ ²
z i ²	z i ²
ɣ y ¹	ˀx a ¹
g u ²	g o ²
t e̠ ¹	t i̠ ¹
v i̠ ¹	ˀv i̠ ³
l e̠ ³	l e̠ ³
tsʰ y ¹	tsʰ y ¹
a ¹	a ¹
n y ¹	n y ¹
dz e ³	tʰ e̠ ³
a ¹	a ¹
ʃ a ¹	ʃ a ¹
j a ³	j a ŋ ²
ɣ i ¹	ɣ i ¹
ʒ i ³	ʒ e ³
z a ²	z a ²
ŋ a ¹	ŋ a ¹
tʃ i̠ ¹	tʃ i̠ ¹
tʃ a̠ ³	tʃ ɛ̠ ³
tsʰ a ŋ ¹	tsʰ a ŋ ¹
x a ¹	k u ³
v a ¹	v u ¹
a ŋ ¹	a ¹
tʃʰ ɛ ²	tʃʰ ɛ ²
m ɛ̠ ²	m ɛ ²
n e̠ ³	n e̠ ³
s ɛ ²	s ɛ ²
d a ³	d a ²
tʃ a ¹	tʃ ɛ ¹
v e̠ ³	v e̠ ³
v a ²	v a ²
tʃ u ¹	tʃ a ŋ ¹
l u ³	l e̠ ³
pʰ e ²	pʰ e ²
v e̠ ³	v e̠ ³
x a ¹	x a ¹
tʃ ɨ ¹	tʃ u ¹
n j a̠ ³	ɲ a̠ ³
tsʰ u ¹	tsʰ u ¹
tsʰ a ¹	tsʰ a ¹
d ¹ a ŋ ³	d u ¹
pʰ ɨ ²	pʰ ɨ ²
a ¹	a ¹
ɣ a ³	ɣ a ³
dz a ¹	dz a ¹
i ¹	ɨ̠ ¹
ˀn i ¹	ˀn i ¹
t a ³	t a ³
a ¹	a ¹
a ¹	a ¹
m ɛ ²	m ɛ ²
l e̠ ³	l e̠ ³
kʰ u ³	kʰ a ŋ ²
k o ³	k j o̠ ³
g u ³	g u̠ ³
kʰ a̠ ¹	kʰ a̠ ¹
k u ¹	k u ²
n a ²	ˀn a ²
kʰ a ²	kʰ a ²
tsʰ ɛ̠ ¹	tʃʰ ɛ̠ ¹
tʃʰ e ¹	kʰ j e ¹
¹ ¹ ³	k u ³
a ŋ ¹	e̠ ¹
l o̠ ³	ˀl o̠ ³
ˀn i ³	n i̠ ³
tʃ i ¹	g j o ¹
d i ³	d i ³
ɣ ɨ ³	ɣ ɨ ³
p a̠ ³	p a̠ ³
m e ³	m ɛ ³
tʰ y ¹	tʰ y ¹
b ɛ ²	b y ²
b y ¹	b y ¹
v e̠ ³	v e̠ ³
ʒ ɨ̠ ¹	ɣ ɛ ¹
k j u ³	k o̠ ³
ɣ a̠ ²	ɣ a ŋ ²
