ɴ j a ⁵⁵	ŋ j ai ⁵⁵
m e ¹¹	m̥ e ¹¹
kʰ ɴ a ʔ̚ ⁵¹	k j a ʔ̚ ⁵¹
l ɛ ¹¹	l ɛ ¹¹
kʰ w i ¹¹	kʰ w i ¹¹
kʰ i ⁵⁵	kʰ ə ⁰
r̥ o ŋ ¹¹	r o ŋ ¹¹
c i ¹¹	ɟ i ¹¹
m ɨ ɴ ⁵⁵	m w ɨ ɴ ⁵⁵
ˀb ɔ ⁰	ˀb ɔ ⁵⁵
s a ¹¹	s a ¹¹
j ɔ ʔ̚ ⁵¹	ɲ̊ ɔ ʔ̚ ⁵¹
kʰ a ŋ ⁵⁵	kʰ a ŋ ⁵⁵
tʰ ɛ ŋ ⁵⁵	tʰ ɛ ŋ ⁵⁵
l e ʔ̚ ⁵¹	l e ʔ̚ ⁵¹
d ɛ ʔ̚ ⁵¹	d ɛ ʔ̚ ⁵¹
g w a m ¹¹	g l a m ¹¹
d ou ¹¹	d ou ¹¹
p l a ⁵⁵	p l a ⁵⁵
k ə ʔ̚ ⁰	k ə ⁰
b r u ⁵⁵	p r u ⁵⁵
s a ʔ̚ ⁵¹	s a ʔ̚ ⁵¹
s w w a ¹¹	s w w a ¹¹
ˀb e ŋ ¹¹	ˀb e ŋ ¹¹
tʰ ə ⁰	tʰ u ¹¹
m a ʔ̚ ⁵¹	m a ʔ̚ ⁵¹
ˀd ɛ ⁰	ˀd ɛ ⁵⁵
tʰ a ¹¹	tʰ a ¹¹
cʰ a ⁵⁵	c a ⁵⁵
kʰ a ɴ ⁵⁵	kʰ a ɴ ⁵⁵
cʰ a ŋ ⁵⁵	cʰ a ŋ ⁵⁵
b r a ʔ̚ ⁵¹	b r a ʔ̚ ⁵¹
kʰ i ⁵⁵	kʰ ei ⁵⁵
n a ¹¹	n a ¹¹
kʰ i ʔ̚ ⁵¹	kʰ i ʔ̚ ⁵¹
d a ʔ̚ ⁵¹	d a ʔ̚ ⁵¹
