p a ¹	tsʰ i ²
l a ²	l a ²
b i ³	b j e̠ ³
ʒ i ²	ʒ i̠ ³
tʃʰ ɨ ²	tsʰ ɿ ²
m i ³	ˀm u ²
b ɛ̠ ¹	b ɛ̠ ¹
k ɛ ³	k e̠ ³
z e̠ ³	z e̠ ³
s j y ¹	s y ¹
ʃ i ²	ʃ ɨ ²
ˀn u̠ ³	ˀn u̠ ³
tʃʰ y ¹	tsʰ y ¹
kʰ u ¹	kʰ u ¹
a ¹	a ¹
dʒ i̠ ¹	dz i̠ ¹
ˀŋ j a̠ ¹	ŋ j a̠ ¹
h a ¹	h ɛ̠ ¹
n u ²	n u ²
t ɛ ¹	t ɛ ¹
tʃʰ i̠ ³	tʃʰ i̠ ³
z a ²	z a ²
k ɛ ³	k u ²
z ɛ ¹	z ɛ ¹
pʰ ɨ ²	pʰ ɨ ²
k y ²	kʰ y ²
kʰ i ¹	kʰ i ¹
t o̠ ³	t o̠ ³
l a ¹	l a ŋ ¹
s a ²	z a ²
t i ²	t i ²
ˀn i ³	ˀn i ³
a ²	a ²
s y ²	s y ²
b a ²	b o ³
kʰ ɨ ¹	kʰ i ¹
k a̠ ³	k a̠ ³
kʰ o̠ ³	kʰ o̠ ³
ˀn a ³	ˀn u̠ ³
tʰ u ¹	tʰ u ²
n i̠ ¹	n i̠ ¹
tʰ a ³	tʰ a ³
pʰ e̠ ¹	pʰ e̠ ¹
a ¹	a ¹
tʃʰ o̠ ¹	tʃʰ o̠ ¹
m j a ²	m j a ²
l e̠ ³	l e̠ ³
ˀm y ²	ˀm y ²
s a ³	ʃ a̠ ³
t a ⁵⁵	t a ⁵⁵
k o̠ ³	k o̠ ¹
m o̠ ¹	m o̠ ¹
ts i̠ ²	ts e ²
k j ɛ ²	k j ɛ ²
kʰ a ³	kʰ a ³
v ɛ ¹	v ɛ ¹
kʰ ɨ ¹	kʰ i ¹
k a ²	k a ŋ ²
ʃ u ²	ʃ u ²
pʰ e̠ ¹	pʰ e̠ ¹
dz ɛ ²	dz ɛ ²
tʰ a ŋ ²	tʰ a ŋ ²
k a ¹	k a ŋ ¹
v e ²	v i ²
d i ¹	d i ¹
tʃ ɨ̠ ¹	tʃ i̠ ¹
l u ¹	l u ¹
ˀn i ³	ˀn i ³
b ɨ ¹	b ɨ̠ ¹
ts e ²	ts e ²
b o ²	b o ²
t o̠ ³	t o̠ ³
l a ²	l a ²
ˀn i ¹	ˀn i ¹
b a ŋ ²	b a ŋ ²
x i̠ ³	x ɨ̠ ³
x a̠ ³	x a̠ ³
dz u ²	v y ²
a ¹	a ¹
kʰ i ¹	kʰ i ¹
a ²	a ²
ts ɛ̠ ³	ts ɛ̠ ³
b i ¹	b i ¹
ˀl i ²	ˀl i ²
a ¹	a ¹
ɛ ²	ɛ ²
ʃ ɛ ¹	ʃ ɛ ¹
h e ¹	h e ¹
kʰ ɛ ²	kʰ j ɛ ²
dz i̠ ¹	dz e ¹
tʰ u ³	tʰ u ³
p o̠ ¹	p o̠ ¹
a ²	a ²
ˀl a ¹	ˀl a ¹
l a ²	l a ²
d i ¹	d i ¹
x a ³	ˀx o̠ ¹
l o̠ ³	l o̠ ³
t u ¹	t ɛ ¹
tʰ y ²	tʰ y ³
m ɨ ¹	m ɨ ¹
tʰ a ²	tʰ a ŋ ²
l e̠ ³	l e̠ ³
d i ³	d u ¹
kʰ u ³	kʰ ɨ̠ ³
n j a̠ ²	ɲ a̠ ³
tʃʰ i ²	tʃʰ i ²
a ¹	a ¹
a ¹	a ¹
k i ¹	k i ¹
l ɛ ¹	l ɛ ¹
ʃ i̠ ³	ʃ i̠ ¹
l ɛ̠ ³	l ɛ̠ ³
l y ¹	l y ¹
a ¹	a ¹
g i ¹	g i ¹
p a̠ ³	p a̠ ³
m e ³	m ɛ ³
b a ŋ ³	b a ŋ ³
p ɨ ²	p y̠ ¹
ɣ i ¹	ɣ i ¹
m̩ ²	m u ²
l a ¹	l a ¹
tsʰ e ¹	tsʰ e ¹
