tʃ e ¹	tʃ ɛ ¹
h e̠ ³	h e̠ ³
kʰ j i̠ ³	tsʰ i̠ ³
ɣ a ³	ɣ a ³
ˀl o̠ ²	ˀl o̠ ¹
d u ¹	d a ŋ ¹
t u ¹	t u ¹
z a ³	z i ³
l y ¹	l y ¹
m u ¹	ˀm u ¹
pʰ o ²	pʰ y ²
b i ¹	b i ¹
tʃʰ ɛ ¹	tsʰ ɛ ³
ɣ i ¹	ɣ i ¹
s y ²	s y ²
p a̠ ³	p a̠ ³
j a ŋ ³	j a ŋ ²
h ɛ ¹	h ɛ̠ ¹
kʰ u ¹	kʰ u ¹
s a ²	s a ²
n j e ¹	ɲ e ¹
g i ¹	g i ¹
ɨ̠ ²	ɨ̠ ³
ʃ i ¹	ʃ i̠ ¹
ts a ¹	ts a ¹
p ɨ ¹	p ɨ ¹
ˀn i ¹	ˀn i ¹
pʰ j a ¹	pʰ j a ¹
tsʰ o ³	tsʰ y̠ ¹
kʰ i ²	kʰ ɨ ²
d u ¹	d u ¹
b i ¹	b ɨ̠ ¹
b ɛ̠ ¹	b ɛ̠ ¹
n i ²	n i ²
h u ¹	h y̠ ³
t i ¹	t i ¹
k o̠ ³	k o̠ ¹
ts i ³	ts i̠ ³
tʃʰ i ¹	tʃʰ e ¹
tʃ e̠ ³	ts e̠ ³
g u ¹	g o ŋ ¹
k a̠ ³	k a̠ ³
ɣ a ŋ ²	ɣ a ŋ ²
ʃ a ³	ʃ a̠ ³
m a ¹	m a ¹
a ¹	a ¹
ɣ i ¹	ɣ i ¹
ɣ a ŋ ²	ɣ a ŋ ²
b e̠ ¹	b e̠ ¹
k ɛ ¹	k ɛ ¹
tʃʰ i ²	tʃʰ i ²
a ¹	a ¹
ʃ i ³	s i̠ ¹
s y ²	s y ²
b u ³	b u̠ ¹
ts i ¹	ts i ¹
p e ¹	p e ¹
g i ³	g j e̠ ¹
kʰ o̠ ²	kʰ o ²
h e ¹	h e ¹
kʰ o̠ ³	kʰ o̠ ³
a ¹	a ¹
tʰ y ³	tʰ y ³
m ɛ ²	m a ³
ɣ ɛ ²	ɣ ɛ ²
pʰ a ²	pʰ a ²
l o̠ ³	l o̠ ³
s e ¹	s a ¹
n i ¹	n i ¹
s i̠ ²	s i ²
ˀl o̠ ³	ˀl o̠ ¹
ˀm a ³	ˀm a ³
kʰ u ¹	kʰ u ¹
tʃ ɛ ³	tʃ ɛ̠ ³
g j y ²	g y ²
s a ¹	s a ¹
tʃʰ ɨ ¹	tʃʰ ɨ ¹
ɣ i̠ ³	ɣ i̠ ³
h ɛ ¹	h ɛ̠ ¹
d e̠ ¹	d e̠ ¹
ˀn ²	n u ²
v a ³	v a ³
p e ²	pʰ e ²
k u ¹	k u ¹
d a ¹	d a ¹
dʒ i̠ ¹	dz i̠ ¹
ts e ¹	ts e ¹
a ¹	a ¹
ˀl u̠ ¹	ˀl u ¹
m a ²	m a ²
ˀl a ¹	ˀl a ¹
ɲ a ²	n a ²
b y ¹	b y ¹
d y ²	d y ²
m j a ¹	m j a ³
tsʰ e ¹	tsʰ e ¹
tʃʰ ɨ ¹	tʃʰ ɨ ¹
ˀn a ²	ˀn a ²
g j a ¹	g ɨ ¹
s a ¹	s u ¹
ˀm e̠ ¹	ˀm j e̠ ¹
x ɨ̠ ³	x ɨ̠ ³
n ɛ ²	n ɛ ²
a ¹	a ¹
kʰ a ŋ ²	kʰ a ŋ ²
z a ²	s u ¹
ŋ a ²	ŋ a ²
f u ³	f u ³
b a ²	b a ²
ʒ o̠ ³	ʒ o̠ ³
s a ŋ ²	tʰ a ŋ ²
pʰ a ²	pʰ j a ŋ ²
v i̠ ³	ˀv i̠ ³
ʃ a ¹	ʃ a ¹
a ¹	a ¹
tʰ a ŋ ²	tʰ a ŋ ²
pʰ u ¹	pʰ u ³
ˀm ɛ ¹	ˀm ɛ ¹
g u ²	g u ²
tʃʰ y ¹	tsʰ y ¹
m a ŋ ²	m a ŋ ²
m ɛ ²	m ɛ ²
p ɨ ²	p j ɨ ²
pʰ ɨ ²	pʰ ɨ ²
