k o̠ ³	k o̠ ¹
p i ²	p y̠ ¹
m u ²	ˀm u ¹
a ¹	a ¹
n ɛ̠ ¹	n ɛ ³
p a̠ ³	p a̠ ³
ɣ i ¹	ɣ i ¹
a ²	a ²
ts i̠ ³	ts i̠ ³
ɣ y ²	v y ²
m ɛ ²	m ɛ ²
ʒ o̠ ³	ʒ o̠ ³
m a ²	m a ²
h ɛ ²	h ɛ ²
b ɨ ¹	b ɨ ¹
k u ²	tʃ u ²
g ɛ ²	g ɛ ²
n i ²	n i ²
ɛ ²	ɛ ²
ʃ u ³	ʃ i̠ ¹
dz e ¹	dz e ¹
ʃ a ¹	ʃ a ¹
tʰ a ²	tʰ a ²
ʃ a ¹	ʃ a ¹
d y ²	d y ²
g j i ¹	x i ³
s e̠ ³	s e̠ ³
d i ²	d i ²
pʰ u ¹	pʰ u ¹
g a ³	g j a ³
m u ¹	m o ²
t e̠ ¹	t e̠ ¹
dʒ ɛ ¹	dʒ ɛ ¹
ˀl o̠ ¹	ˀl o̠ ¹
kʰ o̠ ³	kʰ o̠ ³
ts a ¹	ts a ¹
pʰ ɛ ³	f ɛ ³
a ¹	a ¹
ˀv a ¹	ˀv a ¹
tsʰ a ŋ ¹	tsʰ a ŋ ¹
s y ¹	s y ¹
tsʰ u ¹	tsʰ e̠ ¹
k a ¹	z ɛ ¹
k e ²	k j ɛ ²
b i ¹	b e ³
f u ³	f u ³
s ɛ ²	s ɛ ²
dz e ¹	dz e ¹
d ɛ ²	d ɛ ²
d a ²	d a ²
d e̠ ¹	d e̠ ¹
d i ¹	d i ¹
a ¹	a ¹
h a ²	h a ¹
n u ²	n u ²
tʃʰ o ³	tsʰ y̠ ¹
b i ³	p u ¹
ʃ ɛ ¹	ʃ ɛ ¹
ŋ a ²	ŋ a ²
j a ŋ ³	j a ŋ ²
x ɛ ¹	kʰ a̠ ¹
kʰ ɨ ²	kʰ a ²
p a̠ ³	p a̠ ³
tʃʰ u̠ ¹	tʃʰ o̠ ¹
ˀn i ³	ˀn i ³
z a ²	z a ²
dz e ²	dz e ²
a ¹	a ¹
l a ¹	l a ¹
kʰ i ¹	kʰ i ¹
a ¹	a ¹
g ɛ ²	kʰ u ²
m j a ¹	m j a ŋ ¹
l u ³	l u ³
ɣ a̠ ³	ʃ a̠ ³
d a ²	d i ²
m a ³	m a ³
ˀv ɛ ¹	ˀv ɛ̠ ¹
ɣ ɨ̠ ³	ɣ i̠ ³
x a ¹	g j a ¹
k j o ²	k j o ²
kʰ i ¹	kʰ i ¹
m a ²	m a ŋ ²
s a ²	s a ²
l a ²	l a ²
ˀv e̠ ¹	ˀv e̠ ¹
tʰ u ¹	tʰ u ¹
p ɨ ²	p j ɨ ²
m ɨ̠ ³	m ɨ̠ ³
z a ²	z a ²
n u̠ ¹	n u̠ ¹
m i ¹	ˀm i ¹
b a ²	b o ³
m a ¹	m a ¹
z a ²	z a ²
ɣ a ŋ ²	ɣ a ŋ ²
pʰ ɛ ¹	pʰ ɛ ¹
tʃʰ i̠ ¹	tsʰ i̠ ¹
m i ³	ˀm u ²
m ɛ ²	m ɛ ²
t o̠ ³	t o̠ ³
m ɛ ¹	ˀm ɛ ¹
n e ³	n e ³
dʒ a ŋ ¹	dʒ a ŋ ¹
b a ³	b a ³
z e̠ ³	z e̠ ³
ˀm ɛ ¹	ˀm ɛ ¹
ˀm e̠ ¹	ˀm j e̠ ¹
a ²	a ²
s ɛ ²	s ɛ ²
l o̠ ³	l o̠ ³
dz i ³	dz i ³
b o ²	b o ²
ˀn y ¹	ˀn i ¹
ʒ u ¹	s e ³
tʃ a ³	tʃ ɛ̠ ³
kʰ a ²	kʰ a ²
s i ¹	s i̠ ¹
z a ²	z a ²
dz a ²	dz a ²
n e ¹	n e ¹
kʰ o̠ ¹	kʰ o̠ ¹
h ɛ̠ ¹	h ɛ̠ ¹
tʃ y ³	ts y ³
v ¹	v u ¹
