dʒ a ²	dz e ²
ˀn ɛ̠ ³	ˀn ɛ̠ ³
ˀl y ²	ˀl y ²
z a ²	z a ²
ɣ i ¹	ɣ i ¹
v e̠ ³	v e̠ ³
d e ¹	d i ¹
m a ²	m a ŋ ²
dz i ²	dz i ²
a ¹	a ¹
m ɨ̠ ³	m ɨ̠ ³
ɣ ɨ ¹	ɣ ɨ ¹
ʒ o̠ ¹	ʒ o̠ ¹
k u ¹	ts u ¹
n ɛ ¹	ɲ e ¹
p a̠ ³	p a̠ ³
p ɛ̠ ¹	p ɛ̠ ¹
ˀn i ³	ˀn i ³
ʒ o̠ ³	ʒ o̠ ³
d e̠ ¹	d e̠ ¹
h e ¹	h e ¹
m a ³	m a ³
dz i ²	dʒ i ²
b i ²	b o ²
pʰ a ¹	pʰ j a ¹
p a ŋ ¹	p a ŋ ¹
ʃ a̠ ²	ʃ a ²
p y ¹	p y̠ ¹
g a ²	g a ²
tʰ a ŋ ²	tʰ a ŋ ²
p a ³	pʰ o̠ ¹
k a ²	k a ŋ ²
ɣ ɛ ²	ɣ ɛ ²
ˀl a ŋ ³	ˀl a ŋ ³
m o ²	m o ²
pʰ ɨ ²	pʰ ɨ ²
ˀn i ¹	ˀn i ¹
tsʰ i ²	tsʰ ɿ ²
m a ²	m a ²
n y ¹	ˀn y ¹
i ²	i ²
a ¹	a ¹
a ¹	a ¹
s i ¹	s i̠ ¹
kʰ i ¹	kʰ i ¹
l a̠ ²	l a ²
a ¹	a ¹
h e ¹	h e ¹
l a ¹	l a ¹
d e̠ ³	d ɛ̠ ³
ʒ i ³	ʒ e ³
g a ¹	g a ¹
k o̠ ¹	k o̠ ³
ts i̠ ³	ts i̠ ³
tʃʰ ɛ ¹	tʃʰ ɛ ¹
l a ¹	l a ŋ ¹
m u ²	m ɨ ²
m a ²	m a ²
dʒ e ²	dʒ ɛ ²
kʰ u ³	ɣ ɛ̠ ³
b y ²	b y ²
m̩ ²	m̩ ²
d u ²	d u ¹
p a ¹	p a ¹
pʰ e̠ ³	pʰ e̠ ³
x ɨ ¹	x ɨ ¹
tsʰ y ¹	tsʰ y ¹
b y ¹	b y ¹
pʰ i̠ ³	pʰ i̠ ³
tsʰ o ³	tsʰ y̠ ¹
ʒ o ¹	ʒ u ¹
t u ¹	tʃʰ ɛ ²
a ¹	a ¹
b o ¹	b o ¹
v e̠ ³	v e ³
k u ³	ts ɛ ³
pʰ e ²	pʰ e ²
ɣ i̠ ³	ʃ i ³
ʃ ɛ ¹	ʃ ɛ ¹
d y ²	d y ²
b a ³	b a ³
tsʰ y ¹	tsʰ a m ¹
l e̠ ³	l e̠ ³
kʰ j ɨ̠ ²	kʰ o ²
ʃ y ¹	s i ¹
l o̠ ¹	l u̠ ¹
ɣ ɨ̠ ³	ɣ i̠ ³
v e̠ ¹	v e ¹
k a ¹	k a ŋ ¹
ɣ i ¹	ɣ i ¹
n i ²	n u ²
p a̠ ³	p a̠ ³
b e̠ ³	b e̠ ³
a ¹	a ¹
tsʰ a ²	tsʰ a ²
n i ²	n i ²
d i ¹	d a ŋ ¹
ʒ ɨ̠ ¹	ɣ ɛ ¹
ʃ i ³	ʃ ɨ̠ ¹
n i̠ ¹	n i̠ ¹
dz i̠ ¹	dz e ¹
tʃ j u ¹	tʃ a ŋ ¹
v e ³	ˀv ɛ ²
ʒ e̠ ¹	ɣ e̠ ¹
m i ¹	m i ¹
m j o̠ ³	m j o̠ ³
ˀn y̠ ³	ˀn y̠ ³
tsʰ a ¹	tsʰ a ¹
k j a ŋ ²	ts u ²
n i ²	n̩ ²
kʰ i ¹	kʰ i ¹
pʰ o ²	pʰ i ²
kʰ o ¹	kʰ o ¹
ɣ u ¹	ˀŋ y ¹
b e̠ ³	b e̠ ³
b ɨ̠ ¹	p ɨ ¹
dz i ¹	dz e ¹
t o̠ ³	t o̠ ³
pʰ ɛ ²	pʰ e ²
m a ŋ ³	m a ŋ ³
ʃ i ³	ʃ i̠ ¹
k j e ²	k j ɛ ²
h e̠ ¹	h e ¹
ts i ³	ts i ³
m a ³	m a ³
