tsʲʰ i ¹	tsʰ j i ¹
ɣ ɯ̃ ²	ɣ ɯ ²
b ɯ ¹	b ɯ ¹
m ɛ ¹	m ɛ ¹
dʑ i ³	d i ³
h ɔ ¹	h ɔ ¹
k ɔ ⁴	k o ⁴
ɕ æ n ¹	s j æ n ¹
ŋ w a ⁴	ŋ w a ⁴
ŋ ɔ ³	ŋ ɔ ³
x æ ŋ ¹	χ æ n ¹
ŋ w æ ⁵	ŋ w æ ⁵
ɣ ɔ ¹	ɣ ɔ ¹
tɕ ɯ ¹	tɕ u ¹
ts i ⁴	ts j i ⁴
pʰ j ɛ ²	p j ɛ ²
tɕ j e n ¹	tɕ e n ¹
kʰ r o ²	kʰ r o ²
d o ŋ ¹	d o ŋ ¹
q æ ⁴	q æ ⁴
k u ²	k u ²
tsʰ r i ¹	tsʰ r e ŋ ¹
k r o ³	g r o ŋ ³
sʰ r ɯ ²	sʰ r ɯ ²
ŋ w e n ²	ŋ w e n ²
q a ŋ ¹	q a ŋ ¹
s r e ¹	s r e ŋ ¹
tʰ u ¹	tʰ r u ¹
j a ⁴	j a ⁴
n i ²	n j i ⁴
tʰ æ n ¹	tʰ æ n ¹
n u ¹	n j o ŋ ¹
l ɔ ¹	l a ¹
tɕʰ i ¹	tɕʰ i ¹
ʈ r o ⁴	d r o ⁴
m e ²	m ə ²
tɕ a ³	tɕ a ³
ŋ j o ŋ ²	ŋ j o ²
b ɔ ³	b ɔ ³
ŋ r e ²	n j i ²
p j a ⁴	p r a ⁴
ɣ o ⁴	ɣ o ⁴
d r ɯ ¹	d j ɯ ¹
q æ ⁴	q æ ⁴
t ɯ ⁴	d j ɯ ²
ŋ ɯ̃ ¹	ŋ ɯ ¹
ɕ o ⁴	ɕ a
