n w ɛ ¹¹	n̥ w ɛ ¹¹
tʰ ɛ ŋ ⁵⁵	tʰ ɛ ŋ ⁵⁵
c i ¹¹	ɟ i ¹¹
r̥ o ŋ ¹¹	r o ŋ ¹¹
c a ¹¹	ɟ a ¹¹
cʰ u ɴ ⁵⁵	cʰ u ɴ ⁵⁵
k ə ⁰	k ə ⁰
kʰ r ou ⁵⁵	kʰ r ou ⁵⁵
m a ⁵⁵	m̥ a ⁵⁵
l o ŋ ¹¹	l̥ o ŋ ¹¹
ˀd e ʔ̚ ⁵¹	ˀd e ʔ̚ ⁵¹
n̥ ei ⁵⁵	n ei ⁵⁵
tʰ r o ʔ̚ ⁵¹	tʰ r o ʔ̚ ⁵¹
kʰ l o ¹¹	kʰ l o ¹¹
j ɔ ʔ̚ ⁵¹	j ɔ ʔ ⁵¹
p l a ⁵⁵	p l a ⁵⁵
b ɔ ŋ ⁵⁵	b ɔ ŋ ⁵⁵
m ə ¹¹	m ə ¹¹
kʰ w i ¹¹	kʰ w i ¹¹
j o ʔ̚ ⁵¹	j o ʔ̚ ⁵¹
ʔ o ¹¹	ʔ o ¹¹
ˀb j a ¹¹	p j a ¹¹
l o ⁵⁵	l̥ o ⁵⁵
cʰ ə ɴ ⁵⁵	cʰ ə ŋ ⁵⁵
s a ¹¹	s a ¹¹
k ə ⁰	p ə ⁰
cʰ ɨ m ⁵⁵	cʰ ɨ m ⁵⁵
b l a ¹¹	b l a ¹¹
n a ¹¹	n a ¹¹
ʔ e ¹¹	ʔ e ¹¹
tʰ a ŋ ⁰	tʰ a ŋ ⁵⁵
h ou ¹¹	h ou ¹¹
t ə ⁰	d ə ŋ ⁵⁵
w a ¹¹	h w a ¹¹
tʰ w ɨ ɴ ⁵⁵	tʰ w ɨ ɴ ⁵⁵
ˀd e ¹¹	ˀd e ¹¹
