n ɛ ⁴	n e ⁴
tʰ r o ⁴	tʰ r o ⁴
pʰ ɛ ¹	pʰ e ¹
ts i ²	ts i ²
p ɯ ²	p ɯ ²
qʰ ɔ ¹	qʰ ɔ ¹
b æ n ³	b æ n ³
q ɯ ¹	q ɯ ¹
ɖʐ i ⁴	ɖʐ i ⁴
p æ ⁴	p æ ⁴
m ɛ ⁵	m ɛ ⁵
ɖʐ o ⁴	ɖʐ o ⁴
d o ¹	d r o ŋ ¹
tʰ r o ŋ ¹	tʰ r o ŋ ¹
k o ⁵	k o ⁵
tsʰ i ⁴	tɕʰ i ⁴
j a ⁴	j a ⁴
s w a ¹	ɕ w i ²
d ɯ ⁴	tʲ ɯ ⁵
sʰ w a ŋ ³	sʰ w a ŋ ³
b i ²	b e ²
m a ⁴	m a ⁴
n i ⁴	n j i ⁴
d a ⁴	j a ⁴
tʰ r r o ⁴	tʰ r o ⁴
k æ ⁴	k æ ⁴
ŋ w e n ¹	ʁ w e n ¹
j o ²	n j o ²
d ɔ ⁴	d r o ⁴
p ɛ ¹	p e ¹
ts j j e n ⁵	ts j e n ⁵
kʰ o ŋ ¹	kʰ o ŋ ¹
s j i ²	s j i ²
d ø ŋ ²	d j o ŋ ²
d i ²	dʑ i ²
g ɔ ¹	g ɔ ¹
b j o ⁴	b j o ⁴
kʰ ɔ ¹	qʰ o ŋ ¹
m æ ¹	m æ ¹
ɣ o ²	k r o ²
qʰ w a ŋ ²	qʰ w a ŋ ²
sʰ r o ŋ ¹	sʰ r o ŋ ¹
p r ɔ ¹	p r ɔ ¹
d ɯ ²	dʑ ɯ ²
s r u ¹	s r u ¹
b u ⁴	χ ɯ ⁴
