b j ɛ̠ ³	b j a̠ ³
n a ²	n a ²
m ɨ ²	m ɨ ²
tʃ a ¹	tʃ ɛ ¹
kʰ e̠ ¹	kʰ e̠ ¹
k o ¹	k j o ¹
a ³	v a ³
kʰ y ²	kʰ j o ²
k o̠ ³	k o̠ ³
ʃ a ŋ ¹	ʃ u ³
d e ¹	d e ³
kʰ a ²	kʰ a ²
dz e ²	dz i ²
k e ²	k j ɛ ²
l a ¹	l a ¹
s i̠ ¹	s i̠ ¹
dz i ²	dz i ²
a ¹	a ¹
tʃ a̠ ³	tʃ a̠ ³
ˀv a ¹	ˀv a ¹
b u ¹	b e ³
t a ⁵⁵	t a ⁵⁵
kʰ j i̠ ²	kʰ j i ²
m ɛ ²	m ɛ ²
k o̠ ³	k o̠ ¹
m a ¹	m o ²
m i ¹	ˀm i ¹
ts i̠ ³	ts i̠ ³
tsʰ o̠ ³	tsʰ o̠ ¹
d e ¹	d i ¹
b e̠ ³	b u̠ ¹
x e̠ ¹	x e̠ ³
s ɛ ²	s ɛ ²
z a ²	z a ²
p a ¹	p a ¹
tsʰ o ³	tsʰ y̠ ¹
a ¹	a ¹
t e ²	t e ²
n i ¹	n i ¹
dz e ¹	dz e ¹
a ¹	a ¹
dʒ u ³	dʒ u ³
ʒ a ŋ ¹	ʒ a ŋ ¹
a ²	a ²
kʰ i ¹	kʰ i ¹
tʰ a ²	d a ²
pʰ o ²	pʰ y ²
l y ¹	l y ¹
ˀŋ j a̠ ¹	ŋ j a̠ ¹
kʰ o̠ ³	kʰ o̠ ³
k j ɛ ²	k j ɛ ²
s ɛ ²	s ɛ ²
m o ²	m u ²
ɲ j a ²	ɲ a ²
g o̠ ³	g o̠ ³
ʒ i ¹	ʒ e ¹
kʰ i ¹	kʰ i ¹
m o ²	m o ²
ʃ i̠ ¹	ʃ i ¹
b o ²	b e ²
k u ¹	k u ²
dʒ i ²	dz i ²
ˀm ɛ ²	ˀm ɛ ²
ˀn i ²	n i ²
ɣ ɨ ¹	ɣ ɨ ¹
s e ¹	s a ¹
ɣ i ¹	ɣ i ¹
kʰ a ³	kʰ a ³
b y ¹	b y ¹
kʰ ɨ ¹	kʰ i ¹
tʰ a ŋ ²	dz a ŋ ²
p j ɛ ²	b a ²
tʰ a ²	tʰ a ²
ˀl o̠ ³	ˀl o̠ ¹
s e̠ ³	ʃ e̠ ³
s y ²	s y ²
t a ³	d a ²
s o ²	z a ²
x a̠ ³	x a̠ ³
v ɛ̠ ³	v ɛ̠ ³
m o ¹	m o ¹
d a ¹	d a ¹
t i ²	t i ²
tʃʰ o̠ ¹	tʃʰ o̠ ¹
b a ²	b a ²
h a ¹	ˀx a ¹
ɣ a ŋ ²	ɣ a ŋ ²
a ¹	a ¹
dz u ²	v y ²
pʰ a ŋ ¹	ɲ a ¹
tʃʰ ɨ̠ ²	tʃʰ ɨ ²
ˀv a ¹	ˀv a ¹
d i ²	d i ²
l o ²	l y ²
tsʰ e ³	tʃ e̠ ³
ˀl o̠ ¹	ˀl o̠ ¹
s i̠ ¹	s i̠ ¹
a ¹	a ¹
pʰ i ²	pʰ i ²
t i ³	t i̠ ³
h e ³	h e̠ ³
ˀx ɛ ²	x ɛ ²
pʰ y̠ ²	pʰ y ²
b a ²	b a ²
ˀx i ³	x ɨ̠ ³
k a ŋ ³	k a ŋ ²
s i ³	ʃ i ³
ɣ a ³	ɣ a ³
dʒ ɛ ²	dʒ ɛ ²
g a ¹	g j a ¹
s i ³	s i ³
tʰ u ¹	tʰ u ¹
tʃʰ i̠ ²	tʃʰ i ²
d u ²	d u ²
ˀn i ¹	ˀn i ¹
n e̠ ¹	n e̠ ¹
a ¹	a ²
v e̠ ³	v e̠ ³
ʒ i̠ ³	x i̠ ³
pʰ i ²	pʰ e ¹
m a ³	m a ³
ts o ²	ts e ²
m a ³	m a ³
l a ²	l a ²
