b u ²	b o ¹
ŋ a ²	ŋ a ²
b u ³	b a ŋ ³
z i ²	z i ²
p ɛ ³	b y ²
p a̠ ³	p a̠ ³
z a ²	z a ²
n a ¹	n a ¹
ˀm e̠ ³	ˀm j e̠ ¹
tʃʰ o ³	tsʰ y̠ ¹
m a ²	m a ²
ˀn e̠ ¹	ˀn e̠ ¹
t ɛ ¹	t ɛ ¹
kʰ a ²	kʰ a ²
n e̠ ¹	n e̠ ¹
a ²	a ²
h e̠ ³	h e̠ ³
l a ²	l a ²
kʰ a ³	g a ³
l a ¹	l a ¹
ʃ i ¹	ʃ i̠ ¹
ts a ¹	ts a ¹
b a ²	b a ²
v ɛ̠ ³	v ɛ̠ ³
k i ¹	k i ¹
x i̠ ³	x ɨ̠ ³
tʰ a ²	tʰ u ²
z a ²	z a ²
s ɛ ²	s ɛ ²
ɣ i ¹	ɣ i ¹
b i ²	b i ²
a ¹	a ¹
l y ¹	l y ¹
n i̠ ¹	n i̠ ¹
tsʰ i ¹	tsʰ y ¹
a ²	a ²
p ɛ ³	p ɛ ³
tsʰ ɛ ¹	tsʰ ɛ ¹
v a ²	v a ²
s i̠ ¹	s i̠ ¹
z ɨ ³	z i ³
tʰ a ²	tʰ a ŋ ²
d i ¹	d i ¹
p e ²	pʰ e ²
m o ²	m o ²
a ³	a ²
s e̠ ³	s e̠ ³
kʰ u ¹	kʰ u ¹
kʰ y ²	kʰ y ²
pʰ o ²	pʰ o ²
a ¹	a ¹
g a ³	g a̠ ³
l y ¹	l y ¹
b i ³	b j e̠ ³
l e̠ ³	l e̠ ³
d i ¹	d i ¹
m a ³	m a ³
a ¹	a ¹
ˀm a ³	ˀm a ³
a ¹	a ¹
ts a ¹	ts a ¹
k a̠ ³	k a̠ ³
a u ¹	ʒ a ŋ ¹
b e̠ ¹	b e̠ ¹
p a ŋ ¹	p a ŋ ¹
ts e ¹	tʃ e ¹
ˀn a ¹	ˀn a ¹
l e̠ ³	l e̠ ¹
a ¹	a ¹
ŋ a ¹	ŋ a ¹
b y ³	b y ³
l i ¹	ˀl i ¹
k a ²	k a ŋ ²
m u ¹	m o ²
m ɛ ²	m ɛ ²
z a ²	z a ²
pʰ i̠ ³	pʰ i̠ ³
pʰ i ²	pʰ i ²
k ɛ ³	k ɛ ³
b a ŋ ²	b a ŋ ²
a ¹	a ¹
kʰ o̠ ¹	kʰ o̠ ¹
a ¹	a ¹
d u̠ ²	d u ¹
a ¹	a ¹
t o̠ ³	t o̠ ³
k o ¹	k j o ¹
ʒ u ¹	ʒ o̠ ¹
b a ³	b a ³
g a ²	g ɨ ¹
ˀn a ²	ˀn a ²
b ɛ̠ ¹	b ɛ̠ ¹
ɣ o ³	ɣ y̠ ³
ˀl a ¹	ˀl a ¹
s i̠ ³	s i̠ ³
ʃ a̠ ³	ʃ a̠ ³
¹ e ¹	tsʰ i ²
m u ²	m j u ²
d u ¹	d u ¹
kʰ ɨ ²	kʰ ɨ ²
g j a ³	g j a ³
ts i ³	ts i̠ ³
m ɛ ²	m ɛ ²
s ɛ ²	s ɛ ²
ˀn y ¹	ˀn y ¹
m ɛ ²	m ɛ ²
tsʰ a ²	tsʰ a ²
ˀm j e̠ ³	ˀm j e̠ ¹
x a̠ ³	x a̠ ³
d e̠ ¹	d e̠ ¹
tʰ a ²	tʰ a ²
kʰ ɛ ³	kʰ ɛ̠ ³
tsʰ u ¹	tsʰ u ¹
tʃʰ i̠ ³	tʃʰ i̠ ³
a ¹	a ¹
ʒ i ²	ʒ i̠ ³
ʃ i ³	ʃ i̠ ¹
dz i ³	dz i ²
tʃʰ i̠ ³	tʃʰ e̠ ³
ɣ ɛ ¹	ɣ ɛ ¹
tʰ a ²	tʰ a ²
ʃ i ¹	ʃ i ¹
tʃ ɛ ³	tʃ ɛ̠ ³
pʰ a ²	pʰ j a ŋ ²
