tʰ e ²	tʰ j e ²
q w ɛ ⁵	q w ɛ ³
qʰ u ¹	qʰ u ¹
t ɯ ⁴	d j ɯ ²
d w a ¹	d w a ⁴
b æ ⁴	b æ ⁴
tʰ e ⁴	tʰ j e ⁴
d r ɯ̃ ¹	d r ɯ̃ ¹
b æ ŋ ¹	b æ ŋ ¹
kʰ o ¹	qʰ o ŋ ¹
tɕ j ɯ ²	tɕ ɯ ²
d ɛ ⁵	d j ɛ ⁵
d o ŋ ¹	d o ŋ ¹
ʁ ¹ ¹	ʁ ɯ ⁴
q a ŋ ¹	q a ŋ ¹
k o ŋ ¹	ɣ o ŋ ¹
pʰ r æ ¹	pʰ r æ ¹
sʰ r o ŋ ¹	s o ŋ ¹
qʰ a ⁴	qʰ a ⁴
ts o ⁴	ts o ⁴
b a ¹	b ã ¹
qʰ w a ⁴	qʰ w a ⁴
¹ e ⁴	n j i ⁴
g ɯ ¹	g ɯ ¹
z ɔ ¹	z ɔ ¹
b j o ¹	b j o ⁴
l o ŋ ¹	l o ŋ ¹
qʰ ɔ ¹	qʰ ɔ ¹
w ² ²	w u ⁴
m a ⁴	m a ⁴
b e ¹	b e ¹
dz i ¹	dz i ¹
ts j a ³	tɕ a ³
h a ŋ ³	h a ŋ ⁵
t ɛ ⁴	t ɛ ⁴
¹ b u ŋ ¹	z r o ŋ ¹
q æ ¹	q æ n ¹
¹ e n ¹	z e n ¹
k o ⁵	k o ⁵
sʰ w a ⁴	sʰ w a ⁴
p u ²	p ɯ ²
s i ²	s i ²
ts o ⁴	ts o ⁴
d j ɯ ¹	d j ɯ ¹
ts u ŋ ¹	ts u ŋ ¹
g o ¹	g o ¹
