x ɛ ¹	kʰ a̠ ¹
dz a ŋ ¹	dz a ŋ ¹
t a ³	t a ³
tʃʰ o̠ ¹	tʃʰ o̠ ¹
ɣ ɨ ²	ɣ ɨ ²
m a ³	m a ³
pʰ j a ¹	pʰ j a ¹
ɣ e ²	ɣ o ³
l o̠ ³	l o̠ ³
t a̠ ³	t a̠ ³
ˀn i ³	ˀn i ³
p ɨ ²	p j ɨ ²
tsʰ a ²	tsʰ i ²
d o̠ ¹	d o̠ ¹
h ɛ̠ ¹	h ɛ̠ ¹
p a ¹	p a ¹
s a ¹	g ɨ ¹
ɣ i ¹	ɣ i ¹
ts e ¹	ts e ¹
b i ³	b i ³
ˀl o̠ ¹	ˀl o̠ ¹
b y̠ ³	b y̠ ³
g e̠ ¹	x e̠ ³
ʃ a̠ ²	ʃ a ²
a ¹	a ²
p y ²	v y ²
ˀn a ³	ˀn i ³
k a ŋ ¹	k j i ³
ʃ a̠ ³	ʃ a̠ ³
k a ²	k a ŋ ²
j a ŋ ³	j a ŋ ²
tsʰ a ŋ ¹	tsʰ a ŋ ¹
kʰ y ¹	kʰ j y ¹
k a ³	ɣ o ²
g u ³	g u ³
ˀl y ¹	ˀl y ¹
s a ²	s a ²
v i̠ ¹	ˀv i̠ ³
s i̠ ¹	s i̠ ¹
t i ²	t i ²
s e ¹	s e ¹
a ¹	a ¹
ˀn i ³	ˀn i ³
v ɛ̠ ³	v ɛ̠ ³
k j e ²	k j ɛ ²
d a ŋ ¹	d a ŋ ¹
dz i̠ ¹	dz i̠ ¹
l o̠ ²	l y ²
dz i ¹	dz e ¹
t ɛ̠ ³	t a ³
dz y ²	dz y ²
a ¹	a ¹
n a ²	ŋ i ²
m i̠ ¹	m i ¹
b i ¹	b i ¹
ʃ a ŋ ¹	ʃ u ³
d i ¹	d i ¹
ɣ i ¹	ɣ i ¹
kʰ u ¹	kʰ u ¹
g u ²	g u ²
v a ²	v a ²
ɣ i ¹	ʒ e ¹
b y ³	b y ³
a ²	a ²
tʰ y ¹	tʰ y ¹
s i̠ ²	dz i ²
t a ŋ ²	tʰ a ŋ ²
ˀn u̠ ³	ˀn u̠ ³
ɲ e ¹	n e ¹
ts i̠ ³	ts i̠ ³
g j a̠ ¹	g ɛ̠ ¹
n i̠ ¹	n i̠ ¹
ʃ ɛ ¹	ʃ ɛ ¹
ˀx i ¹	x e ¹
d u ²	d u ²
a ¹	a ¹
m ɛ̠ ²	m ɛ ²
m a ŋ ²	m a ²
n i̠ ¹	n i̠ ¹
p j i ²	b a ²
z e̠ ³	z e̠ ³
tsʰ e ¹	tsʰ e ¹
tsʰ i ²	tsʰ ɨ ²¹
b e̠ ³	b e̠ ³
d e ¹	d i ¹
tsʰ u ¹	tsʰ u ¹
b o ²	b a ²
pʰ ɨ ²	pʰ ɨ ²
a ³	a ²
p a̠ ³	p a̠ ³
m o̠ ³	m o̠ ¹
dz i ³	dz i ³
ɣ i̠ ³	ʃ i ³
kʰ ɨ ¹	kʰ i ¹
m a ŋ ²	m o̠ ³
a ¹	a ¹
s i ¹	s i ¹
m ɛ ²	m ɛ ²
t e̠ ¹	t i̠ ¹
b a ²	b a ²
s y ¹	s y ¹
tʃʰ u ²	t u ²
l i ³	ˀl u̠ ¹
ˀn e ³	n e ²
p a̠ ³	p a̠ ³
l o ²	l y ²
ˀn a ²	ˀn a ²
v ɛ ¹	v ɛ ¹
ˀn u ³	n i̠ ³
ts u ¹	ts u ¹
l e̠ ³	l e̠ ³
dʒ i ²	dz i ²
tsʰ i ¹	tsʰ i ¹
k a ³	k a̠ ³
f u ³	f u ³
l a ¹	l a ¹
s i̠ ³	s i̠ ³
kʰ ɨ ¹	kʰ ɨ ³
s y ²	s y ²
k j u ¹	k a ŋ ¹
ɣ ɛ ²	ɣ ɛ ²
tʃʰ e ¹	kʰ j e ¹
l a ²	l a ²
t e ²	t e ²
g a ŋ ¹	g a ŋ ³
