k ə ɴ ⁵⁵	g a ŋ ⁵⁵
h a t ⁵¹	h a t̚ ⁵¹
s ə ⁵⁵	s u ⁵⁵
r ə ʔ̚ ⁵¹	r ə ʔ̚ ⁵¹
m ɨ ¹¹	m ɨ ¹¹
l u ŋ ¹¹	l u ɴ ¹¹
pʰ e ⁵⁵	pʰ e ⁵⁵
kʰ r ɔ k̚ ⁵¹	kʰ r ɔ t ⁵¹
k ə ʔ̚ ⁰	k ə ⁰
s ei ¹¹	s ei ¹¹
g o ¹¹	g o ¹¹
kʰ u ¹¹	kʰ u ¹¹
kʰ l ɛ ŋ ⁵⁵	kʰ l ɛ ɴ ⁵⁵
c ɔ ¹¹	c ɔ ¹¹
ˀb a ŋ ¹¹	ˀb a ŋ ¹¹
pʰ r ɔ ⁵⁵	pʰ r ɔ ⁵⁵
w a ⁵⁵	g w a ⁵⁵
d o ŋ ¹¹	d o ŋ ¹¹
kʰ r a ¹¹	g r a ¹¹
l i j ¹¹	l̥ i ¹¹
ˀd e ¹¹	ˀd e ¹¹
tʰ w ɨ ɴ ⁵⁵	tʰ w ɨ ɴ ⁵⁵
s ə m ⁵⁵	s ə m ⁵⁵
tʰ ɔ ⁵⁵	tʰ ɔ ŋ ⁵⁵
m̥ a ¹¹	m̥ a ¹¹
ˀd w ɛ ¹¹	ˀd w ɛ ¹¹
m ɛ ʔ̚ ⁵¹	m ɛ ʔ̚ ⁵¹
pʰ a ¹¹	pʰ a ¹¹
t ə ⁰	t ə ʔ̚ ⁰
tʰ u ɴ ¹¹	tʰ u ɴ ¹¹
n̥ w ɨ m ⁵⁵	n ɨ m ⁵⁵
m a ¹¹	m̥ a ¹¹
p i ʔ̚ ⁵¹	p i ʔ̚ ⁵¹
s r e ⁵⁵	s r e ³³
cʰ ɛ ŋ ⁵⁵	cʰ ɛ ŋ ⁵⁵
k ə ⁵⁵	k ɨ ⁵⁵
