² w a ⁴	s w a ⁴
j o ŋ ²	n j o ²
j a ⁴	j a ⁴
j e n ¹	j e n ¹
s u ŋ ³	s u ŋ ³
ts o ⁴	ts o ⁴
p j e ²	p j ɛ ²
kʰ o ⁴	kʰ o ⁴
ɖʐ j a ⁴	b r æ ⁴
dʑ i ²	dʑ i ²
ɖʐ i ¹	ɖʐ i ¹
d ɛ ⁵	d j ɛ ⁵
p r i ⁵	b a ŋ ⁴
pʰ e ¹	pʰ e ¹
tsʰ u ŋ ¹	tsʰ u ŋ ¹
d r ɯ ¹	d j ɯ ¹
s j i ⁴	s j i ⁴
tɕ i ¹	tɕ i ¹
tsʰ e ²	tsʰ r e n ²
ʔ w e n ¹	ʔ w e n ¹
m ɯ ⁴	m ɯ ⁴
ŋ w e ²	ŋ w e n ²
ts r o ²	ts r ɔ ²
ts r i ²	ts u ²
s r ɯ ²	sʰ r ɯ ²
b r ɯ ³	p u ³
ɕ r e ²	ɕ w i ²
j o ŋ ¹	n j o ¹
tʰ r u ŋ ²	tʰ u ²
tɕ e ¹	tɕ i ¹
l ɔ ¹	l ɔ ¹
m e ¹	m e ¹
b æ ⁴	b æ ⁴
dʑ i ³	d i ³
ŋ w a ⁴	ŋ w a ⁴
x w i ²	x w i ²
pʰ r æ ⁴	pʰ r a ⁴
ɣ o ⁴	ɣ u ⁴
tɕʰ ə ⁴	tʰ e ⁴
sʰ r æ ⁴	sʰ r æ ⁴
⁴ o ⁴	ʔ o ⁴
χ w a ⁴	h w a ⁴
b æ ¹	b æ ¹
n i ²	n j i ⁴
j a ⁴	j a ⁴
d a ⁴	d a ⁴
