tʰ a ŋ ²	dz a ŋ ²
s ɛ ²	s ɛ ²
kʰ y ¹	kʰ j y ¹
kʰ o ³	kʰ j o ³
g i̠ ¹	tsʰ i̠ ³
x ɛ ¹	kʰ a̠ ¹
m a ³	m o ²
v i̠ ³	v i̠ ³
m a ³	m a ³
k a ³	k a̠ ³
tʃ i̠ ¹	tʃ ɨ̠ ¹
d y ¹	d y ¹
tsʰ e ¹	tʃʰ e ¹
ˀl o̠ ¹	ˀl o̠ ¹
z e̠ ³	z e̠ ³
ɣ ɨ ²	ɣ ɨ ²
ɣ i ¹	ɣ i ¹
tʃʰ i̠ ³	tʃʰ i̠ ³
kʰ ɨ ²	kʰ ɨ ²
z a ²	z a ²
n a ²	n a ²
b o ²	b e ²
ˀn ɛ̠ ³	ˀn ɛ̠ ³
tʰ y ¹	tʰ y ¹
t i ³	t i̠ ³
k a ³	k a̠ ³
tsʰ e ¹	tsʰ e ¹
b i ¹	b ɨ̠ ¹
k a ²	k a ŋ ²
b o ²	b o ²
b e̠ ³	b e̠ ³
s a ¹	s a ¹
ts a ¹	ts a ¹
dʒ a ¹	dʒ a ¹
kʰ u ²	kʰ u ²
l a ²	l a ²
ˀl y ¹	ˀl y ¹
ts e ¹	tʃ e ¹
a ¹	a ²
dʒ i ²	dz i ²
g i ¹	g i ¹
kʰ e ²	kʰ j ɛ ²
a ²	a ²
ˀm j ɛ ¹	ˀm ɛ ¹
b y̠ ³	b y̠ ³
n ²	n u ²
b ɛ̠ ¹	b ɛ̠ ¹
ˀn a ¹	ˀn a ¹
ɣ i ²	ɣ y ¹
n a ¹	ŋ a ¹
kʰ ɛ ³	g a ³
v ɛ ¹	v ɛ ¹
ts u ¹	ts u ¹
l a ¹	l a ¹
t y ²	t y ²
f u ³	f u ³
ˀn i ³	ˀn i ³
ts e ¹	ts e ¹
t u ¹	tʃʰ ɛ ²
ts a ¹	ts a ¹
l a ²	l a ²
a ¹	a ¹
m j a ¹	m j a ŋ ¹
l a ²	l a ²
v ¹	v u ¹
ˀl a ²	ˀl a ²
g u ³	g a̠ ³
kʰ i ¹	kʰ ɨ ¹
j a ŋ ³	j a ŋ ²
s e ¹	s o̠ ³
d i ¹	d i ¹
kʰ ɨ ²	kʰ ɨ̠ ¹
ˀn ɛ ¹	n ɛ̠
tʃʰ ɨ ¹	tʃʰ ɨ ¹
ˀn i ³	ˀn i ³
b ɨ ¹	b ɨ ¹
x i̠ ³	ʃ i ³
x a ¹	g j a ¹
e̠ ²	e ²
l e̠ ³	l e̠ ³
m i ¹	m i ¹
ˀn a ²	ˀn a ²
g a ³	g a ³
d a ²	d i ²
ˀn a ŋ ¹	ˀn i ¹
ʃ y ¹	s y ¹
ˀx i ¹	x e ¹
tʰ u ¹	tʰ u ¹
l e̠ ³	l e̠ ³
s j y ¹	s y ¹
s o ¹	s u ¹
kʰ i ¹	kʰ i ¹
ˀl u ¹	ˀl u ¹
g a ³	g j a ³
pʰ j a ¹	pʰ a ¹
kʰ o ¹	kʰ o ¹
d u ³	tsʰ o̠ ¹
m a ²	m a ²
pʰ u ¹	pʰ u ³
a ¹	a ¹
ts e ¹	ts e ¹
z i ³	z i ³
n e̠ ³	n e̠ ³
s i̠ ²	dz i ²
b i ²	b j o ²
s ɛ ²	s ɛ ²
p a̠ ³	p a̠ ³
k i ¹	k i ¹
m a ³	m a ³
e ²	e ²
ts o ¹	ts i ¹
d a ¹	d a ŋ ¹
pʰ u ¹	pʰ u ¹
v e̠ ³	v e̠ ³
k ɛ ¹	k j ɛ ¹
a ¹	a ¹
tʰ u ³	tʰ u ³
ɣ i ¹	ˀx a ¹
pʰ e ¹	pʰ e ¹
dz i ³	dz ɿ ³
l a ŋ ¹	l a ŋ ¹
a ¹	a ¹
ʃ ɛ ¹	ʃ ɛ ¹
ʃ ɛ ¹	ʃ ɛ ¹
pʰ y ²	pʰ y ²
