b u ²	b ɯ ²
d j ɯ ⁴	t ɯ ⁴
ts i ²	ts i ²
ts r o ²	ts r ɔ ²
j i ⁴	j ɯ ⁴
ʈ u ⁴	ʈ o ⁴
m ɯ ²	m ɯ ²
d o ⁴	d r o ⁴
tsʰ o ŋ ¹	tsʰ o ŋ ¹
p o ²	p j o ²
g ɯ̃ ŋ ³	g ɯ̃ ³
q æ ⁵	q æ ⁵
d a ⁴	d a ⁴
b j o ⁴	b j o ⁴
ɕ a ⁴	ɕ a ⁴
ɕ w i ⁴	s w a ⁴
m ɯ ²	m ɯ ²
d r ɔ ¹	d r ɔ ¹
ɖʐ a ⁴	dʑ a ⁴
tɕ r ɯ ¹	tɕ ɯ ¹
p j o ⁴	p j u ⁴
d r ɯ ²	d r ɯ ²
tsʰ j e n ¹	tsʰ j e n ¹
s j i ²	s j i ²
z e n ¹	z e n ¹
ŋ o ⁴	ŋ o ³
p r e n ¹	p r e n ¹
ɣ ɯ ¹	ɣ ɯ ²
n o ¹	p j o ⁵
h æ n ¹	χ æ n ¹
ts w ɛ ⁴	ts w ɛ ⁴
j ɔ ⁴	j ɔ ⁴
tsʰ e ²	tsʰ r e n ²
d r ɯ ³	d r ɯ ³
kʰ o ŋ ¹	kʰ o ŋ ¹
p r a ⁴	p r a ⁴
x ɔ ³	h ɔ ³
d r e ⁴	d r ɛ ⁴
q æ ¹	q æ n ¹
ɣ ɔ ¹	ɣ ɔ ¹
tsʰ o ⁴	tsʰ o ⁴
p ɛ ⁴	b ɛ ⁴
k w a ⁴	k w a ⁴
kʰ ø ¹	qʰ o ŋ ¹
qʰ a ⁴	qʰ a ⁴
ɕ o ⁴	ɕ a
æ ⁵	ʔ a ⁴
