m̩ ²	m u ²
dz a ²	dz a ¹
s e̠ ³	s e̠ ³
h a ¹	h a ¹
ˀn i ¹	ˀn i ¹
dʒ o̠ ³	dʒ o̠ ³
z a ²	z a ²
i ²	i ²
ɣ ɛ ²	ɣ ɛ ²
pʰ i ²	pʰ i ²
g i ²	g u ²
dz i ²	dʒ i ²
v e̠ ³	v e̠ ³
ˀn i ³	ˀn i ³
z a ²	z a ²
v a ²	v a ²
p a̠ ³	p a̠ ³
v u ¹	v u ¹
ˀm a ³	ˀm a ³
ts u ¹	ts u ¹
tsʰ e ¹	tsʰ e ¹
a ¹	a ¹
kʰ i ²	kʰ ɨ ²
t e ³	t e ²
n i̠ ¹	n i̠ ¹
m i ¹	m i ¹
a ¹	a ¹
a ¹	a ¹
kʰ u̠ ³	k a ²
k o ³	k o ³
k a ³	k a ¹
s i ²	s i ²
n e̠ ¹	ŋ j a̠ ¹
f ɛ ³	f ɛ ³
h ² ²	h y̠ ³
d a ¹	d a ŋ ¹
l a ²	l a ²
t u ¹	tʃʰ ɛ ²
k a ŋ ³	k a̠ ³
g o̠ ²	g y ²
m e ¹	m e ¹
s i̠ ¹	s i̠ ¹
tsʰ u ³	tsʰ o̠ ¹
m o ²	m o ²
h a ¹	h a ¹
n a ¹	n a ¹
p ɨ ²	p ɨ ²
b ɨ ¹	b ɨ̠ ¹
b ɛ ²	b ɛ ¹
z a ²	z a ²
tʃʰ ɛ ¹	tsʰ ɛ ³
l a ¹	l a ¹
ʃ ɛ ¹	ʃ ɛ ¹
ˀm e̠ ¹	ˀm j e̠ ¹
ˀv e̠ ¹	ˀv e̠ ¹
g o ¹	g u ¹
kʰ j i̠ ²	kʰ j i ²
d e ¹	d i ¹
g o̠ ³	g o̠ ³
tsʰ u ³	tsʰ y̠ ¹
ˀn i ³	ˀn i ³
m a ³	m a ³
b a ³	b a ³
ˀl o̠ ³	ˀl o̠ ¹
ʃ i ¹	ʃ i̠ ¹
kʰ o ¹	kʰ o ¹
a ¹	a ¹
s a ¹	s a ¹
a ¹	a ¹
b u ²	b o ¹
ʃ ɨ ²	ʃ ɨ ²
o ²	e ²
ʒ i̠ ³	ʒ i̠ ³
ʃ i ²	s e ³
m a ¹	m o ²
g u ²	g j u ²
b a ²	b o ³
m ɛ ²	m ɛ ²
m o ²	m o ²
ˀn a ²	ˀn a ²
pʰ j ɛ ¹	pʰ ɛ ³
n e̠ ³	ˀn e̠ ³
m a ²	m a ²
a ¹	a ¹
ˀn e ³	n e ²
dz a ²	dz a ²
l a̠ ³	l a ³
p ɛ ³	p ɛ ³
pʰ a ²	pʰ a ²
ʃ ɛ ¹	ʃ ɛ ¹
p ɨ ²	p y̠ ¹
l e̠ ³	l e̠ ³
m o̠ ¹	m o̠ ¹
z e̠ ³	z e̠ ³
tʃʰ e̠ ¹	tʃʰ e̠ ¹
m ɛ ²	m ɛ ²
k ɛ ³	k u ²
t i ²	t i ²
n e ¹	n e ¹
ˀl y ³	ˀl y ³
tʰ u ²	tʰ u ²
a a ¹	tʰ u ²
s i̠ ¹	s i̠ ¹
ɣ i ¹	ɣ i ¹
kʰ ɛ ²	kʰ j ɛ ²
ts ɿ ²	ts i ²
b y̠ ³	b y̠ ³
d e̠ ¹	d e̠ ¹
g j a̠ ¹	g ɛ̠ ¹
h ɛ̠ ¹	h ɛ̠ ¹
n i̠ ¹	n i̠ ¹
i ²	ɨ̠ ¹
b e ¹	b e ³
ɣ i ¹	ɣ i ¹
tʰ u ¹	tʰ u ¹
z i ²	z i ²
ɲ e ¹	n e ¹
l a ²	l a ²
ˀm j e̠ ³	ˀm j e̠ ¹
pʰ j e ²	pʰ e ²
a ¹	a ¹
j a ³	j a ŋ ²
x a ³	ˀx a ³
tʃ a ³	tʃ a̠ ³
