ʃ a ŋ ¹	ʃ u ³
ɣ i ¹	ɣ y ¹
v e̠ ³	v e̠ ³
a ²	a ¹
l y ³	ˀl y ³
d a ŋ ³	d a ŋ ¹
pʰ e ²	pʰ e ²
kʰ ɛ ²	kʰ j e ¹
dz ɛ̠ ²	dʒ ɛ ²
m a ³	m a ³
m e̠ ¹	ˀm j y̠ ¹
tsʰ i ²	tsʰ i ²
h e ¹	h e ¹
ts ɨ ²	ts i ²
p a̠ ³	p a̠ ³
m a ²	m a ŋ ²
m u ³	m u ³
ʒ i ¹	x i ¹
l y ¹	l y ¹
a ¹	a ¹
v a ³	v a ³
p ɛ	b y ²
pʰ u ²	pʰ u ²
b e̠ ³	b e̠ ³
l e̠ ³	l e̠ ³
a ¹	a ¹
p a ŋ ¹	p a ŋ ¹
ˀm e̠ ³	ˀm e̠ ¹
ɣ a ³	ɣ a ³
ˀn a ²	ˀn a ²
tʰ a ²	tʰ a ²
ˀn i ³	ˀn i ³
ˀm ɛ ²	ˀm ɛ ²
ts o̠ ³	ts o̠ ¹
ts e ²	ts e ²
tsʰ i ²	kʰ j i ²
s y ²	ʃ y ²
v a ²	v a ²
j a ³	j a ŋ ²
pʰ e̠ ¹	pʰ e̠ ¹
dʒ a ŋ ¹	dʒ a ŋ ¹
d i ²	d i ²
e ²	e ²
p u ²	p u ²
tsʰ e̠ ³	tsʰ e̠ ¹
e ²	e ²
t e ³	t i̠ ³
z a ²	z a ²
ˀn i ³	ˀn i ³
s i̠ ³	s i̠ ³
h a ¹	ˀx a ¹
b u ¹	b e ³
ʃ a ¹	ʃ a ¹
k a ¹	k a ŋ ¹
ŋ a ²	ŋ a ²
ʃ i ¹	ʃ i ¹
g u ²	g u ²
pʰ a ¹	pʰ j a ¹
ˀl a ³	ˀl u ³
x i ²	ʒ i̠ ³
b e̠ ¹	b e̠ ¹
tʃʰ ɨ̠ ²	tʃʰ ɨ ²
m e ¹	m e ¹
a ¹	a ¹
h ɛ̠ ¹	h ɛ̠ ¹
kʰ o̠ ²	kʰ o ²
t o̠ ³	d o̠ ³
pʰ a ²	pʰ a ²
pʰ u ¹	pʰ u ³
t a̠ ³	t a̠ ³
dz a ²	dz a ²
n j a̠ ³	ɲ a̠ ³
x a ²	x a ²
b y ³	b y ³
b u ²	b o ¹
tʰ u ²	tʰ u ²
n a ³	n a ŋ ³
dz a ¹	dz a ²
b o̠ ³	b o̠ ¹
m e ¹	ˀm j y̠ ¹
dz y ¹	dz y ¹
t i ¹	t a ³
m u ¹	m i ¹
k a ²	k a ²
ɣ i ¹	ɣ i ¹
ɣ ɨ ¹	ɣ ɨ ¹
m o̠ ¹	m o̠ ¹
m a ³	m a ³
i ³	d u ¹
n e̠ ³	n e̠ ³
ts a ³	ts a ³
ɣ ɨ ¹	ɣ ɨ ¹
d e̠ ¹	d e̠ ¹
z a ²	z a ²
s a ŋ ²	ts u ²
v u ¹	v u ¹
pʰ e ²	pʰ e ²
ˀx e ¹	h e ¹
ʃ ɿ ²	ʃ ɨ ²
v e̠ ³	v e̠ ³
a ¹	a ¹
dz i ²	dz i ²
d a ²	d a ²
x i ³	x ɨ̠ ³
b a ²	b a ²
k a ¹	k a̠ ³
kʰ o ³	kʰ j o ³
v e̠ ³	v e̠ ³
d y ¹	d a ŋ ¹
m a ²	m a ²
ˀn i ¹	ˀn i ¹
g u ²	kʰ u ²
m o̠ ³	m j o̠ ³
tʰ o̠ ³	t u ³
p e ¹	p e ¹
l e̠ ³	l e̠ ³
b y ³	b y ³
d u̠ ²	d u ¹
pʰ u ¹	pʰ u ¹
tsʰ e̠ ¹	tsʰ e̠ ¹
t y ²	t y ²
ŋ a ¹	ŋ a ¹
tʃʰ ɛ ¹	tsʰ ɛ ³
m a ³	m a ³
