g e ¹	x i ³
s e̠ ³	s e̠ ³
i ²	i ²
ˀn ɛ̠ ³	ˀn ɛ̠ ³
b ɛ̠ ³	b j ɛ̠ ¹
l a ²	l a ²
a ³	a ²
kʰ i ¹	kʰ i ¹
b y ³	tʰ y ¹
s y ²	ʃ y ²
k a ²	k a ŋ ²
tʰ a ²	d a ²
ts i̠ ²	ts e ²
ˀl a ²	ˀl a ²
kʰ a ²	kʰ a ²
a ²	a ²
b j ɛ̠ ³	b j a̠ ³
pʰ j ɛ ¹	pʰ ɛ ³
m u ¹	m j a ²
p a̠ ²	p a̠ ³
l y ²	l y ²
dʒ i ³	dʒ i ³
h e ¹	h e ¹
ts i ³	ts i̠ ³
t i ¹	t a ³
dʒ i ²	dz e ²
kʰ o ¹	kʰ o ¹
tʃ ɛ ¹	tʃ u ¹
a ²	a ²
l e̠ ³	l e̠ ³
l o̠ ¹	l u̠ ¹
pʰ ɨ ²	pʰ ɨ ²
tsʰ a ŋ ¹	tsʰ a ŋ ¹
tʰ a ŋ ²	tʰ u ²
n j a ¹	ŋ j a̠ ¹
a ¹	a ¹
tsʰ u ²	g ɨ ²
l y ¹	l y ¹
tʃʰ i̠ ²	tʰ i ²
v u ¹	v u ¹
g i ¹	g i ¹
dz i ¹	dz i ¹
ˀn a ³	ˀn u̠ ³
a ¹	a ¹
dz i ¹	dz i ¹
s ɛ ²	s ɛ ²
ɣ i ¹	ʒ e ¹
d a ²	d a ²
n e ³	n e̠ ³
ˀl i ²	ˀl i ²
tʰ u ¹	tʰ e̠ ¹
m̩ ²	m̩ ²
n u ²	n u ²
g ɛ ²	g ɛ ²
ˀn i ³	n i̠ ³
ˀn i ³	ˀn i ³
ʒ o̠ ¹	ʒ o̠ ¹
tsʰ u ¹	tsʰ u ¹
l u ¹	l u ¹
m e ¹	m e ¹
m o ²	m o ²
l i ³	ˀl u̠ ¹
d e̠ ³	d ɛ̠ ³
l a ²	l a ²
ˀx a̠ ²	kʰ a ²
s ɛ ²	s ɛ ²
kʰ u ²	kʰ u ²
l a ³	l e̠ ³
ɣ i ¹	x i ¹
k a ¹	k a ¹
n i̠ ¹	n i̠ ¹
m u ²	m ɨ ²
d e̠ ¹	d e̠ ¹
n̩ ²	n i ²
kʰ o ³	kʰ ɨ̠ ³
ɣ i ¹	ɣ i ¹
p ɛ ³	p ɛ ¹
ˀm a ²	ˀm a ²
ˀn i ²	n i ²
m a ²	m a ²
dʒ a̠ ²	dʒ ɛ ²
b i ²	b i ²
s i ¹	s i̠ ¹
s a ¹	s u ¹
k o̠ ³	k o̠ ¹
ˀn i ³	ˀn i ³
e ²	e ²
ʃ a ¹	ʃ a ³
tʰ a ²	dz a ŋ ²
a ¹	a ¹
a ¹	a ¹
dz y ²	dz y ²
tʃʰ e̠ ¹	tʃʰ e̠ ¹
k a ¹	z ɛ ¹
tsʰ a ¹	tsʰ a ¹
l a ¹	l a ¹
k j a ¹	k a ŋ ¹
n a ²	n a ²
b a ŋ ²	b o ²
ˀn e ¹	n e ¹
ɣ i ³	ɣ i ¹
m ɛ ¹	ˀm ɛ ¹
n e̠ ¹	n e̠ ¹
ˀv e̠ ¹	ˀv e̠ ¹
p y ¹	p y̠ ¹
a ¹	a ¹
p ɨ ¹	p ɨ ¹
tsʰ i ¹	tsʰ y ¹
b o ²	b o ²
s i ¹	ˀx y ¹
m a̠ ²	m a ²
l a ²	l a ²
d a ¹	d a ¹
b ɨ̠ ¹	p ɨ ¹
ˀl e̠ ³	ˀl u ³
a ¹	a ¹
b a ²	b e ²
ts a ¹	ts a ¹
a ³	a ²
ɣ a ŋ ²	ɣ a ŋ ²
tsʰ a ¹	tsʰ a ¹
m a ³	m a ³³
t i ¹	t ɛ ¹
a ¹	a ¹
x i ¹	x e ¹
