t w ɛ ⁵	d w ɛ ⁵
g u ¹	g u ¹
k o ŋ ¹	ɣ o ŋ ¹
s r e ¹	s r e ŋ ¹
ɖʐ w ɛ n ⁵	ɖʐ w e n ⁵
m ɯ ŋ ⁴	m ɯ ⁴
s o ²	s u ŋ ²
qʰ ɔ ¹	qʰ ɔ ¹
b ɯ ²	p u ²
s e n ⁵	s e n ⁵
m ɛ ¹	m ɛ ¹
ɖʐ i ⁴	ɖʐ i ⁴
m e ¹	m e ¹
m ɯ ⁵	m ɯ ⁵
kʰ r o ²	kʰ r o ³
tɕ i ⁴	ts j i ⁴
tsʰ w æ ŋ ²	tsʰ w a ŋ ²
ʔ w e n ¹	ʔ w e n ¹
d ɔ ¹	d o ŋ ¹
sʰ a ŋ ¹	sʰ a ŋ ¹
s w a ¹	s w a ŋ ¹
b ɯ ¹	b r i ¹
b ɔ ³	b ɔ ³
tɕ i ⁴	ts j i ⁴
ʈ r æ ⁴	ʈ æ ⁴
s e n ¹	s r e n ¹
tsʰ o ŋ ¹	tsʰ o ŋ ¹
s j i ⁴	s j i ⁴
q æ n ¹	q æ n ¹
ts w ɛ ⁴	ts w ɛ ⁴
tɕ j e n ¹	tɕ e n ¹
d ɛ ¹	n ɛ ¹
p r a ⁴	b a ŋ ⁴
d a ⁴	d a ⁴
b a ⁴	b a ⁴
tɕ j e n ⁵	ts j e n ⁵
m i ⁴	m i ¹
m ɛ ¹	m ɛ ¹
s j e n ¹	s j e n ¹
ɕ o ⁴	ɕ a
ts r o ŋ ⁴	ts u ŋ ¹
ŋ w e n ¹	ŋ w e n ¹
d ɛ ⁴	d ɛ ⁴
k u ²	k u ²
tʰ e ⁴	tʰ r e ⁴
ɕ i ²	ɕ w i ²
n j e n ¹	n j e n ¹
