p i ³	b r i ³
p i ²	p e ¹
n ɔ ³	n ɔ ³
sʰ w a ŋ ¹	sʰ w a ŋ ¹
tsʰ j e ⁴	tsʰ j e n ¹
d ɯ ⁴	tʲ ɯ ⁵
ts u ŋ ¹	ts u ŋ ¹
tʰ r æ ⁴	tʰ j æ ⁴
p j e ¹	p j ɛ ²
ʈ r æ ⁴	ʈ æ ⁴
sʰ r ɯ ²	sʰ r ɯ ²
sʰ w a ⁴	sʰ w a ⁴
x e n ¹	x e n ¹
t ɯ ⁴	d j ɯ ²
sʰ w a ŋ ³	sʰ w a ŋ ³
qʰ e n ¹	qʰ e n ¹
m i i ¹	m j i ¹
d o ⁴	d r o ⁴
j i ³	j i ³
p j ɛ ³	pʰ j ɛ ³
ɣ ɯ ³	ɣ ɯ ³
s o ⁴	s ɔ ⁴
ɖʐ u ŋ ²	ɖʐ u ŋ ²
b r i ¹	b r i ²
ɣ ɔ ¹	ɣ ɔ ¹
tɕ j e n ²	ɖʐ e n ²
tsʰ u ¹	tsʰ u ŋ ¹
tɕ ɯ ¹	tɕ u ¹
ŋ j e ²	n j i ²
j e n ¹	j e n ¹
pʰ r æ ¹	pʰ r æ ¹
ts i ²	ts u ²
q æ ⁴	q æ ⁴
s r w a n ¹	s w a ŋ ¹
s w a ŋ ¹	s w a ŋ ²¹
m ø ²	m ø ²
m i ²	m i ²
d r ɯ ¹	d r ɯ ³
tsʰ i ³	tsʰ e ³
d a ¹	d ɔ ¹
z e n ¹	z e n ¹
tɕ j ɯ ²	tɕ ɯ ²
sʰ ɔ ³	sʰ ɔ ³
q ɯ ¹	q ɯ ¹
tɕ i ¹	tɕ i ¹
ts o ⁵	ts o ⁵
