k ə ʔ ⁵¹	k ə ʔ̚ ⁵¹
c i m ¹¹	ɟ i m ¹¹
k l o ŋ ¹¹	k l ə ŋ ¹¹
l o ⁵⁵	l o ⁵⁵
ʔ a ⁵⁵	ʔ a ⁵⁵
tʰ u ʔ̚ ⁵¹	tʰ u ʔ̚ ⁵¹
m ə ŋ ¹¹	m ə ŋ ¹¹
tʰ w ɨ ɴ ⁵⁵	tʰ w ɨ ɴ ⁵⁵
b e ŋ ⁵⁵	b e ŋ ⁵⁵
s a ¹¹	s a ¹¹
ʔ a m ¹¹	ʔ a m ¹¹
m u ¹¹	m u ¹¹
tʰ u ʔ̚ ⁵¹	tʰ u ʔ̚ ⁵¹
n̥ ə ŋ ⁵⁵	n ɨ ŋ ⁵⁵
p l o ŋ ¹¹	p l o ŋ ¹¹
ɟ a ¹¹	ɟ a ¹¹
l w i ¹¹	l w i ¹¹
tʰ e ¹¹	tʰ e ¹¹
g w a t̚ ⁵¹	k w a t̚ ⁵¹
l a m ⁵⁵	l a m ⁵⁵
d ɔ ŋ ¹¹	d ɔ ŋ ¹¹
tʰ a ŋ ⁵⁵	tʰ a ŋ ⁵⁵
ˀb a ɴ ⁵⁵	ˀb a ŋ ⁵⁵
g a ŋ ⁵⁵	g a ŋ ⁵⁵
kʰ ɔ ʔ̚ ⁵¹	kʰ ɔ ʔ̚ ⁵¹
n e ⁵⁵	n̥ e ⁵⁵
tʰ ɔ ʔ̚ ⁵¹	tʰ ɔ ʔ ⁵¹
tʰ u ¹¹	tʰ u ¹¹
tʰ ei ⁵⁵	tʰ ei ⁵⁵
r ə ʔ̚ ⁵¹	r ə ʔ̚ ⁵¹
r a n ¹¹	r a ɴ ¹¹
k o t ⁵¹	k o t ⁵⁵
s ə ⁵⁵	s u ⁵⁵
tʰ ɔ ⁵⁵	tʰ ɔ ŋ ⁵⁵
n̥ ei ⁵⁵	n ei ⁵⁵
k ə ⁰	k ə ʔ ⁰
