p j o ⁴	p j u ⁴
m ɛ ¹	m ɛ ¹
ŋ w a ⁴	ŋ w a ⁴
tʲ ɔ ¹	d ɔ ¹
m a ⁴	m a ⁴
qʰ o ŋ ¹	qʰ o ŋ ¹
p ɯ ²	p ɯ ²
s i ²	s r i ²
m æ ⁵	m æ ⁵
dz o ŋ ¹	dz o ŋ ¹
b e ¹	b e ¹
ŋ w e n ²	ŋ w e n ²
ɖʐ i ⁴	ɖʐ i ⁴
ɣ æ ⁴	ɣ æ ⁴
z ɔ ¹	z ɔ ¹
n j e n ⁴	n j e ⁴
s j i ⁴	s j i ⁴
s r i ⁴	s r i ⁴
b i ⁴	p r i ⁴
ɖʐ u ¹	ɖʐ u ŋ ¹
p æ ⁴	p æ ⁴
z e n ¹	z e n ¹
n e ⁴	n ɛ ¹
qʰ w æ ¹	qʰ w æ ¹
ɖʐ o ¹	ɖʐ o ¹
d j ɯ ¹	d j ɯ ¹
sʰ a ŋ ¹	sʰ a ŋ ¹
ŋ w æ ⁴	x w a ¹
b u ⁴	χ ɯ ⁴
tɕ j e n ¹	tɕ e n ¹
d ɯ ³	d ɯ ⁵
x w i ²	x w i ²
tʰ r æ n ¹	tʰ æ n ¹
l ɔ ¹	l a ¹
ʈ r æ ⁴	ʈ æ ⁴
sʰ w a ŋ ¹	sʰ w a ŋ ¹
q o ⁴	q ɔ ⁴
s j i ²	s j i ²
m ɯ ⁴	m ɯ ⁴
j o ²	n j o ²
ɕ o ⁴	ɕ a
d r o ŋ ¹	d r o ŋ ¹
tɕ j e n ¹	tɕ e n ¹
tɕ ɯ ¹	tɕ u ¹
k æ ⁴	k æ ⁴
d ɯ ²	dʑ ɯ ²
