k y ³	k j o̠ ³
ɣ i ³	ʃ ɨ̠ ¹
m a ²	m a ŋ ²
z i ³	z i ³
ˀn i ³	ˀn i ³
g i ¹	g i ¹
p a̠ ³	p a̠ ³
pʰ o ²	pʰ i ²
ɣ i ¹	ɣ i ¹
kʰ u ¹	kʰ u ¹
kʰ a̠ ¹	kʰ a̠ ¹
pʰ ɛ ²	pʰ ɛ ²
ˀl a ŋ ³	ˀl u ²
n a ¹	n a ¹
tʰ a ²	tʰ a ²
b y ¹	b y ¹
ts i ³	d e̠ ³
pʰ ɛ ³	f ɛ ³
b i ²	b o ²
a ¹	a ¹
b ɛ ¹	b ɛ ¹
ʃ a ¹	ʃ a ¹
pʰ e̠ ³	pʰ i̠ ³
v a ²	v a ŋ ²
b o ¹	b o ¹
s a ²	s a ²
tsʰ y̠ ³	tsʰ y̠ ³
tsʰ e ¹	tsʰ e ¹
b ɛ̠ ¹	b e ³
kʰ a ²	kʰ a ²
ts u ¹	ts u ¹
g i ¹	s i ¹
tʰ a ²	d a ²
m ɛ ²	m ɛ ²
k e ¹	ˀm j y̠ ¹
t a ³	t a ³
m ɛ ²	m ɛ ²
kʰ i ²	kʰ i ²
ˀl i ³	ˀl i ³
n̩ ²	n u ²
s a ¹	g ɨ ¹
k a ³	k a̠ ³
x a ²	x a ²
b o ³	b o ³
kʰ o̠ ³	kʰ o̠ ³
g o̠ ³	g o̠ ³
t o̠ ³	t o̠ ³
ˀv a ¹	ˀv a ¹
tʰ a ŋ ²	tʰ u ²
ʃ i̠ ²	ʃ ɨ ²
m e ³	m ɛ ³
g u ¹	kʰ y ¹
b ɛ̠ ³	b j ɛ̠ ¹
ʃ y ¹	s y ¹
k a ¹	k a ŋ ¹
d u ²	d u ²
b e̠ ³	b e̠ ³
pʰ j ɛ ¹	pʰ ɛ ³
k a ¹	z ɛ ¹
a ²	a ²
m a ²	m a ²
s ɛ ²	s e ²
ɣ i ¹	ʒ e ¹
h a ¹	h a ¹
a ¹	a ¹
ˀn i ²	ˀɲ y ²
d e̠ ¹	d e̠ ¹
g o̠ ²	g y ²
m ɛ ²	m ɛ ²
n̩ ²	n i ²
z a ²	z a ²
l a ŋ ²	l a ŋ ²
n̩ ²	n̩ ²
l i ³	ˀl u̠ ¹
l i ¹	ˀl i̠ ³
s ɛ ²	s ɛ ²
m a ³	m a ³
m e ¹	m e ¹
a ¹	a ¹
d i ¹	d i ¹
ʃ u ¹	h u ¹
ˀn i ³	ˀn i ³
kʰ ɛ ³	kʰ ɛ ²
t i ²	t i ²
dʒ a ŋ ¹	dʒ a ŋ ¹
s i ²	s i ²
pʰ a ²	pʰ a ²
ˀl i ¹	ˀl i ¹
m o ¹	m o ²
m e ¹	m e ¹
k a ¹	k j i ³
ˀn i̠ ¹	ˀn i̠ ¹
a ¹	a ¹
ŋ a ²	ŋ a ²
m u ²	m ɨ ²
a ¹	a ¹
tʃʰ i ²	tʃʰ i ²
t u ¹	t u ¹
p a̠ ³	p a̠ ³
a ¹	a ¹
z a ²	z a ²
kʰ ɛ ²	kʰ j ɛ ²
tʰ y ¹	tʰ y ¹
l a ¹	l a ³
ɣ a ³	ʃ a̠ ³
m a ³	m a ³
b i ³	p ɨ̠ ¹
b a ²	b a ²
m ɛ̠ ²	m ɛ ²
dz a ²	dz a ²
ˀm e̠ ¹	ˀm j e̠ ¹
k a ³	k a ŋ ²
l a ²	l a ²
tʃʰ a ¹	tʃʰ u ¹
d a ²	d a ²
a ¹	a ¹
ɣ e ¹	ɣ u ²
d i ²	d i ²
ts i̠ ²	ts e ²
g u ²	g u ²
ʃ ɛ ²	ʃ ɨ̠ ³
s e ¹	s o̠ ³
tsʰ a̠ ²	tsʰ i ²
s i̠ ¹	s i̠ ¹
tʃʰ i ²	d i ²
