h ɛ̠ ²	h ɛ ²
tʃ a ³	tʃ a̠ ³
b i ²	b j o ²
kʰ a ³	kʰ a ³
s y ²	s y ²
ˀm e ³	ˀm i ³
k a ŋ ¹	x a ŋ ¹
ts a ¹	ts a ¹
d y ¹	d y ¹
g i ¹	g i ¹
pʰ ɛ ²	kʰ j e ¹
z a ²	z a ²
z o̠ ²	ʒ o̠ ³
a ²	a ²
d a ²	d a ²
tsʰ y ¹	tsʰ y ¹
pʰ i̠ ³	pʰ i̠ ³
tʃʰ i ¹	tʃʰ e ¹
dʒ a ¹	k a ²
ɣ a ¹	s e ¹
d u ²	d u ²
m a ŋ ¹	m a ŋ ³
g a ³	g a ³
b a ²	b a ²
t u ¹	t u ¹
b a ŋ ³	b a ŋ ³
kʰ a ¹	kʰ a ¹
l a ¹	l a ¹
d ɛ ²	d ɛ ²
kʰ u ²	kʰ u ²
dʒ ɛ ²	dʒ ɛ ²
pʰ a ¹	pʰ j a ¹
h a ŋ ¹	h a ¹
kʰ e̠ ¹	kʰ e̠ ¹
b a ŋ ²	b a ŋ ²
m u ¹	m o ¹
n i̠ ¹	n i̠ ¹
a ²	a ²
b a ²	b a ²
p u ²	p u ²
m i ¹	m i ¹
n ²	n i ²
k j o ³	k o ³
x a ¹	x a ¹
t e ²	t e ²
tʰ a ²	tʰ a ²
a ¹	a ¹
b ɛ ¹	b ɛ ¹
d i ²	d i ²
pʰ u ¹	pʰ u ¹
ʃ a ¹	ʃ a ¹
ʃ i ¹	ʃ i̠ ¹
a ¹	a ¹
l e̠ ³	l e̠ ¹
ts ɛ ³	ts ɛ ³
n y ²	n y ²
a ¹	a ¹
d e̠ ³	d ɛ̠ ³
kʰ o̠ ³	kʰ o̠ ³
ɣ i ¹	ɣ i ¹
a ¹	a ¹
z i ²	z i ²
k a ³	g a ³
tsʰ ɛ ¹	tsʰ ɛ ¹
tsʰ i ¹	tsʰ i ¹
pʰ a ²	pʰ j a ŋ ²
z a ²	z a ²
l o ²	l y ²
t o̠ ³	t o̠ ³
p a ¹	p e ¹
b a ³	b a ³
g u ¹	g y ¹
p a̠ ³	p a̠ ³
ʃ e̠ ³	ʃ ɨ̠ ¹
p a ³	p a̠ ³
h a ¹	h a ¹
ɲ e̠ ¹	n i̠ ¹
s a ¹	s a ¹
b o̠ ¹	b o̠ ¹
ʃ ɛ ¹	ʃ ɛ ¹
ˀn i ¹	ɲ a ²
m u ²	m j u ²
ŋ o ¹	ŋ o ¹
ˀn a ³	n a ²
f u ³	f u ³
m i ¹	m i ¹
kʰ j i̠ ³	tsʰ i̠ ³
m ɨ̠ ³	m ɨ̠ ³
h y ¹	x y ¹
ˀl y ³	ˀl y ³
s u ¹	s u ¹
kʰ a̠ ¹	kʰ a̠ ¹
m a ²	m a ²
ɣ i ¹	ɣ i ¹
dʒ a ¹	dʒ a ¹
v e ³	v e ³
ˀl a ²	ˀl a ²
ˀv a ¹	ˀv a ¹
g u ²	g u ²
n a ²	n a ²
t u ¹	t ɛ ¹
a ¹	a ¹
g i ¹	kʰ i ¹
l e̠ ³	l e̠ ³
s i̠ ¹	s i̠ ¹
pʰ ɨ ¹	pʰ ɨ ¹
dz e ²	dz e ²
ʃ a ³	ʃ a ³
ɣ o ³	ɣ o ³
ɣ i ¹	ɣ i ¹
dʒ e ²	dʒ e ³
ˀn a ²	ˀn a ²
ɣ i ¹	ɣ i ¹
h a ¹	h a ¹
m y ²	m ɨ ²
l y ³	l y ³
b ɨ̠ ¹	p ɨ ¹
l y ¹	l y ¹
ɣ ɨ ¹	ɣ ɨ ¹
tʃʰ ɨ̠ ²	tʃʰ ɨ ²
m o̠ ¹	m o̠ ¹
z e̠ ³	z e̠ ³
a ²	a ²
tʃ u ¹	ts u ¹
