ʈ o ⁴	d r o ⁴
tʰ r u ²	tʰ r u ²
sʰ ɔ ¹	sʰ r ɔ ¹
m o ²	m o ²
pʰ ɔ ³	pʰ ɔ ³
s r w a n ¹	s w a ŋ ¹
x e n ¹	x e n ¹
qʰ o ⁴	qʰ ɔ ⁴
s j e n ¹	s j e n ¹
ŋ w e n ²	ŋ w e n ²
n u ¹	n j o ŋ ¹
dʑ a ⁴	dʑ a ⁴
d o ŋ ²	d j o ŋ ²
tɕ j ɯ ¹	tɕ ɯ ¹
m æ ¹	m æ ¹
q o ŋ ¹	q o ŋ ¹
s ɔ ²	s u ŋ ²
tɕ j ɯ ²	tɕ ɯ ²
ɣ o ¹	ɣ ɔ ¹
p r e n ¹	p r e n ¹
s j i ²	s j i ²
pʰ æ ¹	pʰ a ¹
j ɯ ⁴	j ɯ ⁴
ts r i ²	ts r i ²
ts u ŋ ¹	ts u ŋ ¹
ts r e ŋ ¹	ts r e ŋ ¹
tsʰ j i ⁴	tsʰ j i ⁴
m e ¹	m e ¹
b j o ⁴	b j o ⁴
s r o ²	s r o ²
z e n ¹	z e n ¹
m i ¹	m j i ¹
sʰ w a ⁴	sʰ w a ⁴
d ɯ ²	dʑ ɯ ²
k o ⁵	k o ⁵
x w i ²	x w i ²
k w a ¹	k w a ⁴
w w a ¹	ɕ w i ²
m ø ²	m ø ²
ɕ r æ n ¹	s j æ n ¹
b æ ⁴	b æ ⁴
kʰ o ŋ ¹	kʰ o ŋ ¹
g ɯ̃ ŋ ³	g ɯ̃ ³
m ɛ ⁵	m ɛ ⁵
m æ ⁵	m æ ⁵
tʰ æ n ¹	tʰ æ n ¹
