qʰ o ⁴	qʰ ɔ ⁴
n j ɛ ⁴	b j ɛ ⁴
ɣ a n ¹	ɣ æ ¹
tʰ r u ŋ ²	tʰ u ²
s j e n ¹	s j e n ¹
ɣ ɯ̃ ²	ɣ ɯ ²
ɣ æ ⁴	ɣ æ ⁴
h ɔ ³	h ɔ ³
s i ²	s r i ²
ɣ ɔ ¹	ɣ ɔ ¹
b r e n ¹	p r e n ¹
ɣ ɯ ⁴	ɣ ɯ ²
d w a ¹	d w a ⁴
s e ¹	s r ɯ ²
n w e n ¹	ʁ w e n ¹
kʰ o ¹	qʰ o ŋ ¹
ɖʐ o ¹	ɖʐ o ¹
t ɯ ⁴	d j ɯ ²
ɖʐ i ²	ɖʐ i ²
j o ²	n j o ²
tsʰ o ³	tsʰ u ³
m e ¹	m ɛ ¹
s r i ⁴	s r i ⁴
d o ¹	d r o ŋ ¹
x e n ¹	x e n ¹
d ɯ ³	d ɯ ⁵
tɕ j æ n ¹	tɕ æ ŋ ¹
x e n ¹	x e n ¹
j e n ¹	j e n ¹
b æ n ³	b æ n ³
q æ ⁵	q æ ⁵
g ɯ ¹	g ɯ ¹
s ɔ ²	s u ŋ ²
n ɔ ³	n ɔ ³
ŋ w a ⁴	ŋ w a ⁴
d i ²	dʑ i ²
ʁ a ŋ ¹	ʁ a ŋ ¹
m ɛ ¹	m ɛ ¹
tɕʰ ə ⁴	tʰ e ⁴
tsʰ e ŋ ¹	tsʰ r e ŋ ¹
sʰ w a ŋ ¹	sʰ w a ŋ ¹
q ɛ ¹	q ɛ ¹
j ɔ ⁴	j ɔ ⁴
ts r i ²	ts r i ²
m æ ⁴	m æ ⁴
pʰ æ ⁴	pʰ æ ⁴
