p y ²	v y ²
a ¹	a ¹
pʰ e ¹	pʰ e ¹
p a ³	p a̠ ³
pʰ o ²	pʰ i ²
kʰ u ²	kʰ ɨ̠ ¹
tʃ u ¹	tʃ ɛ ¹
p a ¹	p a ¹
ɣ i ¹	ɣ i ¹
ˀm ɛ̠ ¹	ˀm ɛ̠ ¹
l o ²	l y ²
m a ³	m a ³
ts a ³	dz ɛ̠ ³
ɣ i ¹	ɣ i ¹
tʰ i ³	tʰ u ³
b a ²	b a ²
d i ¹	d i ¹
ɣ i ¹	ɣ i ¹
kʰ i̠ ²	kʰ ɨ ²
tsʰ a ¹	tsʰ a ¹
ŋ a ¹	ŋ w a ¹
d u ¹	d u ¹
m j a ³	m j a ³
l o̠ ³	l u̠ ¹
k y ³	k j o̠ ³
k ²	i ²
ɣ a ŋ ²	ɣ a ŋ ²
ɣ y ¹	ˀx a ¹
k o̠ ¹	k a ŋ ¹
a ¹	a ¹
ʒ e̠ ¹	ɣ e̠ ¹
g a ¹	g a ¹
k a ŋ	e̠ ¹
g o̠ ³	g o̠ ³
ˀl a ŋ ³	ˀl a ŋ ³
dʒ ɛ ¹	dʒ ɛ ¹
h e̠ ³	h e̠ ³
l e̠ ³	l e̠ ¹
p e ³	p e̠ ³
m j a ¹	m j a ŋ ¹
v ɛ̠ ³	v ɛ̠ ³
b a ²	b a ²
ˀm u ³	ˀm y̠ ¹
tʃʰ i ¹	tʃʰ e ¹
ɣ a ³	g a ³
a ¹	a ²
s a ¹	g ɨ ¹
ʃ a̠ ³	ʃ a̠ ³
tʰ a ²	tʰ u ²
n e̠ ¹	n e̠ ¹
z i ²	z i ²
ts e ²	ts e ²
p ɨ ¹	p ɨ ¹
v a ¹	v u ¹
tʃʰ ɨ ¹	tʃʰ ɨ ¹
a ¹	a ¹
kʰ a ²	kʰ a ²
p i ¹	x i ¹
n i ¹	n i ¹
v e̠ ³	v e̠ ³
h e ¹	h e ¹
m a ²	m a ŋ ²
a ¹	a ¹
p y ¹	p y̠ ¹
a ¹	a ²
g i ²	g i ²
s ɛ ¹	s ɛ ²
pʰ y ²	pʰ y ²
t ɛ ³	t e̠ ³
tsʰ i ²	tsʰ i ²
tsʰ a ¹	tsʰ a ¹
d i ²	d i ²
d u ¹	d u ¹
ˀn i ³	n i̠ ³
m ²	m ɨ ²
t y ²	d u ¹
kʰ u ¹	kʰ u ¹
tsʰ u ²	tʃʰ i ²
j a ³	j a ŋ ²
b o ²	b o ²
dʒ i̠ ¹	dʒ i ¹
b ɛ̠ ¹	b ɛ̠ ¹
s ɛ ²	s ɛ ²
tsʰ a ¹	tsʰ a ¹
k a ¹	k j i ³
k a ¹	k a ŋ ¹
tsʰ y ¹	tsʰ y ¹
ʃ ɛ ¹	ʃ ɛ ¹
ɣ ɛ ¹	ɣ ɛ ¹
k a ¹	k u ¹
kʰ ɛ ³	kʰ ɛ ²
g u ³	g o ŋ ³
n i ²	n̩ ²
n a̠ ³	ɲ a̠ ³
ts a ³	ts a ³
tʃ a̠ ³	tʃ ɛ̠ ³
a ¹	a ¹
v ¹	v u ¹
x e ¹	x e ¹
a ¹	a ¹
ʃ ɛ ¹	ʃ ɛ ¹
b a ŋ ³	p ɨ̠ ¹
ˀn i ³	ˀn i ³
k ɛ ¹	k ɛ ¹
tʰ u ¹	tʰ u ¹
ʃ i̠ ²	ʃ ɨ ²
x ɛ ¹	kʰ a̠ ¹
d a ²	d a ²
pʰ y ²	pʰ j y ²
kʰ ɨ ³	kʰ ɨ̠ ³
pʰ i ²	pʰ i ²
n y ¹	n y ¹
s j y ¹	s y ¹
a ¹	a ¹
s ɛ ²	s ɛ ²
p a ¹	p a ¹
b a ³	b a ³
s i̠ ¹	s i ²
tʃʰ i̠ ²	tʃʰ i ²
x a̠ ³	x a̠ ³
p a̠ ³	p a̠ ³
kʰ ɨ ²	kʰ a ²
ɣ i ¹	ɣ i ¹
tsʰ a ²	tsʰ i ²
h a ¹	h a ¹
