ts i ²	ts u ²
m o ²	m ø ²
z e ¹	z e n ¹
tɕ j æ ⁴	tɕ æ ¹
ŋ ɔ ¹	ŋ ɔ ¹
tsʰ o ŋ ⁵	tsʰ o ŋ ³
k o ⁵	k o ⁵
b ɯ ²	p u ²
q w ɛ ⁵	q w ɛ ³
x e n ¹	x e n ¹
sʰ r ɯ ²	sʰ r ɯ ²
pʰ ɯ ¹	pʰ ɯ ¹
ɕ o ⁴	ɕ a
b a ⁴	b a ⁴
n i ²	n j i ⁴
ɕ r i ²	ɕ w i ²
d r ɯ ³	d r ɯ ³
kʰ ɔ ¹	qʰ o ŋ ¹
tsʰ w e n ¹	tsʰ w e n ¹
b e ⁴	n j i ⁴
ɖʐ w e n ⁵	ɖʐ w e n ⁵
n j o ŋ ¹	n j o ¹
m ɛ ³	m i ¹
m ɛ ²	m ɛ ²
d r ɯ ²	d r ɯ ²
m o ²	m ø ²
m r i ¹	m j i ¹
ɖʐ i ⁴	ɖʐ i ⁴
s j i ²	s j i ²
ʈ o ⁴	d r o ⁴
ŋ o ¹	ŋ o ¹
j i ³	j i ³
j ɯ ⁴	j ɯ ⁴
tsʰ u ŋ ¹	tsʰ u ŋ ¹
s o ²	s u ŋ ²
m i ¹	m i ¹
ʈ r ɯ ¹	ʈ ɯ ⁴
qʰ w æ ³	qʰ w æ ³
j a ⁴	j a ⁴
h ɔ ¹	h ɔ ¹
j e n ¹	j e n ¹
ʈ s r u ŋ ¹	ts u ŋ ¹
t w e n ¹	t w e n ¹
tsʰ j i ⁴	tsʰ j i ⁴
χ ɯ ⁴	χ ɯ ⁴
ɣ ɯ ²	ɣ ɯ ²
