k ə ʔ ⁵¹	k ə ʔ̚ ⁵¹
pʰ ou ⁵⁵	pʰ ou ⁵⁵
d e ɴ ⁵⁵	d e ɴ ⁵⁵
k l a ⁵⁵	k l a ⁵⁵
tʰ a ʔ̚ ⁵¹	tʰ a ʔ̚ ⁵¹
kʰ l o ¹¹	kʰ l o ¹¹
cʰ ɨ m ⁵⁵	cʰ ɨ m ⁵⁵
tʰ w ɨ ɴ ⁵⁵	tʰ w ɨ ɴ ⁵⁵
ʔ a ⁵⁵	ʔ a ⁵⁵
d a ʔ ⁵¹	d a ʔ̚ ⁵¹
k ə ⁰	k ə ⁰
ʔ ɔ ŋ ¹¹	ʔ ɔ ɴ ¹¹
k i ¹¹	k i ¹¹
ʔ̚ w i ¹¹	ʔ w i ¹¹
kʰ r ɔ ʔ̚ ⁵¹	kʰ r ɔ t ⁵¹
j ou ¹¹	j ou ¹¹
m l ɔ ⁵⁵	m l ɔ ɴ ⁵⁵
cʰ a ⁵⁵	c a ⁵⁵
l ou ¹¹	l̥ ou ¹¹
pʰ a ʔ̚ ⁵¹	p a ʔ̚ ⁵¹
pʰ l o ŋ ¹¹	pʰ l o ŋ ¹¹
p l o ŋ ¹¹	p l o ŋ ¹¹
ɲ̊ a ⁵⁵	ŋ̊ a ⁵⁵
s r e ⁵¹	s r e ³³
s o ⁵⁵	s o ⁵⁵
r̥ o ŋ ¹¹	r o ŋ ¹¹
l a ŋ ⁵⁵	l a ŋ ⁵⁵
ˀb a ŋ ⁵⁵	ˀb a ŋ ⁵⁵
c i ¹¹	ɟ i ¹¹
kʰ l ɛ ɴ ⁵⁵	kʰ l ɛ ɴ ⁵⁵
t ə ⁰	t ə ʔ̚ ⁰
r w i ʔ ⁵¹	r̥ w i ʔ̚ ⁵¹
m a ʔ̚ ⁵¹	m a ʔ̚ ⁵¹
tʰ u ¹¹	tʰ u ¹¹
w ɛ ⁵⁵	w ɛi ⁵⁵
l ou ¹¹	l̥ ou ¹¹
