b o ²	pʰ u ¹
i ²	i ²
b ɛ ³	b ɛ ¹
ɣ a ³	ɣ a ³
dz i̠ ¹	dz i̠ ¹
l u ²	l u ²
p y ³	p y ³
pʰ u ¹	pʰ u ³
kʰ a ³	kʰ a ³
n̩ ²	n u ²
i ²	i ²
kʰ o̠ ³	kʰ o̠ ³
kʰ a ²	kʰ a ²
m o ¹	m u ¹
m i ¹	ˀm i ¹
ʒ i ³	ʒ e ³
dz i ¹	dz i ¹
t a ¹	t a ⁵⁵
tʰ a ²	tʰ a ²
p a ŋ ²	tʰ a ŋ ²
ˀm j e̠ ¹	ˀm j e̠ ¹
x o ¹	k u ¹
a ¹	a ¹
a ¹	a ¹
k o ²	k j o ²
l a ²	l a ²
s j a ¹	s y ¹
pʰ o ²	pʰ y ²
n a ²	n a ²
ts ɛ ¹	ts ɛ ¹
s u ¹	s u ¹
tsʰ e ¹	tsʰ e ¹
t ɛ ¹	t ɛ ¹
dʒ i ¹	dz i̠ ¹
v u ¹	v u ¹
ʒ o̠ ¹	ʒ o̠ ¹
dz a ²	dz a ¹
dz i ²	dz ɿ ³
s i ³	ʒ i̠ ³
k o̠ ³	k o̠ ¹
ˀm e̠ ³	ˀm e̠ ¹
p y ²	p y ²
t ɛ ³	t u ¹
h e̠ ³	h e̠ ³
kʰ ɛ ¹	kʰ a̠ ¹
kʰ a ³	kʰ a ³
ˀl y ³	ˀl y ³
v e ²	v i ²
ˀv e̠ ¹	ˀv e̠ ¹
tʰ a ²	tʰ a ŋ ²
ˀn e ³	n e ²
x a ¹	x a ¹
dʒ a ²	dʒ ɛ ²
g o̠ ³	g o̠ ³
h e ¹	h e ¹
d u ²	d u ²
p a̠ ³	p a̠ ³
d i ¹	d i ¹
ts e ²	ts e ²
z a ²	z a ²
ɣ i ¹	ɣ i ¹
tʰ a ²	tʰ a ²
g u ¹	g a ŋ ³
b i ³	b j e̠ ³
tsʰ i ²	tsʰ ɿ ²
pʰ e ¹	pʰ e ¹
m o ²	m o ²
m ɨ ²	ˀm u ¹
kʰ i ²	kʰ ɨ ²
g a ¹	g a ¹
ʃ ɛ ¹	ʃ ɛ ¹
tʰ ɛ ³	tʰ ɛ ³
dz e ²	dz i ²
a ²	a ²
ʃ ɛ ¹	ʃ ɛ ¹
l a ¹	l a ¹
p e ²	pʰ e ²
g y ²	g y ²
ˀx ɛ ²	x ɛ ²
kʰ o̠ ³	kʰ o̠ ³
t a ŋ ¹	t a ŋ ¹
s y ²	s y ²
ˀl a ²	ˀl a ²
ʃ a̠ ²	ʃ a ²
p ɨ ¹	p ɨ ¹
n y ²	n y ²
g o̠ ¹	g o̠ ¹
pʰ ɨ ²	pʰ ɨ ²
t a ³	t a ³
dʒ i ¹	dʒ i ¹
p a̠ ³	p a̠ ³
ˀl a ³	l e̠ ³
ts a ¹	ts a ¹
t a ¹	t a ⁵⁵
k a ŋ ³	k j i ³
n a ²	n a ²
n j e ¹	ɲ e ¹
n e̠ ³	n e̠ ³
kʰ o̠ ³	kʰ o̠ ³
k j o ³	k o ³
l a ²	l a ²
t o̠ ³	t u ³
m i ³	ˀm u ²
ʃ i̠ ³	ʃ i̠ ¹
x e̠ ²	x a̠ ³
a ¹	a ¹
z a ²	z a ²
l e̠ ³	l e̠ ³
m i̠ ¹	m i̠ ¹
d e̠ ³	d ɛ̠ ³
a ²	a ¹
p i ²	tsʰ i ²
n ²	n u ²
kʰ u ¹	kʰ u ¹
a ¹	a ¹
z ɛ ¹	z ɛ ¹
tʃ a̠ ³	tʃ ɛ̠ ³
pʰ u	ɨ̠ ¹
x e ¹	x e̠ ³
kʰ ɨ ¹	kʰ i ¹
ɣ i ¹	ɣ ɛ ¹
pʰ ɨ ¹	pʰ ɨ ¹
m ɛ ²	m ɛ ²
z y ²	z y ²
