g r ei ¹¹	kʰ r ei ¹¹
j a t̚ ⁵¹	ŋ j a t̚ ⁵¹
n a ¹¹	n a ¹¹
l a ⁵⁵	l a ⁵⁵
b l ɛ ʔ̚ ⁵¹	b l ɛ ʔ̚ ⁵¹
k ə t ə	k o t ⁵⁵
tʰ ei ⁵⁵	tʰ ei ⁵⁵
r ə ʔ̚ ⁵¹	r ə ʔ̚ ⁵¹
pʰ e ʔ̚ ⁵¹	pʰ e ʔ̚ ⁵¹
kʰ l i ʔ̚ ⁵¹	kʰ l i ʔ ⁵¹
cʰ a ⁵⁵	c a ⁵⁵
m i ɴ ⁵⁵	ˀm i n ⁵⁵
kʰ l o ¹¹	kʰ l o ¹¹
r ə ⁵⁵	t r e ⁵⁵
l a ¹¹	l̥ a ¹¹
ə ai ¹¹	n ei ¹¹
s a ¹¹	s a ¹¹
ʔ a ⁵⁵	ʔ a ⁵⁵
tʰ ə ə ⁰	tʰ u ¹¹
cʰ ə ɴ ⁵⁵	cʰ ə ŋ ⁵⁵
b l ei ⁵⁵	b l ei ⁵⁵
b l e ʔ̚ ⁵¹	b l e ʔ ⁵¹
h ou ¹¹	h ou ¹¹
k ə ʔ̚ ⁰	k ə ʔ ⁰
kʰ r ɔ k̚ ⁵¹	kʰ r ɔ t ⁵¹
tʰ ɛ ʔ̚ ⁵¹	tʰ ɛ ʔ̚ ⁵¹
d ɛ ʔ̚ ⁵¹	d ɛ ʔ̚ ⁵¹
m ɨ ɴ ⁵⁵	m w ɨ ɴ ⁵⁵
p r a ʔ̚ ⁵¹	b r a ʔ̚ ⁵¹
kʰ l ei ⁵⁵	kʰ l ei ⁵⁵
pʰ l o ŋ ¹¹	pʰ l o ŋ ¹¹
tʰ au ⁵⁵	tʰ au ⁵⁵
ˀb u ⁵⁵	ˀb ə ⁵⁵
m ɨ ¹¹	m ɨ ¹¹
cʰ r w i t̚ ⁵¹	kʰ r w i t ⁵¹
s i ʔ̚ ⁵¹	s i ʔ ⁵¹
