s e ²	s r ɯ ²
tʰ u ³	tʰ r u ³
t w e n ²	t w e n ²
tɕʰ j æ n ¹	tsʰ j æ n ¹
k ɯ̃ ¹	k ɯ ¹
ts w ɛ ⁴	ts w ɛ ⁴
n i ²	n j i ⁴
dʑ i ³	d i ³
pʰ æ n ³	pʰ æ n ³
s o ŋ ³	s u ŋ ³
n o ŋ ⁵	n o ŋ ⁵
b r j a ⁴	p r a ⁴
ɖʐ j æ n ³	dʑ æ n ³
χ o ⁴	χ ɯ ⁴
sʰ r ɯ ²	sʰ r ɯ ²
n ɔ ³	n ɔ ³
s r o ⁴	s r o ⁴
j ɯ ¹	j ɯ ¹
ɕ r e n ¹	p r e n ¹
b e ²	p ɛ ²
x w i ²	x w i ²
n j o ŋ ⁴	ŋ j o ŋ ⁴
ŋ u ²	ŋ u ²
l ɔ ¹	l ɔ ¹
b r j æ ⁴	p r æ ⁴
ts r o ²	ts r ɔ ²
qʰ u ²	qʰ u ²
ŋ w a ⁴	ŋ w a ⁴
tɕ j ɯ ²	tɕ ɯ ²
k o ⁵	k o ⁵
m æ ¹	m æ ¹
ʁ o ¹	ʁ ɯ ⁴
m ɛ ¹	m ɛ ¹
sʰ w a ŋ ³	sʰ w a ŋ ³
tsʰ ɔ ŋ ¹	tsʰ u ŋ ¹
n ɛ ¹	n ɛ ¹
m ɯ ²	m ɯ ²
q o ⁴	q ɔ ⁴
dʑ j i ²	dʑ i ²
m ɛ ¹	m ɛ ¹
s r i ⁴	s r i ⁴
tsʰ ɯ ³	tsʰ ɯ ³
l ɔ ¹	l a ¹
p ɯ ²	p u ²
b j o ¹	b j o ⁴
k æ ⁴	k æ ⁴
p o ²	p j o ²
