ɣ i ¹	x i ¹
a ¹	a ¹
k ɛ̠ ³	k u ²
v ɛ ¹	v ɛ ¹
k e ¹	x e̠ ³
k j u ²	k u ²
ˀl o̠ ¹	ˀl o̠ ¹
a ¹	a ¹
a ¹	a ¹
kʰ o ³	kʰ j o ³
z e̠ ³	z e̠ ³
ʃ a̠ ³	ʃ a̠ ³
¹ y ¹	ˀn y ¹
b e̠	b y ²
a ¹	a ¹
pʰ i ¹	pʰ e ¹
m ɛ ²	m e ²
s i̠ ³	s i̠ ³
ˀn o ¹	ˀn y ¹
d i ¹	d i ¹
v a ³	v a ³
t o̠ ³	d o̠ ³
a ¹	a ¹
p a ŋ ³	p ɛ ³
p a̠ ³	p a̠ ³
x a ŋ ²	x a̠ ³
k ɛ ¹	k j ɛ ¹
t o ¹	kʰ o̠ ¹
l e̠ ³	l e̠ ³
l a ²	l a ²
tʃʰ ɛ ¹	tsʰ e̠ ³
ɣ a̠ ³	ʃ a̠ ³
l a ³	l a ³
dz i ¹	dz i ¹
kʰ o ²	kʰ o ²
tʃʰ i ¹	tʃʰ e ¹
a ¹	a ¹
m o ¹	m o ¹
tʃ e̠ ³	ts e̠ ³
d u ²	d u ²
kʰ y ²	kʰ j o ²
s y ¹	s y ¹
f ɛ ³	pʰ u ²
z a ²	z a ²
a ²	a ²
d i ¹	d i ¹
ɣ ɨ ³	ɣ ɨ ³
kʰ u ²	kʰ u ²
dz e ²	dz e ²
l o̠ ¹	l u̠ ¹
tʃʰ u ²	t u ²
kʰ ɛ ²	kʰ j ɛ ²
b a ³	b a ³
s ɛ ²	s ɛ ²
s e̠ ³	s e̠ ³
k u ¹	k u ¹
b u ³	b y̠ ³
ʒ o ¹	ʒ u ¹
g o̠ ¹	g o̠ ¹
pʰ y̠ ³	pʰ y̠ ³
ˀn i ³	ˀn i ³
k a ³	k a ¹
n i ²	n i ²
b i ³	b i ³
tsʰ u ¹	tsʰ e̠ ¹
z i ³	z i ³
d i ¹	d a ŋ ¹
ˀn ɛ̠ ³	ˀn ɛ̠ ³
k j o ²	k j o ²
pʰ ɛ ²	pʰ e ²
s y ²	s y ²
a ²	a ²
z i ²	z i ²
ɣ a ²	ɣ o ³
b o ²	b o ²
tʃ u ¹	tʃ ɛ ¹
m a ¹	m a ŋ ²
l a ¹	l a ¹
ʃ ɨ ²	ʃ ɨ ²
ˀl o̠ ³	l o̠ ¹
n̩ ²	n i ²
kʰ i ¹	kʰ i ¹
pʰ u ¹	pʰ u ³
b j ɛ̠ ³	b j a̠ ³
ˀm a ²	ˀm a ²
n a ¹	n a ¹
b ɛ ¹	b ɛ ¹
tʰ a ²	d a ²
d e ³	d e ³
pʰ u ¹	pʰ e̠ ¹
g u ²	g j u ²
dz i ¹	dz e ¹
d i ²	d i ²
d e̠ ¹	d e̠ ¹
ɣ a ¹	s e ¹
m a ²	m ɛ ²
z a ²	z a ²
p a̠ ³	p a̠ ³
kʰ y ¹	kʰ j y ¹
x a̠ ³	x a̠ ³
b u ²	b ɛ ²
s u ¹	ʒ a ¹
dz i ¹	dz i̠ ¹
l e̠ ³	l e̠ ³
ʃ a ¹	ʃ a ¹
ˀn u̠ ³	ˀn u̠ ³
pʰ e̠ ¹	pʰ e̠ ¹
ʃ ɛ ¹	ʃ ɛ ¹
x e̠ ¹	ˀx y ¹
dʒ a ŋ ¹	dʒ a ŋ ¹
ˀm e̠ ¹	ˀm j e̠ ¹
k a ²	k a ŋ ²
m u ³	m ɛ ³
ˀn a ²	ˀn a ²
¹ y ²	p a̠ ³
h a ¹	h a ¹
k j i ¹	k i ¹
a ¹	a ¹
n a ¹	n a ¹
s a ¹	s u ¹
a ¹	a ²
tʃʰ j a ¹	tʃʰ u ¹
m a ³	m a ³
dʒ i ²	dz i ²
dz ɛ ¹	k a ²
