tsʰ o ³	tsʰ u ³
p ɯ ²	p u ²
ŋ o ¹	ŋ o ¹
t æ ⁴	t æ ŋ ⁴
sʰ r æ ⁴	sʰ r æ ⁴
n j o n ²	ŋ j o ²
j ɔ ⁴	j ɔ ⁴
tɕ e ¹	tɕ i ¹
d r ɯ ²	ʈ ɯ ²
m ɯ ²	m ɯ ²
s j i ⁴	s j i ⁴
ts o ⁴	ts o ⁴
j o ⁵	j ɔ ⁵
dz i ¹	dz i ¹
tʰ u ²	tʰ j u ²
p æ n ²	p æ n ²
d ɔ ⁵	d ɔ ⁵
k o ⁵	k o ⁵
j o ²	b j o ²
ɣ u ²	ɣ u ŋ ²
ʈ r æ ⁴	ʈ æ ⁴
ŋ w a ŋ ⁴	ŋ w a ⁴
m i ²	m i ²
b r i ²	b r i ²
j o ŋ ²	n j o ²
ɯ̃ ²	ɯ̃ ²
kʰ o ⁴	kʰ o ⁴
qʰ ɯ̃ ¹	qʰ ɯ̃ ¹
d r ɯ ³	d r ɯ ³
ɖʐ i ²	ɖʐ i ²
m ø ²	m ø ²
s ɔ ⁴	s ɔ ⁴
ɕ i ⁴	ɕ i ⁴
tsʰ ɯ ³	tsʰ ɯ ³
qʰ o ŋ ¹	qʰ o ŋ ¹
s u ŋ ³	s u ŋ ³
k u ²	k u ²
tʰ r æ n ¹	tʰ æ n ¹
sʰ ɔ ³	sʰ ɔ ³
j a ⁴	j a ⁴
tʰ o ⁴	tʰ r o ⁴
ʈ o ⁴	ʈ o ⁴
m ɛ ¹	m ɛ ¹
⁴ ɛ ⁴	n ɛ ¹
ʁ a ŋ ¹	ʁ a ŋ ¹
b ɔ ³	b ɔ ³
