b j e ²	b j ɛ ²
ɣ æ ⁴	ɣ æ ⁴
dʑ i ³	d i ³
q æ ⁵	q æ ⁵
q o ŋ ¹	q o ŋ ¹
n o ŋ ²	n j o ŋ ²
tɕʰ i ⁴	tɕʰ i ⁴
χ u ⁴	χ ɯ ⁴
ɕ i ⁴	ɕ i ⁴
m æ ¹	m æ ¹
m ɔ ¹	m ɔ ¹
dʑ i ⁴	d i ⁴
n j e n ¹	n j e n ¹
ʈ o ⁴	d r o ⁴
ɖʐ j a ⁴	b r æ ⁴
ɣ w a ¹	ɕ w i ²
p r æ ⁴	p r æ ⁴
pʰ æ n ³	pʰ æ n ³
tsʰ o ŋ ⁵	tsʰ o ŋ ³
m i ³	m i ¹
q ɯ ¹	q ɯ ¹
ts j j e n ⁵	ts j e n ⁵
dz o ŋ ¹	dz o ŋ ¹
tʰ r o ŋ ¹	tʰ r o ŋ ¹
tsʲʰ o ¹	tsʰ j i ¹
tsʰ j i ⁴	tsʰ j i ⁴
ɣ w a ⁴	ɣ w a ⁴
q ɯ ²	ɣ ɯ̃ ²
d j ɯ ⁴	t ɯ ⁴
ŋ ɔ ³	ŋ ɔ ³
s w a n ¹	s w a ŋ ¹
ɣ ⁴ ¹	w u ⁴
s r e ¹	s r e ŋ ¹
m æ ²	m æ ²
b j o ⁴	b j o ⁴
sʰ r ɯ ²	sʰ r ɯ ²
ɣ ɯ̃ ²	ɣ ɯ ²
ɖʐ i ⁴	ɖʐ i ⁴
n j o ¹	b j o ²
m a ⁴	m a ⁴
t æ ŋ ⁴	t æ ŋ ⁴
b r i ²	b r i ²
q w ɛ ⁵	q w ɛ ³
tɕ j e n ¹	tɕ e n ¹
tsʰ æ n ¹	tsʰ j æ n ¹
m ɯ ²	m ɯ ²
