b ɯ ¹	b r i ¹
ɣ w a ⁴	ɣ w a ⁴
p ɯ ²	p ɯ ²
x e n ¹	x e n ¹
q æ ¹	q æ ⁴
d ²	ɯ̃ ²
b u ²	b ɯ ²
p j o ¹	pʰ j u ŋ ¹
ɕ r i ²	ɕ w i ²
qʰ ɯ̃ ¹	qʰ ɯ̃ ¹
n ɛ ¹	n ɛ ¹
n i ²	n j i ⁴
ts o ⁴	ts o ⁴
tsʰ j i ⁴	tsʰ j i ⁴
ɖʐ i ⁴	ɖʐ i ⁴
tʰ u ¹	tʰ r u ¹
j a ⁴	j a ⁴
m e ¹	m ɛ ¹
s r u ¹	s r u ¹
p ɛ ⁴	b ɛ ⁴
qʰ ɔ ²	qʰ ɔ ²
s i ²	s i ²
j ɯ ⁴	j ɯ ⁴
ŋ j e ²	n j i ²
χ ɯ ⁴	χ ɯ ⁴
q w a ⁴	ɣ w a ⁴
s r u ⁵	s r o ⁵
ɣ ɯ ²	ɣ ɯ ²
qʰ w a ŋ ²	qʰ w a ŋ ²
n j ⁴ ⁴	b j o ²
m e ¹	m e ¹
ɖʐ o ŋ ²	ɖʐ u ŋ ²
s ɔ ²	s ɔ ²
sʰ r ɯ ²	sʰ r ɯ ²
t æ ŋ ⁴	t æ ŋ ⁴
m ɯ ⁴	m ɯ ⁴
b j o ⁴	b j o ⁴
ts r u ²	ts u ²
tsʰ o ³	tsʰ u ³
tsʰ j e ⁴	tsʰ j e n ¹
sʰ o ⁴	ɕ o ⁴
j ɔ ⁴	j ɔ ⁴
ŋ o ²	ŋ u ²
dʑ a ⁴	dʑ a ⁴
n j o ŋ ⁴	ŋ j o ŋ ⁴
qʰ u ²	qʰ u ²
